"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","profile.x","span.x","statespace.states","Unnamed..0","Unnamed..0.1","type","status","status.spec","regroup.strategy","regroup.time","bandwidth","profile.y","span.y","average.wavefront","RMS.wavefront","state.vector.length","groups","group.checks","next.state.calls","reachability.time","statespace.nodes","group.next","group.explored.nodes","group.explored.vectors","time","memory","peak.nodes","LDDop.union","LDDop.minus","LDDop.relProd","LDDop.satCount","LDDop.satCountL","LDDop.zip","LDDop.relProdUnion","LDDop.projectMinus","Unnamed..36","timeBest","memBest","timeMark","memMark"
"2-10_phaseVariation","pnml","bfs","sat-fix",5,1.71666666666667,0.133322916259734,9,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71666666666667,,1,
"2D8_gradient_10x10_10","pnml","bfs","sat-fix",5,4.27666666666667,0.104043260233424,9,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27666666666667,,1,
"2D8_gradient_20x20_10","pnml","bfs","sat-fix",5,56.301,2.84802251083488,10,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.301,,1,
"2D8_gradient_5x5_10","pnml","bfs","sat-fix",5,0.762,0.0726941843921812,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.762,,1,
"2D8_gradient_5x5_50","pnml","bfs","sat-fix",5,64.025,3.72164614115851,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.025,,1,
"5-10_phaseVariation","pnml","bfs","sat-fix",5,109.439,7.010996838301,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.439,,1,
"AirplaneLD-pt-0010","pnml","bfs","sat-fix",5,0.168,0.0358391468152416,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168,,1,
"AirplaneLD-pt-0020","pnml","bfs","sat-fix",5,0.442,0.0702060459568041,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.442,,1,
"AirplaneLD-pt-0050","pnml","bfs","sat-fix",5,1.636,0.0481202198203162,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.636,,1,
"AirplaneLD-pt-0100","pnml","bfs","sat-fix",5,4.614,0.19288453656124,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.614,,1,
"AirplaneLD-pt-0200","pnml","bfs","sat-fix",5,16.241,0.813599000327147,10,12199887,12621738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.241,,1,
"angiogenesis-01","pnml","bfs","sat-fix",5,0.065,0.0212132034355964,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,,1,
"angiogenesis-05","pnml","bfs","sat-fix",5,2.185,0.12782366325876,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.185,,1,
"angiogenesis-10","pnml","bfs","sat-fix",5,61.599,4.61733316488593,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.599,,1,
"angiogenesis-15","pnml","bfs","sat-fix",5,931.303,77.1957717682056,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931.303,,1,
"BridgeAndVehicles-V04-P05-N02-unfolded","pnml","bfs","sat-fix",5,0.345,0.03749073959734,10,35432,39034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,,1,
"BridgeAndVehicles-V10-P10-N10-unfolded","pnml","bfs","sat-fix",5,18.927,1.05201446969348,10,1351610,1392323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.927,,1,
"circadian_clock-000001","pnml","bfs","sat-fix",5,0.009,0.00737864787372622,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,,1,
"circadian_clock-000010","pnml","bfs","sat-fix",5,0.09,0.0270801280154532,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,1,
"circadian_clock-000100","pnml","bfs","sat-fix",5,9.443,0.621844031892242,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.443,,1,
"CircularTrain-012","pnml","bfs","sat-fix",5,0.023,0.00948683298050514,10,1562,1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,,1,
"CircularTrain-024","pnml","bfs","sat-fix",5,0.082,0.0193218356615859,10,3308,3685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082,,1,
"closed_system1","pnml","bfs","sat-fix",5,2.874,0.142766320335793,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.874,,1,
"closed_system2","pnml","bfs","sat-fix",5,6.481,0.378489688689724,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.481,,1,
"closed_system3","pnml","bfs","sat-fix",5,9.955,0.321221626503157,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.955,,1,
"closed_system4","pnml","bfs","sat-fix",5,10.017,1.07585676452666,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.017,,1,
"closed_system5","pnml","bfs","sat-fix",5,8.927,0.356153836923815,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.927,,1,
"cs_repetitions-2-unfolded","pnml","bfs","sat-fix",5,0.108,0.0181352940116473,10,3536,4492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108,,1,
"cs_repetitions-3-unfolded","pnml","bfs","sat-fix",5,1.952,0.181707946380387,10,36009,41484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.952,,1,
"database2UNFOLD","pnml","bfs","sat-fix",5,0.042,0.0154919333848297,10,2266,2914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,,1,
"dekker-10","pnml","bfs","sat-fix",5,0.84,0.0555777733351102,10,176152,194690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,1,
"dekker-15","pnml","bfs","sat-fix",5,22.4888888888889,1.2528013055194,9,858894,918960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4888888888889,,1,
"desel_esparza_10_3a","pnml","bfs","sat-fix",5,0.008,0.00421637021355784,10,558,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,1,
"desel_esparza_10_3b","pnml","bfs","sat-fix",5,0.006,0.00699205898780101,10,592,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,1,
"desel_esparza_8_1","pnml","bfs","sat-fix",5,0.00555555555555556,0.0052704627669473,9,428,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00555555555555556,,1,
