"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","profile.x","span.x","statespace.states","Unnamed..0","Unnamed..0.1","type","status","status.spec","regroup.strategy","regroup.time","bandwidth","profile.y","span.y","average.wavefront","RMS.wavefront","state.vector.length","groups","group.checks","next.state.calls","reachability.time","statespace.nodes","group.next","group.explored.nodes","group.explored.vectors","time","memory","peak.nodes","LDDop.union","LDDop.minus","LDDop.relProd","LDDop.satCount","LDDop.satCountL","LDDop.zip","LDDop.relProdUnion","LDDop.projectMinus","Unnamed..36","timeBest","memBest","timeMark","memMark"
"2-10_phaseVariation","pnml","bfs","sat-like",5,1.527,0.0688072993543886,10,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.527,,1,
"2D8_gradient_10x10_10","pnml","bfs","sat-like",5,7.714,0.35487713053644,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.714,,1,
"2D8_gradient_20x20_10","pnml","bfs","sat-like",5,64.951,3.49128900105518,10,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.951,,1,
"2D8_gradient_5x5_10","pnml","bfs","sat-like",5,1.25,0.108832184782097,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,1,
"2D8_gradient_5x5_50","pnml","bfs","sat-like",5,170.084,8.40003862424982,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.084,,1,
"5-10_phaseVariation","pnml","bfs","sat-like",5,60.026,4.43437130706134,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.026,,1,
"AirplaneLD-pt-0010","pnml","bfs","sat-like",5,0.203,0.0518652099195598,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203,,1,
"AirplaneLD-pt-0020","pnml","bfs","sat-like",5,0.701,0.0800624756049924,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.701,,1,
"AirplaneLD-pt-0050","pnml","bfs","sat-like",5,3.97,0.331226676327724,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97,,1,
"AirplaneLD-pt-0100","pnml","bfs","sat-like",5,24.147,1.09412623687682,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.147,,1,
"AirplaneLD-pt-0200","pnml","bfs","sat-like",5,167.09,11.8077676881694,10,12199887,12621738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.09,,1,
"angiogenesis-01","pnml","bfs","sat-like",5,0.131,0.0276686746259295,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131,,1,
"angiogenesis-05","pnml","bfs","sat-like",5,4.164,0.305403194336783,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.164,,1,
