"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","profile.x","span.x","statespace.states","Unnamed..0","Unnamed..0.1","type","status","status.spec","regroup.strategy","regroup.time","bandwidth","profile.y","span.y","average.wavefront","RMS.wavefront","state.vector.length","groups","group.checks","next.state.calls","reachability.time","statespace.nodes","group.next","group.explored.nodes","group.explored.vectors","time","memory","peak.nodes","LDDop.union","LDDop.minus","LDDop.relProd","LDDop.satCount","LDDop.satCountL","LDDop.zip","LDDop.relProdUnion","LDDop.projectMinus","Unnamed..36","timeBest","memBest","timeMark","memMark"
"2-10_phaseVariation","pnml","bfs","sat-loop",5,1.685,0.12536613046061,10,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.685,,1,
"2D8_gradient_10x10_10","pnml","bfs","sat-loop",5,16.521,1.14852997832495,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.521,,1,
"2D8_gradient_20x20_10","pnml","bfs","sat-loop",5,283.319,27.2108521856017,10,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.319,,1,
"2D8_gradient_5x5_10","pnml","bfs","sat-loop",5,1.413,0.0755792446523662,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.413,,1,
"2D8_gradient_5x5_50","pnml","bfs","sat-loop",5,185.482,10.4708747379471,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.482,,1,
"5-10_phaseVariation","pnml","bfs","sat-loop",5,94.186,6.58635491839842,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.186,,1,
"AirplaneLD-pt-0010","pnml","bfs","sat-loop",5,0.166,0.0343834585552737,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166,,1,
"AirplaneLD-pt-0020","pnml","bfs","sat-loop",5,0.435,0.0657013444814234,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.435,,1,
"AirplaneLD-pt-0050","pnml","bfs","sat-loop",5,1.732,0.0801110340575989,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.732,,1,
"AirplaneLD-pt-0100","pnml","bfs","sat-loop",5,5.439,0.215687531190635,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.439,,1,
