"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","profile.x","span.x","statespace.states","Unnamed..0","Unnamed..0.1","type","status","status.spec","regroup.strategy","regroup.time","bandwidth","profile.y","span.y","average.wavefront","RMS.wavefront","state.vector.length","groups","group.checks","next.state.calls","reachability.time","statespace.nodes","group.next","group.explored.nodes","group.explored.vectors","time","memory","peak.nodes","LDDop.union","LDDop.minus","LDDop.relProd","LDDop.satCount","LDDop.satCountL","LDDop.zip","LDDop.relProdUnion","LDDop.projectMinus","Unnamed..36","timeBest","memBest","timeMark","memMark"
"2-10_phaseVariation","pnml","bfs","none",5,1.884,0.135581054068119,10,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.884,,1,
"2D8_gradient_10x10_10","pnml","bfs","none",5,96.72,5.33449154090622,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.72,,1,
"2D8_gradient_5x5_10","pnml","bfs","none",5,2.341,0.132535110652067,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.341,,1,
"2D8_gradient_5x5_50","pnml","bfs","none",5,839.537,41.424581550894,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839.537,,1,
"5-10_phaseVariation","pnml","bfs","none",5,198.302,14.0639940589041,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.302,,1,
"AirplaneLD-pt-0010","pnml","bfs","none",5,0.393,0.0444847039878753,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.393,,1,
"AirplaneLD-pt-0020","pnml","bfs","none",5,1.093,0.0565783625700772,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.093,,1,
"AirplaneLD-pt-0050","pnml","bfs","none",5,3.622,0.342208513433939,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.622,,1,
"AirplaneLD-pt-0100","pnml","bfs","none",5,11.655,0.637499455337458,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.655,,1,
"AirplaneLD-pt-0200","pnml","bfs","none",5,45.039,8.19888535784659,10,12199887,12621738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.039,,1,
"angiogenesis-01","pnml","bfs","none",5,0.144,0.0320416395751944,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144,,1,
"angiogenesis-05","pnml","bfs","none",5,25.404,2.06973535613721,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.404,,1,
"BridgeAndVehicles-V04-P05-N02-unfolded","pnml","bfs","none",5,1.112,0.035213633723318,10,35432,39034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.112,,1,
