"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","profile.x","span.x","statespace.states","Unnamed..0","Unnamed..0.1","type","status","status.spec","regroup.strategy","regroup.time","bandwidth","profile.y","span.y","average.wavefront","RMS.wavefront","state.vector.length","groups","group.checks","next.state.calls","reachability.time","statespace.nodes","group.next","group.explored.nodes","group.explored.vectors","time","memory","peak.nodes","LDDop.union","LDDop.minus","LDDop.relProd","LDDop.satCount","LDDop.satCountL","LDDop.zip","LDDop.relProdUnion","LDDop.projectMinus","Unnamed..36","timeBest","memBest","timeMark","memMark"
"2-10_phaseVariation","pnml","bfs-prev","sat-fix",5,1.66,0.0540832691319598,9,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,,1,
"2D8_gradient_10x10_10","pnml","bfs-prev","sat-fix",5,4.313,0.20221275924135,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.313,,1,
"2D8_gradient_20x20_10","pnml","bfs-prev","sat-fix",5,58.476,3.10720381622377,10,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.476,,1,
"2D8_gradient_5x5_10","pnml","bfs-prev","sat-fix",5,0.765,0.0474341649025257,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.765,,1,
"2D8_gradient_5x5_50","pnml","bfs-prev","sat-fix",5,63.6877777777778,3.25599745768396,9,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6877777777778,,1,
"5-10_phaseVariation","pnml","bfs-prev","sat-fix",5,109.775,4.97189266443541,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.775,,1,
"AirplaneLD-pt-0010","pnml","bfs-prev","sat-fix",5,0.157,0.0290784379834192,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157,,1,
"AirplaneLD-pt-0020","pnml","bfs-prev","sat-fix",5,0.485,0.0744237118725537,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.485,,1,
"AirplaneLD-pt-0050","pnml","bfs-prev","sat-fix",5,1.618,0.14808406021206,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.618,,1,
"AirplaneLD-pt-0100","pnml","bfs-prev","sat-fix",5,4.498,0.0879140994885853,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.498,,1,
