"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","profile.x","span.x","statespace.states","Unnamed..0","Unnamed..0.1","type","status","status.spec","regroup.strategy","regroup.time","bandwidth","profile.y","span.y","average.wavefront","RMS.wavefront","state.vector.length","groups","group.checks","next.state.calls","reachability.time","statespace.nodes","group.next","group.explored.nodes","group.explored.vectors","time","memory","peak.nodes","LDDop.union","LDDop.minus","LDDop.relProd","LDDop.satCount","LDDop.satCountL","LDDop.zip","LDDop.relProdUnion","LDDop.projectMinus","Unnamed..36","timeBest","memBest","timeMark","memMark"
"2-10_phaseVariation","pnml","bfs-prev","sat-like",5,1.302,0.0854790422657312,10,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.302,,1,
"2D8_gradient_10x10_10","pnml","bfs-prev","sat-like",5,7.431,0.555586776900483,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.431,,1,
"2D8_gradient_20x20_10","pnml","bfs-prev","sat-like",5,61.485,2.83538063288394,10,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.485,,1,
"2D8_gradient_5x5_10","pnml","bfs-prev","sat-like",5,1.154,0.0787682959346236,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.154,,1,
"2D8_gradient_5x5_50","pnml","bfs-prev","sat-like",5,127.262,6.20085621328037,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.262,,1,
"5-10_phaseVariation","pnml","bfs-prev","sat-like",5,63.901,5.35372030564832,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.901,,1,
"AirplaneLD-pt-0010","pnml","bfs-prev","sat-like",5,0.224,0.0427395211328656,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224,,1,
"AirplaneLD-pt-0020","pnml","bfs-prev","sat-like",5,0.703,0.0442342250600897,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703,,1,
"AirplaneLD-pt-0050","pnml","bfs-prev","sat-like",5,4.32,0.397380310422033,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,,1,
"AirplaneLD-pt-0100","pnml","bfs-prev","sat-like",5,24.239,1.65789324143625,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.239,,1,
"AirplaneLD-pt-0200","pnml","bfs-prev","sat-like",5,169.813,21.1357864243983,10,12199887,12621738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.813,,1,
"angiogenesis-01","pnml","bfs-prev","sat-like",5,0.097,0.0170293863659264,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097,,1,
"angiogenesis-05","pnml","bfs-prev","sat-like",5,4.229,0.277746887171276,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.229,,1,
"angiogenesis-10","pnml","bfs-prev","sat-like",5,88.701,6.50617732107982,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.701,,1,
"angiogenesis-15","pnml","bfs-prev","sat-like",5,974.308888888889,45.1472702509367,9,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974.308888888889,,1,
