"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","profile.x","span.x","statespace.states","Unnamed..0","Unnamed..0.1","type","status","status.spec","regroup.strategy","regroup.time","bandwidth","profile.y","span.y","average.wavefront","RMS.wavefront","state.vector.length","groups","group.checks","next.state.calls","reachability.time","statespace.nodes","group.next","group.explored.nodes","group.explored.vectors","time","memory","peak.nodes","LDDop.union","LDDop.minus","LDDop.relProd","LDDop.satCount","LDDop.satCountL","LDDop.zip","LDDop.relProdUnion","LDDop.projectMinus","Unnamed..36","timeBest","memBest","timeMark","memMark"
"2-10_phaseVariation","pnml","bfs-prev","none",5,1.48,0.0928559218478941,10,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,,1,
"2D8_gradient_10x10_10","pnml","bfs-prev","none",5,104.92,7.25987450151707,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.92,,1,
"2D8_gradient_5x5_10","pnml","bfs-prev","none",5,2.466,0.132765457354941,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.466,,1,
"2D8_gradient_5x5_50","pnml","bfs-prev","none",5,714.58,32.4394440971687,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.58,,1,
"5-10_phaseVariation","pnml","bfs-prev","none",5,143.784,9.08826373834836,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.784,,1,
"AirplaneLD-pt-0010","pnml","bfs-prev","none",5,0.405,0.0721495360730446,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.405,,1,
"AirplaneLD-pt-0020","pnml","bfs-prev","none",5,1.083,0.0529255241930688,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.083,,1,
"AirplaneLD-pt-0050","pnml","bfs-prev","none",5,3.476,0.201836017047944,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.476,,1,
"AirplaneLD-pt-0100","pnml","bfs-prev","none",5,11.876,1.68789941775108,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.876,,1,
"AirplaneLD-pt-0200","pnml","bfs-prev","none",5,41.657,2.01252218759336,10,12199887,12621738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.657,,1,
"angiogenesis-01","pnml","bfs-prev","none",5,0.147,0.0405654478042035,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147,,1,
"angiogenesis-05","pnml","bfs-prev","none",5,28.246,2.94972767104581,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.246,,1,
"BridgeAndVehicles-V04-P05-N02-unfolded","pnml","bfs-prev","none",5,0.934,0.0481202198203162,10,35432,39034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.934,,1,
"BridgeAndVehicles-V10-P10-N10-unfolded","pnml","bfs-prev","none",5,108.137,4.1621550240764,10,1351610,1392323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.137,,1,
"circadian_clock-000001","pnml","bfs-prev","none",5,0.026,0.00843274042711568,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,,1,
"circadian_clock-000010","pnml","bfs-prev","none",5,0.581,0.0558669053296414,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.581,,1,
"circadian_clock-000100","pnml","bfs-prev","none",5,197.692222222222,13.8764844050806,9,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.692222222222,,1,
"CircularTrain-012","pnml","bfs-prev","none",5,0.072,0.0248551358430763,10,1562,1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.072,,1,
