"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","profile.x","span.x","statespace.states","Unnamed..0","Unnamed..0.1","type","status","status.spec","regroup.strategy","regroup.time","bandwidth","profile.y","span.y","average.wavefront","RMS.wavefront","state.vector.length","groups","group.checks","next.state.calls","reachability.time","statespace.nodes","group.next","group.explored.nodes","group.explored.vectors","time","memory","peak.nodes","LDDop.union","LDDop.minus","LDDop.relProd","LDDop.satCount","LDDop.satCountL","LDDop.zip","LDDop.relProdUnion","LDDop.projectMinus","Unnamed..36","timeBest","memBest","timeMark","memMark"
"2-10_phaseVariation","pnml","bfs-prev","sat",5,0.674,0.0501553143301441,10,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.674,,1,
"2D8_gradient_10x10_10","pnml","bfs-prev","sat",5,2.099,0.0772370089759797,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.099,,1,
"2D8_gradient_20x20_10","pnml","bfs-prev","sat",5,15.08,0.791594733574082,10,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.08,,1,
"2D8_gradient_5x5_10","pnml","bfs-prev","sat",5,0.397,0.0711883261341196,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.397,,1,
"2D8_gradient_5x5_50","pnml","bfs-prev","sat",5,9.832,0.403534385151997,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.832,,1,
"5-10_phaseVariation","pnml","bfs-prev","sat",5,23.048,1.59957494353969,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.048,,1,
"AirplaneLD-pt-0010","pnml","bfs-prev","sat",5,0.055,0.0212132034355964,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,1,
"AirplaneLD-pt-0020","pnml","bfs-prev","sat",5,0.185555555555556,0.0364386851817924,9,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185555555555556,,1,
"AirplaneLD-pt-0050","pnml","bfs-prev","sat",5,0.79,0.0945163125250522,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,1,
"AirplaneLD-pt-0100","pnml","bfs-prev","sat",5,2.596,0.127471129628983,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.596,,1,
"AirplaneLD-pt-0200","pnml","bfs-prev","sat",5,8.63,0.419391093001376,10,12199887,12621738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.63,,1,
"angiogenesis-01","pnml","bfs-prev","sat",5,0.031,0.00875595035770913,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,,1,
"angiogenesis-05","pnml","bfs-prev","sat",5,1.383,0.0946396675113912,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.383,,1,
"angiogenesis-10","pnml","bfs-prev","sat",5,28.249,2.36573432339493,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.249,,1,
"angiogenesis-15","pnml","bfs-prev","sat",5,460.781,19.0201065834144,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.781,,1,
"BridgeAndVehicles-V04-P05-N02-unfolded","pnml","bfs-prev","sat",5,0.232,0.0489444129146071,10,35432,39034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232,,1,
