"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","profile.x","span.x","statespace.states","Unnamed..0","Unnamed..0.1","type","status","status.spec","regroup.strategy","regroup.time","bandwidth","profile.y","span.y","average.wavefront","RMS.wavefront","state.vector.length","groups","group.checks","next.state.calls","reachability.time","statespace.nodes","group.next","group.explored.nodes","group.explored.vectors","time","memory","peak.nodes","LDDop.union","LDDop.minus","LDDop.relProd","LDDop.satCount","LDDop.satCountL","LDDop.zip","LDDop.relProdUnion","LDDop.projectMinus","Unnamed..36","timeBest","memBest","timeMark","memMark"
"2-10_phaseVariation","pnml","bfs","sat",5,0.648,0.0491709037722287,10,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.648,,1,
"2D8_gradient_10x10_10","pnml","bfs","sat",5,2.17,0.0793025150224688,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,,1,
"2D8_gradient_20x20_10","pnml","bfs","sat",5,15.499,1.35885123051299,10,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.499,,1,
"2D8_gradient_5x5_10","pnml","bfs","sat",5,0.423,0.088700494800073,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.423,,1,
"2D8_gradient_5x5_50","pnml","bfs","sat",5,9.924,0.697681875929138,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.924,,1,
"5-10_phaseVariation","pnml","bfs","sat",5,22.788,1.48230151378786,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.788,,1,
"AirplaneLD-pt-0010","pnml","bfs","sat",5,0.069,0.0152388392675499,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069,,1,
"AirplaneLD-pt-0020","pnml","bfs","sat",5,0.168,0.0282055944017416,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168,,1,
"AirplaneLD-pt-0050","pnml","bfs","sat",5,0.785,0.0823609940040389,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.785,,1,
"AirplaneLD-pt-0100","pnml","bfs","sat",5,2.52777777777778,0.088002525216294,9,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52777777777778,,1,
"AirplaneLD-pt-0200","pnml","bfs","sat",5,8.758,0.421710801379334,10,12199887,12621738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.758,,1,
"angiogenesis-01","pnml","bfs","sat",5,0.031,0.00737864787372622,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,,1,
"angiogenesis-05","pnml","bfs","sat",5,1.323,0.0705612421155473,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.323,,1,
"angiogenesis-10","pnml","bfs","sat",5,27.731,2.32174000841323,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.731,,1,
"angiogenesis-15","pnml","bfs","sat",5,475.034,35.4974206261682,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.034,,1,
"BridgeAndVehicles-V04-P05-N02-unfolded","pnml","bfs","sat",5,0.244,0.0403319558993445,10,35432,39034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244,,1,
"BridgeAndVehicles-V10-P10-N10-unfolded","pnml","bfs","sat",5,4.83333333333333,0.0994987437106621,9,1351610,1392323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83333333333333,,1,
"circadian_clock-000001","pnml","bfs","sat",5,0.008,0.00421637021355784,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,1,
"circadian_clock-000010","pnml","bfs","sat",5,0.066,0.0126491106406735,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066,,1,
"circadian_clock-000100","pnml","bfs","sat",5,8.652,0.588912368504668,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.652,,1,
"CircularTrain-012","pnml","bfs","sat",5,0.014,0.00699205898780101,10,1562,1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,,1,
"CircularTrain-024","pnml","bfs","sat",5,0.065,0.0143372087784044,10,3308,3685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,,1,
"closed_system1","pnml","bfs","sat",5,0.391,0.0935057930469195,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.391,,1,
"closed_system2","pnml","bfs","sat",5,0.668,0.059962951524717,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.668,,1,
"closed_system3","pnml","bfs","sat",5,0.953,0.0736432843736164,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.953,,1,
"closed_system4","pnml","bfs","sat",5,1.082,0.0906519595914935,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.082,,1,
"closed_system5","pnml","bfs","sat",5,0.879,0.0576290821643995,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.879,,1,
"cs_repetitions-2-unfolded","pnml","bfs","sat",5,0.073,0.0141813649241218,10,3536,4492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.073,,1,
"cs_repetitions-3-unfolded","pnml","bfs","sat",5,0.865,0.0770641868113126,10,36009,41484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865,,1,
"database2UNFOLD","pnml","bfs","sat",5,0.017,0.00483045891539648,10,2266,2914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,1,
"dekker-10","pnml","bfs","sat",5,0.637,0.0699285349481883,10,176152,194690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.637,,1,
"dekker-15","pnml","bfs","sat",5,14.0411111111111,0.774103424040426,9,858894,918960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0411111111111,,1,
"desel_esparza_10_3a","pnml","bfs","sat",5,0.007,0.00674948557710553,10,558,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,1,
"desel_esparza_10_3b","pnml","bfs","sat",5,0.005,0.0052704627669473,10,592,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,1,
"desel_esparza_8_1","pnml","bfs","sat",5,0.002,0.00421637021355784,10,428,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,1,
"desel_esparza_8_3","pnml","bfs","sat",5,0.009,0.00567646212197547,10,989,1281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,,1,
"desel_esparza_9_5","pnml","bfs","sat",5,0.012,0.00632455532033676,10,539,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,,1,
"dnawalk-01","pnml","bfs","sat",5,0.066,0.017763883459299,10,21419,23336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066,,1,
"dnawalk-02","pnml","bfs","sat",5,0.064,0.0227058484879019,10,26809,28367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,,1,
"dnawalk-03","pnml","bfs","sat",5,0.098,0.0265832027165025,10,20846,22802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098,,1,
"dnawalk-04","pnml","bfs","sat",5,0.846,0.0492612085384298,10,110419,119561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.846,,1,
"dnawalk-05","pnml","bfs","sat",5,1.387,0.0699285349481883,10,129945,138027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.387,,1,
"dnawalk-06","pnml","bfs","sat",5,1.82,0.131740485635797,10,120374,128204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,,1,
