"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","profile.x","span.x","statespace.states","Unnamed..0","Unnamed..0.1","type","status","status.spec","regroup.strategy","regroup.time","bandwidth","profile.y","span.y","average.wavefront","RMS.wavefront","state.vector.length","groups","group.checks","next.state.calls","reachability.time","statespace.nodes","group.next","group.explored.nodes","group.explored.vectors","time","memory","peak.nodes","LDDop.union","LDDop.minus","LDDop.relProd","LDDop.satCount","LDDop.satCountL","LDDop.zip","LDDop.relProdUnion","LDDop.projectMinus","Unnamed..36","timeBest","memBest","timeMark","memMark"
"2-10_phaseVariation","pnml","chain","sat-fix",5,1.652,0.0745057790450587,10,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.652,,1,
"2D8_gradient_10x10_10","pnml","chain","sat-fix",5,4.421,0.18982155362925,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.421,,1,
"2D8_gradient_20x20_10","pnml","chain","sat-fix",5,55.927,3.08258207063855,10,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.927,,1,
"2D8_gradient_5x5_10","pnml","chain","sat-fix",5,0.748,0.0502880591083896,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.748,,1,
"2D8_gradient_5x5_50","pnml","chain","sat-fix",5,65.185,3.92227329208175,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.185,,1,
"5-10_phaseVariation","pnml","chain","sat-fix",5,108.355555555556,4.88271725351548,9,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.355555555556,,1,
"AirplaneLD-pt-0010","pnml","chain","sat-fix",5,0.17,0.0364005494464026,9,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,1,
"AirplaneLD-pt-0020","pnml","chain","sat-fix",5,0.481,0.0680604306643899,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.481,,1,
"AirplaneLD-pt-0050","pnml","chain","sat-fix",5,1.603,0.0790288273704953,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.603,,1,
"AirplaneLD-pt-0100","pnml","chain","sat-fix",5,4.56777777777778,0.195561868584968,9,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56777777777778,,1,
"AirplaneLD-pt-0200","pnml","chain","sat-fix",5,15.769,0.610490695169787,10,12199887,12621738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.769,,1,
"angiogenesis-01","pnml","chain","sat-fix",5,0.0744444444444444,0.019436506316151,9,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0744444444444444,,1,
"angiogenesis-05","pnml","chain","sat-fix",5,2.202,0.145128295732508,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.202,,1,
"angiogenesis-10","pnml","chain","sat-fix",5,60.004,2.4391674353717,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.004,,1,
"angiogenesis-15","pnml","chain","sat-fix",5,932.877,48.6866790017785,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932.877,,1,
"BridgeAndVehicles-V04-P05-N02-unfolded","pnml","chain","sat-fix",5,0.345,0.057783119411199,10,35432,39034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,,1,
"BridgeAndVehicles-V10-P10-N10-unfolded","pnml","chain","sat-fix",5,18.605,0.799892353868805,10,1351610,1392323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.605,,1,
"circadian_clock-000001","pnml","chain","sat-fix",5,0.011,0.00737864787372622,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,,1,
"circadian_clock-000010","pnml","chain","sat-fix",5,0.071,0.0110050493461461,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,,1,
"circadian_clock-000100","pnml","chain","sat-fix",5,9.218,0.495912178605132,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.218,,1,
"CircularTrain-012","pnml","chain","sat-fix",5,0.017,0.00483045891539648,10,1562,1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,1,
"CircularTrain-024","pnml","chain","sat-fix",5,0.086,0.0306231575409489,10,3308,3685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086,,1,
"closed_system1","pnml","chain","sat-fix",5,2.92666666666667,0.167854103315945,9,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92666666666667,,1,
"closed_system2","pnml","chain","sat-fix",5,6.515,0.317603876270776,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.515,,1,
"closed_system3","pnml","chain","sat-fix",5,10.004,0.504253022907262,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.004,,1,
"closed_system4","pnml","chain","sat-fix",5,9.917,0.509379797182592,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.917,,1,
