"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","profile.x","span.x","statespace.states","Unnamed..0","Unnamed..0.1","type","status","status.spec","regroup.strategy","regroup.time","bandwidth","profile.y","span.y","average.wavefront","RMS.wavefront","state.vector.length","groups","group.checks","next.state.calls","reachability.time","statespace.nodes","group.next","group.explored.nodes","group.explored.vectors","time","memory","peak.nodes","LDDop.union","LDDop.minus","LDDop.relProd","LDDop.satCount","LDDop.satCountL","LDDop.zip","LDDop.relProdUnion","LDDop.projectMinus","Unnamed..36","timeBest","memBest","timeMark","memMark"
"2-10_phaseVariation","pnml","chain","sat-like",5,1.006,0.101236796121217,10,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.006,,1,
"2D8_gradient_10x10_10","pnml","chain","sat-like",5,4.383,0.393814677227754,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.383,,1,
"2D8_gradient_20x20_10","pnml","chain","sat-like",5,34.492,1.73265243036347,10,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.492,,1,
"2D8_gradient_5x5_10","pnml","chain","sat-like",5,0.749,0.0488648931010575,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.749,,1,
"2D8_gradient_5x5_50","pnml","chain","sat-like",5,108.175,7.20010532330373,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.175,,1,
"5-10_phaseVariation","pnml","chain","sat-like",5,55.818,9.49308145733278,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.818,,1,
"AirplaneLD-pt-0010","pnml","chain","sat-like",5,0.162,0.0304776785350999,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162,,1,
"AirplaneLD-pt-0020","pnml","chain","sat-like",5,0.537,0.0651579278028051,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.537,,1,
"AirplaneLD-pt-0050","pnml","chain","sat-like",5,2.476,0.115296718658136,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.476,,1,
"AirplaneLD-pt-0100","pnml","chain","sat-like",5,11.098,0.672636603226437,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.098,,1,
