"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","profile.x","span.x","statespace.states","Unnamed..0","Unnamed..0.1","type","status","status.spec","regroup.strategy","regroup.time","bandwidth","profile.y","span.y","average.wavefront","RMS.wavefront","state.vector.length","groups","group.checks","next.state.calls","reachability.time","statespace.nodes","group.next","group.explored.nodes","group.explored.vectors","time","memory","peak.nodes","LDDop.union","LDDop.minus","LDDop.relProd","LDDop.satCount","LDDop.satCountL","LDDop.zip","LDDop.relProdUnion","LDDop.projectMinus","Unnamed..36","timeBest","memBest","timeMark","memMark"
"2-10_phaseVariation","pnml","chain-prev","sat-fix",5,1.705,0.102225241501304,10,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.705,,1,
"2D8_gradient_10x10_10","pnml","chain-prev","sat-fix",5,4.307,0.100890479674194,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.307,,1,
"2D8_gradient_20x20_10","pnml","chain-prev","sat-fix",5,56.486,2.3791978106543,10,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.486,,1,
"2D8_gradient_5x5_10","pnml","chain-prev","sat-fix",5,0.769,0.0718717994456487,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.769,,1,
"2D8_gradient_5x5_50","pnml","chain-prev","sat-fix",5,68.317,4.95521509792125,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.317,,1,
"5-10_phaseVariation","pnml","chain-prev","sat-fix",5,107.905,6.34086963892002,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.905,,1,
"AirplaneLD-pt-0010","pnml","chain-prev","sat-fix",5,0.14,0.0149071198499986,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,1,
"AirplaneLD-pt-0020","pnml","chain-prev","sat-fix",5,0.448,0.0731512891965077,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.448,,1,
"AirplaneLD-pt-0050","pnml","chain-prev","sat-fix",5,1.619,0.0556676646617126,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.619,,1,
"AirplaneLD-pt-0100","pnml","chain-prev","sat-fix",5,4.66,0.107289846262874,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66,,1,
"AirplaneLD-pt-0200","pnml","chain-prev","sat-fix",5,16.187,1.47823505874028,10,12199887,12621738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.187,,1,
"angiogenesis-01","pnml","chain-prev","sat-fix",5,0.071,0.0185292561462497,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,,1,
"angiogenesis-05","pnml","chain-prev","sat-fix",5,2.213,0.0852512626169124,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.213,,1,
"angiogenesis-10","pnml","chain-prev","sat-fix",5,63.352,5.74350996052646,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.352,,1,
"angiogenesis-15","pnml","chain-prev","sat-fix",5,922.677,81.5630747131731,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922.677,,1,
"BridgeAndVehicles-V04-P05-N02-unfolded","pnml","chain-prev","sat-fix",5,0.372,0.0795543140809402,10,35432,39034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.372,,1,
"BridgeAndVehicles-V10-P10-N10-unfolded","pnml","chain-prev","sat-fix",5,18.627,1.52584439282356,10,1351610,1392323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.627,,1,
"circadian_clock-000001","pnml","chain-prev","sat-fix",5,0.01,0.00666666666666667,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,1,
"circadian_clock-000010","pnml","chain-prev","sat-fix",5,0.086,0.0201108041719978,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086,,1,
"circadian_clock-000100","pnml","chain-prev","sat-fix",5,9.554,0.386126058863337,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.554,,1,
"CircularTrain-012","pnml","chain-prev","sat-fix",5,0.019,0.00737864787372622,10,1562,1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,,1,
"CircularTrain-024","pnml","chain-prev","sat-fix",5,0.087,0.0188856206322871,10,3308,3685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,,1,
"closed_system1","pnml","chain-prev","sat-fix",5,2.931,0.133037171079698,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.931,,1,
"closed_system2","pnml","chain-prev","sat-fix",5,6.314,0.27240492734979,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.314,,1,
"closed_system3","pnml","chain-prev","sat-fix",5,10.538,1.43784406510426,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.538,,1,
"closed_system4","pnml","chain-prev","sat-fix",5,9.898,0.769282493987453,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.898,,1,
