"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","profile.x","span.x","statespace.states","Unnamed..0","Unnamed..0.1","type","status","status.spec","regroup.strategy","regroup.time","bandwidth","profile.y","span.y","average.wavefront","RMS.wavefront","state.vector.length","groups","group.checks","next.state.calls","reachability.time","statespace.nodes","group.next","group.explored.nodes","group.explored.vectors","time","memory","peak.nodes","LDDop.union","LDDop.minus","LDDop.relProd","LDDop.satCount","LDDop.satCountL","LDDop.zip","LDDop.relProdUnion","LDDop.projectMinus","Unnamed..36","timeBest","memBest","timeMark","memMark"
"2-10_phaseVariation","pnml","chain-prev","sat-like",5,0.99,0.0520683311727111,10,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,1,
"2D8_gradient_10x10_10","pnml","chain-prev","sat-like",5,4.764,0.224657764413143,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.764,,1,
"2D8_gradient_20x20_10","pnml","chain-prev","sat-like",5,40.08,1.73111396376887,10,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.08,,1,
"2D8_gradient_5x5_10","pnml","chain-prev","sat-like",5,0.931,0.091706052144883,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.931,,1,
"2D8_gradient_5x5_50","pnml","chain-prev","sat-like",5,209.368,17.4942090736081,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.368,,1,
"5-10_phaseVariation","pnml","chain-prev","sat-like",5,60.613,4.25499458153461,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.613,,1,
"AirplaneLD-pt-0010","pnml","chain-prev","sat-like",5,0.212,0.0423739962188552,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212,,1,
"AirplaneLD-pt-0020","pnml","chain-prev","sat-like",5,0.535,0.0464877522699378,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.535,,1,
"AirplaneLD-pt-0050","pnml","chain-prev","sat-like",5,2.683,0.274835304217716,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.683,,1,
"AirplaneLD-pt-0100","pnml","chain-prev","sat-like",5,11.614,1.03187208509582,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.614,,1,
"AirplaneLD-pt-0200","pnml","chain-prev","sat-like",5,71.425,4.48284941626293,10,12199887,12621738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.425,,1,
"angiogenesis-01","pnml","chain-prev","sat-like",5,0.114,0.0267498701969852,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114,,1,
"angiogenesis-05","pnml","chain-prev","sat-like",5,4.416,0.342740588654322,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.416,,1,
"angiogenesis-10","pnml","chain-prev","sat-like",5,85.618,4.47415988389627,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.618,,1,
"angiogenesis-15","pnml","chain-prev","sat-like",5,1062.945,61.8515335748077,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062.945,,1,
"BridgeAndVehicles-V04-P05-N02-unfolded","pnml","chain-prev","sat-like",5,0.473,0.0498998997994986,10,35432,39034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.473,,1,
"BridgeAndVehicles-V10-P10-N10-unfolded","pnml","chain-prev","sat-like",5,17.676,0.918709239458637,10,1351610,1392323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.676,,1,
"circadian_clock-000001","pnml","chain-prev","sat-like",5,0.015,0.0108012344973464,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,1,
"circadian_clock-000010","pnml","chain-prev","sat-like",5,0.141,0.0303498123735734,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141,,1,
"circadian_clock-000100","pnml","chain-prev","sat-like",5,9.861,0.295238133640551,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.861,,1,
"CircularTrain-012","pnml","chain-prev","sat-like",5,0.033,0.00948683298050514,10,1562,1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,,1,
"CircularTrain-024","pnml","chain-prev","sat-like",5,0.215,0.039510898637099,10,3308,3685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215,,1,
"closed_system1","pnml","chain-prev","sat-like",5,1.838,0.0845642425089417,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.838,,1,
"closed_system2","pnml","chain-prev","sat-like",5,3.842,0.195209289396449,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.842,,1,
"closed_system3","pnml","chain-prev","sat-like",5,5.887,0.3510001582779,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.887,,1,
"closed_system4","pnml","chain-prev","sat-like",5,6.632,0.365050985784482,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.632,,1,
"closed_system5","pnml","chain-prev","sat-like",5,5.292,0.195266200067725,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.292,,1,
"cs_repetitions-2-unfolded","pnml","chain-prev","sat-like",5,0.178,0.0407703596037884,10,3536,4492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178,,1,
"cs_repetitions-3-unfolded","pnml","chain-prev","sat-like",5,4.814,0.231286258418725,10,36009,41484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.814,,1,
"database2UNFOLD","pnml","chain-prev","sat-like",5,0.035,0.0108012344973464,10,2266,2914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,1,
"dekker-10","pnml","chain-prev","sat-like",5,0.99,0.0671648055986996,10,176152,194690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,1,
"dekker-15","pnml","chain-prev","sat-like",5,24.929,1.58478494860764,10,858894,918960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.929,,1,
"desel_esparza_10_3a","pnml","chain-prev","sat-like",5,0.004,0.00516397779494322,10,558,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,1,
"desel_esparza_10_3b","pnml","chain-prev","sat-like",5,0.006,0.00516397779494322,10,592,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,1,
"desel_esparza_8_1","pnml","chain-prev","sat-like",5,0.008,0.00421637021355784,10,428,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,1,
"desel_esparza_8_3","pnml","chain-prev","sat-like",5,0.013,0.00674948557710553,10,989,1281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,,1,
"desel_esparza_9_5","pnml","chain-prev","sat-like",5,0.016,0.00516397779494322,10,539,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,,1,
"dnawalk-01","pnml","chain-prev","sat-like",5,0.176,0.0254732975660571,10,21419,23336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,,1,
"dnawalk-02","pnml","chain-prev","sat-like",5,0.199,0.0381371792932362,10,26809,28367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199,,1,
"dnawalk-03","pnml","chain-prev","sat-like",5,0.209,0.0395671019352638,10,20846,22802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,,1,
"dnawalk-04","pnml","chain-prev","sat-like",5,4.952,0.326387635931401,10,110419,119561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.952,,1,
"dnawalk-05","pnml","chain-prev","sat-like",5,8.885,0.600300850500073,10,129945,138027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.885,,1,
"dnawalk-06","pnml","chain-prev","sat-like",5,9.667,0.877838886761751,10,120374,128204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.667,,1,
"dnawalk-07","pnml","chain-prev","sat-like",5,7.364,0.380560989417815,10,127513,135138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.364,,1,
"dnawalk-08","pnml","chain-prev","sat-like",5,5.712,0.407507327814142,10,205704,220717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.712,,1,
"dnawalk-09","pnml","chain-prev","sat-like",5,4.918,0.206494551986245,10,195145,208669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.918,,1,
"dnawalk-10","pnml","chain-prev","sat-like",5,6.008,0.508041993015013,10,209109,224590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.008,,1,
"dnawalk-11","pnml","chain-prev","sat-like",5,5.299,0.394277116308371,10,204980,222289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.299,,1,
"dnawalk-12","pnml","chain-prev","sat-like",5,48.582,3.75683318175768,10,234744,252018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.582,,1,
"dnawalk-13","pnml","chain-prev","sat-like",5,69.486,13.7290059525242,10,264142,281046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.486,,1,
"dnawalk-14","pnml","chain-prev","sat-like",5,61.703,3.88495688521765,10,245188,261235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.703,,1,
"dnawalk-15","pnml","chain-prev","sat-like",5,31.626,2.18287374297685,10,236032,252973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.626,,1,
"erk-000010","pnml","chain-prev","sat-like",5,0.157,0.0286937856222098,10,526,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157,,1,
"erk-000100","pnml","chain-prev","sat-like",5,100.659,6.08997436593766,10,526,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.659,,1,
"fivediningphilosophers-2at1ce-boxed","pnml","chain-prev","sat-like",5,0.008,0.00421637021355784,10,737,969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,1,
"fivediningphilosophers-3_32","pnml","chain-prev","sat-like",5,0.009,0.00737864787372622,10,760,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,,1,
"fivediningphilosophers-boxed","pnml","chain-prev","sat-like",5,0.017,0.00948683298050514,10,2399,3075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,1,
"fivediningphilosophers-lr-boxed","pnml","chain-prev","sat-like",5,0.011,0.00737864787372622,10,1014,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,,1,
"FMS-10","pnml","chain-prev","sat-like",5,0.256,0.0333999334663343,10,755,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256,,1,
"FMS-100","pnml","chain-prev","sat-like",5,74.141,3.44493976725283,10,755,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.141,,1,
"FMS-2","pnml","chain-prev","sat-like",5,0.03,0.00942809041582063,10,755,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,1,
"FMS-20","pnml","chain-prev","sat-like",5,0.969,0.0417532433869913,10,755,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.969,,1,
"FMS-5","pnml","chain-prev","sat-like",5,0.088,0.0193218356615859,10,755,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.088,,1,
"FMS-50","pnml","chain-prev","sat-like",5,7.921,0.343105102135062,10,755,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.921,,1,
"G-PPP-1-1","pnml","chain-prev","sat-like",5,0.139,0.0310733898304571,10,3079,3631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139,,1,
"G-PPP-1-10","pnml","chain-prev","sat-like",5,0.554,0.060772800933751,10,3079,3631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.554,,1,
"G-PPP-1-100","pnml","chain-prev","sat-like",5,5.089,0.351582138340388,10,3079,3631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.089,,1,
"G-PPP-10-10","pnml","chain-prev","sat-like",5,12.923,0.842101207958072,10,3079,3631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.923,,1,
"G-PPP-10-100","pnml","chain-prev","sat-like",5,15.311,0.98359262118239,10,3079,3631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.311,,1,
"G-PPP-100-10","pnml","chain-prev","sat-like",5,12.158,0.905977679391471,10,3079,3631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.158,,1,
"G-PPP-1000-10","pnml","chain-prev","sat-like",5,12.197,0.958784531465635,10,3079,3631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.197,,1,
"HouseConstruction-002","pnml","chain-prev","sat-like",5,0.053,0.00948683298050514,10,1034,1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,,1,
"HouseConstruction-005","pnml","chain-prev","sat-like",5,0.351,0.065565912552857,10,1034,1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.351,,1,
"HouseConstruction-010","pnml","chain-prev","sat-like",5,2.052,0.140775629203985,10,1034,1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.052,,1,
"HouseConstruction-020","pnml","chain-prev","sat-like",5,25.633,1.00146614742808,10,1034,1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.633,,1,
