"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","profile.x","span.x","statespace.states","Unnamed..0","Unnamed..0.1","type","status","status.spec","regroup.strategy","regroup.time","bandwidth","profile.y","span.y","average.wavefront","RMS.wavefront","state.vector.length","groups","group.checks","next.state.calls","reachability.time","statespace.nodes","group.next","group.explored.nodes","group.explored.vectors","time","memory","peak.nodes","LDDop.union","LDDop.minus","LDDop.relProd","LDDop.satCount","LDDop.satCountL","LDDop.zip","LDDop.relProdUnion","LDDop.projectMinus","Unnamed..36","timeBest","memBest","timeMark","memMark"
"2-10_phaseVariation","pnml","chain-prev","sat-loop",5,0.975,0.0577831194111991,10,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.975,,1,
"2D8_gradient_10x10_10","pnml","chain-prev","sat-loop",5,10.044,0.535043092760865,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.044,,1,
"2D8_gradient_20x20_10","pnml","chain-prev","sat-loop",5,189.478,12.5565616312747,10,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.478,,1,
"2D8_gradient_5x5_10","pnml","chain-prev","sat-loop",5,1.087,0.0466785699104941,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.087,,1,
"2D8_gradient_5x5_50","pnml","chain-prev","sat-loop",5,202.672,16.7286931149248,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.672,,1,
"5-10_phaseVariation","pnml","chain-prev","sat-loop",5,122.378,11.5781660416876,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.378,,1,
"AirplaneLD-pt-0010","pnml","chain-prev","sat-loop",5,0.161,0.03900142447541,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161,,1,
"AirplaneLD-pt-0020","pnml","chain-prev","sat-loop",5,0.448,0.0904064894425911,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.448,,1,
"AirplaneLD-pt-0050","pnml","chain-prev","sat-loop",5,1.563,0.110257274892257,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.563,,1,
"AirplaneLD-pt-0100","pnml","chain-prev","sat-loop",5,4.734,0.565374998464638,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.734,,1,
"AirplaneLD-pt-0200","pnml","chain-prev","sat-loop",5,16.61,1.12320968656792,10,12199887,12621738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.61,,1,
"angiogenesis-01","pnml","chain-prev","sat-loop",5,0.113,0.0176698110409314,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113,,1,
"angiogenesis-05","pnml","chain-prev","sat-loop",5,4.469,0.279461784308497,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.469,,1,
"angiogenesis-10","pnml","chain-prev","sat-loop",5,106.204,6.4215231837937,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.204,,1,
"angiogenesis-15","pnml","chain-prev","sat-loop",5,1423.84111111111,65.0441151151363,9,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423.84111111111,,1,
"BridgeAndVehicles-V04-P05-N02-unfolded","pnml","chain-prev","sat-loop",5,0.544,0.0362705880232945,10,35432,39034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.544,,1,
"BridgeAndVehicles-V10-P10-N10-unfolded","pnml","chain-prev","sat-loop",5,27.731,1.90262070722347,10,1351610,1392323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.731,,1,
"circadian_clock-000001","pnml","chain-prev","sat-loop",5,0.017,0.00823272602348564,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,1,
"circadian_clock-000010","pnml","chain-prev","sat-loop",5,0.156,0.0371782493162632,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156,,1,
"circadian_clock-000100","pnml","chain-prev","sat-loop",5,9.963,0.830328582884845,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.963,,1,
"CircularTrain-012","pnml","chain-prev","sat-loop",5,0.027,0.0115950180872841,10,1562,1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,,1,
"CircularTrain-024","pnml","chain-prev","sat-loop",5,0.322,0.0575036230742609,10,3308,3685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322,,1,
"closed_system1","pnml","chain-prev","sat-loop",5,2.756,0.141043728443817,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.756,,1,
"closed_system2","pnml","chain-prev","sat-loop",5,9.341,0.542329338235644,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.341,,1,
"closed_system3","pnml","chain-prev","sat-loop",5,13.86,1.16222009772485,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.86,,1,
"closed_system4","pnml","chain-prev","sat-loop",5,14.587,1.26357561441068,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.587,,1,
"closed_system5","pnml","chain-prev","sat-loop",5,10.818,0.786776828444876,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.818,,1,
"cs_repetitions-2-unfolded","pnml","chain-prev","sat-loop",5,0.239,0.0636745195855017,10,3536,4492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239,,1,
"cs_repetitions-3-unfolded","pnml","chain-prev","sat-loop",5,10.148,0.626201955353773,10,36009,41484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.148,,1,
"database2UNFOLD","pnml","chain-prev","sat-loop",5,0.052,0.0168654808542314,10,2266,2914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052,,1,
"dekker-10","pnml","chain-prev","sat-loop",5,1.337,0.0781807023646003,10,176152,194690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.337,,1,
"dekker-15","pnml","chain-prev","sat-loop",5,38.126,2.19244257494796,10,858894,918960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.126,,1,
"desel_esparza_10_3a","pnml","chain-prev","sat-loop",5,0.004,0.00516397779494322,10,558,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,1,
"desel_esparza_10_3b","pnml","chain-prev","sat-loop",5,0.008,0.00421637021355784,10,592,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,1,
"desel_esparza_8_1","pnml","chain-prev","sat-loop",5,0.003,0.00483045891539648,10,428,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,1,
"desel_esparza_8_3","pnml","chain-prev","sat-loop",5,0.007,0.00674948557710553,10,989,1281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,1,
"desel_esparza_9_5","pnml","chain-prev","sat-loop",5,0.02,0.00816496580927726,10,539,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,1,
"dnawalk-01","pnml","chain-prev","sat-loop",5,0.165,0.0371931893407023,10,21419,23336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165,,1,
"dnawalk-02","pnml","chain-prev","sat-loop",5,0.198,0.0404969134626332,10,26809,28367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198,,1,
"dnawalk-03","pnml","chain-prev","sat-loop",5,0.263,0.0527151675411251,10,20846,22802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263,,1,
