"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","profile.x","span.x","statespace.states","Unnamed..0","Unnamed..0.1","type","status","status.spec","regroup.strategy","regroup.time","bandwidth","profile.y","span.y","average.wavefront","RMS.wavefront","state.vector.length","groups","group.checks","next.state.calls","reachability.time","statespace.nodes","group.next","group.explored.nodes","group.explored.vectors","time","memory","peak.nodes","LDDop.union","LDDop.minus","LDDop.relProd","LDDop.satCount","LDDop.satCountL","LDDop.zip","LDDop.relProdUnion","LDDop.projectMinus","Unnamed..36","timeBest","memBest","timeMark","memMark"
"2-10_phaseVariation","pnml","chain-prev","none",5,0.98,0.10088497300281,10,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,1,
"2D8_gradient_10x10_10","pnml","chain-prev","none",5,20.393,1.17469665114966,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.393,,1,
"2D8_gradient_20x20_10","pnml","chain-prev","none",5,970.122222222222,52.6494638571414,9,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970.122222222222,,1,
"2D8_gradient_5x5_10","pnml","chain-prev","none",5,1.303,0.0781807023646003,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.303,,1,
"2D8_gradient_5x5_50","pnml","chain-prev","none",5,1280.783,77.9401179039966,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280.783,,1,
"AirplaneLD-pt-0010","pnml","chain-prev","none",5,0.165,0.0324037034920393,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165,,1,
"AirplaneLD-pt-0020","pnml","chain-prev","none",5,0.382,0.055337349251859,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.382,,1,
"AirplaneLD-pt-0050","pnml","chain-prev","none",5,1.484,0.0879646393602439,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.484,,1,
"AirplaneLD-pt-0100","pnml","chain-prev","none",5,4.972,0.208049139494602,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.972,,1,
"AirplaneLD-pt-0200","pnml","chain-prev","none",5,17.335,1.58184315840028,10,12199887,12621738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.335,,1,
"angiogenesis-01","pnml","chain-prev","none",5,0.105,0.0190029237516523,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105,,1,
"angiogenesis-05","pnml","chain-prev","none",5,14.273,1.02393630444259,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.273,,1,
"BridgeAndVehicles-V04-P05-N02-unfolded","pnml","chain-prev","none",5,0.525,0.0667083203206317,10,35432,39034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.525,,1,
"BridgeAndVehicles-V10-P10-N10-unfolded","pnml","chain-prev","none",5,27.111,2.18271212536656,10,1351610,1392323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.111,,1,
"circadian_clock-000001","pnml","chain-prev","none",5,0.019,0.00737864787372622,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,,1,
"circadian_clock-000010","pnml","chain-prev","none",5,0.229,0.0420185144377518,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,,1,
"circadian_clock-000100","pnml","chain-prev","none",5,25.853,1.60225570160737,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.853,,1,
"CircularTrain-012","pnml","chain-prev","none",5,0.037,0.0125166555703457,10,1562,1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,,1,
"CircularTrain-024","pnml","chain-prev","none",5,0.349,0.0795054156086937,10,3308,3685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349,,1,
"closed_system1","pnml","chain-prev","none",5,3.819,0.199691428625934,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.819,,1,
"closed_system2","pnml","chain-prev","none",5,13.577,0.812527606368615,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.577,,1,
"closed_system3","pnml","chain-prev","none",5,18.994,1.92286360526285,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.994,,1,
"closed_system4","pnml","chain-prev","none",5,20.289,1.15487805994111,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.289,,1,
"closed_system5","pnml","chain-prev","none",5,16.291,1.14358549211582,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.291,,1,
"cs_repetitions-2-unfolded","pnml","chain-prev","none",5,0.342,0.0582713956890991,10,3536,4492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342,,1,
"cs_repetitions-3-unfolded","pnml","chain-prev","none",5,99.03,6.05133777679687,10,36009,41484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.03,,1,
"database2UNFOLD","pnml","chain-prev","none",5,0.058,0.0131656117720877,10,2266,2914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,,1,
"dekker-10","pnml","chain-prev","none",5,1.534,0.0738165895235542,10,176152,194690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.534,,1,
"dekker-15","pnml","chain-prev","none",5,50.039,1.92646740607431,10,858894,918960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.039,,1,
"desel_esparza_10_3a","pnml","chain-prev","none",5,0.005,0.0052704627669473,10,558,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,1,
"desel_esparza_10_3b","pnml","chain-prev","none",5,0.008,0.00632455532033676,10,592,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,1,
"desel_esparza_8_1","pnml","chain-prev","none",5,0.007,0.00483045891539648,10,428,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,1,
"desel_esparza_8_3","pnml","chain-prev","none",5,0.013,0.00674948557710553,10,989,1281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,,1,
"desel_esparza_9_5","pnml","chain-prev","none",5,0.019,0.00875595035770913,10,539,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,,1,
"dnawalk-01","pnml","chain-prev","none",5,0.214,0.0505964425626941,10,21419,23336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214,,1,
"dnawalk-02","pnml","chain-prev","none",5,0.236,0.0485798312059645,10,26809,28367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236,,1,
"dnawalk-03","pnml","chain-prev","none",5,0.246,0.0581568759668384,10,20846,22802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246,,1,
"dnawalk-04","pnml","chain-prev","none",5,18.013,1.32269968036756,10,110419,119561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.013,,1,
"dnawalk-05","pnml","chain-prev","none",5,40.465,3.50973329154478,10,129945,138027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.465,,1,
"dnawalk-06","pnml","chain-prev","none",5,33.283,2.3307845603287,10,120374,128204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.283,,1,
"dnawalk-07","pnml","chain-prev","none",5,39.641,2.52802711834963,10,127513,135138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.641,,1,
"dnawalk-08","pnml","chain-prev","none",5,13.67,0.746785704796824,10,205704,220717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.67,,1,
"dnawalk-09","pnml","chain-prev","none",5,15.39,0.865486375783389,10,195145,208669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.39,,1,
"dnawalk-10","pnml","chain-prev","none",5,18.859,1.19873498136809,10,209109,224590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.859,,1,
