"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","profile.x","span.x","statespace.states","Unnamed..0","Unnamed..0.1","type","status","status.spec","regroup.strategy","regroup.time","bandwidth","profile.y","span.y","average.wavefront","RMS.wavefront","state.vector.length","groups","group.checks","next.state.calls","reachability.time","statespace.nodes","group.next","group.explored.nodes","group.explored.vectors","time","memory","peak.nodes","LDDop.union","LDDop.minus","LDDop.relProd","LDDop.satCount","LDDop.satCountL","LDDop.zip","LDDop.relProdUnion","LDDop.projectMinus","Unnamed..36","timeBest","memBest","timeMark","memMark"
"2-10_phaseVariation","pnml","chain-prev","sat",5,0.642,0.0526624470883507,10,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.642,,1,
"2D8_gradient_10x10_10","pnml","chain-prev","sat",5,2.107,0.11700427342623,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.107,,1,
"2D8_gradient_20x20_10","pnml","chain-prev","sat",5,14.694,0.61295640591771,10,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.694,,1,
"2D8_gradient_5x5_10","pnml","chain-prev","sat",5,0.373,0.0748405712906516,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373,,1,
"2D8_gradient_5x5_50","pnml","chain-prev","sat",5,9.745,0.56425467063493,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.745,,1,
"5-10_phaseVariation","pnml","chain-prev","sat",5,22.114,1.08102009437588,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.114,,1,
"AirplaneLD-pt-0010","pnml","chain-prev","sat",5,0.054,0.0107496769977314,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,,1,
"AirplaneLD-pt-0020","pnml","chain-prev","sat",5,0.188,0.0439191175786683,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188,,1,
"AirplaneLD-pt-0050","pnml","chain-prev","sat",5,0.762,0.0361478445646026,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.762,,1,
"AirplaneLD-pt-0100","pnml","chain-prev","sat",5,2.533,0.0948741856940607,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.533,,1,
"AirplaneLD-pt-0200","pnml","chain-prev","sat",5,8.565,0.253124914266104,10,12199887,12621738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.565,,1,
"angiogenesis-01","pnml","chain-prev","sat",5,0.03,0.00816496580927726,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,1,
"angiogenesis-05","pnml","chain-prev","sat",5,1.358,0.0592171146432065,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.358,,1,
"angiogenesis-10","pnml","chain-prev","sat",5,27.377,1.30214395858864,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.377,,1,
"angiogenesis-15","pnml","chain-prev","sat",5,484.059,40.9276734550651,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.059,,1,
