"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","profile.x","span.x","statespace.states","Unnamed..0","Unnamed..0.1","type","status","status.spec","regroup.strategy","regroup.time","bandwidth","profile.y","span.y","average.wavefront","RMS.wavefront","state.vector.length","groups","group.checks","next.state.calls","reachability.time","statespace.nodes","group.next","group.explored.nodes","group.explored.vectors","time","memory","peak.nodes","LDDop.union","LDDop.minus","LDDop.relProd","LDDop.satCount","LDDop.satCountL","LDDop.zip","LDDop.relProdUnion","LDDop.projectMinus","Unnamed..36","timeBest","memBest","timeMark","memMark"
"2-10_phaseVariation","pnml","chain","sat",5,0.644,0.0414192655120242,10,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.644,,1,
"2D8_gradient_10x10_10","pnml","chain","sat",5,2.098,0.158170091287126,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.098,,1,
"2D8_gradient_20x20_10","pnml","chain","sat",5,14.688,0.724749765244682,10,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.688,,1,
"2D8_gradient_5x5_10","pnml","chain","sat",5,0.367,0.0397352348538283,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.367,,1,
"2D8_gradient_5x5_50","pnml","chain","sat",5,9.812,0.747154602475284,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.812,,1,
"5-10_phaseVariation","pnml","chain","sat",5,23.012,1.50855191786325,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.012,,1,
"AirplaneLD-pt-0010","pnml","chain","sat",5,0.06,0.0173205080756888,9,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,1,
"AirplaneLD-pt-0020","pnml","chain","sat",5,0.192,0.0444222166638872,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192,,1,
"AirplaneLD-pt-0050","pnml","chain","sat",5,0.796,0.0501553143301441,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.796,,1,
"AirplaneLD-pt-0100","pnml","chain","sat",5,2.526,0.179579756344887,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.526,,1,
"AirplaneLD-pt-0200","pnml","chain","sat",5,8.668,0.408569319563876,10,12199887,12621738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.668,,1,
"angiogenesis-01","pnml","chain","sat",5,0.03,0.0105409255338946,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,1,
"angiogenesis-05","pnml","chain","sat",5,1.338,0.0694102137857086,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.338,,1,
"angiogenesis-10","pnml","chain","sat",5,27.602,2.06689676138462,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.602,,1,
"angiogenesis-15","pnml","chain","sat",5,481.447,38.5912958090581,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.447,,1,
"BridgeAndVehicles-V04-P05-N02-unfolded","pnml","chain","sat",5,0.22,0.0323178657161089,10,35432,39034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,1,
"BridgeAndVehicles-V10-P10-N10-unfolded","pnml","chain","sat",5,4.898,0.191763743531809,10,1351610,1392323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.898,,1,
"circadian_clock-000001","pnml","chain","sat",5,0.007,0.00483045891539648,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,1,
"circadian_clock-000010","pnml","chain","sat",5,0.059,0.0172884033065199,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,,1,
"circadian_clock-000100","pnml","chain","sat",5,8.557,0.456947602150521,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.557,,1,
"CircularTrain-012","pnml","chain","sat",5,0.015,0.00707106781186548,10,1562,1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,1,
"CircularTrain-024","pnml","chain","sat",5,0.062,0.0187379590967403,10,3308,3685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,,1,
"closed_system1","pnml","chain","sat",5,0.426,0.0592921205182911,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426,,1,
"closed_system2","pnml","chain","sat",5,0.619,0.013703203194063,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.619,,1,
"closed_system3","pnml","chain","sat",5,0.945,0.0400693842672377,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.945,,1,
"closed_system4","pnml","chain","sat",5,1.048,0.056134758493389,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.048,,1,
"closed_system5","pnml","chain","sat",5,0.844,0.0648416875508684,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.844,,1,
"cs_repetitions-2-unfolded","pnml","chain","sat",5,0.071,0.0166332999331662,10,3536,4492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,,1,
"cs_repetitions-3-unfolded","pnml","chain","sat",5,0.798,0.0269979423084221,10,36009,41484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.798,,1,
"database2UNFOLD","pnml","chain","sat",5,0.016,0.00516397779494322,10,2266,2914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,,1,
"dekker-10","pnml","chain","sat",5,0.651,0.111100555054119,10,176152,194690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.651,,1,
"dekker-15","pnml","chain","sat",5,14.397,0.751665558018399,10,858894,918960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.397,,1,
"desel_esparza_10_3a","pnml","chain","sat",5,0.005,0.0052704627669473,10,558,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,1,
"desel_esparza_10_3b","pnml","chain","sat",5,0.008,0.00421637021355784,10,592,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,1,
"desel_esparza_8_1","pnml","chain","sat",5,0.004,0.00516397779494322,10,428,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,1,
"desel_esparza_8_3","pnml","chain","sat",5,0.006,0.00699205898780101,10,989,1281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,1,
"desel_esparza_9_5","pnml","chain","sat",5,0.016,0.00516397779494322,10,539,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,,1,
"dnawalk-01","pnml","chain","sat",5,0.061,0.0202484567313166,10,21419,23336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061,,1,
"dnawalk-02","pnml","chain","sat",5,0.06,0.0105409255338946,10,26809,28367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,1,
"dnawalk-03","pnml","chain","sat",5,0.073,0.0125166555703457,10,20846,22802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.073,,1,
"dnawalk-04","pnml","chain","sat",5,0.838,0.0687669171105474,10,110419,119561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.838,,1,
"dnawalk-05","pnml","chain","sat",5,1.38333333333333,0.0674536878161602,9,129945,138027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38333333333333,,1,
"dnawalk-06","pnml","chain","sat",5,1.848,0.151129083898501,10,120374,128204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.848,,1,
"dnawalk-07","pnml","chain","sat",5,1.698,0.0742069179165034,10,127513,135138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.698,,1,
"dnawalk-08","pnml","chain","sat",5,2.046,0.0850098033562405,10,205704,220717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.046,,1,
"dnawalk-09","pnml","chain","sat",5,1.812,0.0962404396406325,10,195145,208669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.812,,1,
"dnawalk-10","pnml","chain","sat",5,2.671,0.076804224420854,10,209109,224590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.671,,1,
"dnawalk-11","pnml","chain","sat",5,2.003,0.105940234723798,10,204980,222289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.003,,1,
"dnawalk-12","pnml","chain","sat",5,9.43333333333333,0.48931073971455,9,234744,252018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.43333333333333,,1,
"dnawalk-13","pnml","chain","sat",5,32.391,1.16556567096553,10,264142,281046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.391,,1,
"dnawalk-14","pnml","chain","sat",5,12.982,0.954519076114599,10,245188,261235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.982,,1,
"dnawalk-15","pnml","chain","sat",5,9.533,0.486804774924085,10,236032,252973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.533,,1,
"erk-000010","pnml","chain","sat",5,0.079,0.0152388392675499,10,526,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,,1,
"erk-000100","pnml","chain","sat",5,76.376,5.09362608233728,10,526,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.376,,1,
"fivediningphilosophers-2at1ce-boxed","pnml","chain","sat",5,0.005,0.0052704627669473,10,737,969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,1,
"fivediningphilosophers-3_32","pnml","chain","sat",5,0.005,0.0052704627669473,10,760,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,1,
"fivediningphilosophers-boxed","pnml","chain","sat",5,0.012,0.00788810637746615,10,2399,3075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,,1,
"fivediningphilosophers-lr-boxed","pnml","chain","sat",5,0.011,0.00567646212197547,10,1014,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,,1,
"FMS-10","pnml","chain","sat",5,0.135,0.0340750805004348,10,755,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,,1,
"FMS-100","pnml","chain","sat",5,51.093,3.58002808803382,10,755,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.093,,1,
"FMS-2","pnml","chain","sat",5,0.014,0.00843274042711568,10,755,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,,1,
"FMS-20","pnml","chain","sat",5,0.542,0.0532916503778969,10,755,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.542,,1,
"FMS-5","pnml","chain","sat",5,0.037,0.00823272602348565,10,755,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,,1,
"FMS-50","pnml","chain","sat",5,4.669,0.35601029947648,10,755,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.669,,1,
"G-PPP-1-1","pnml","chain","sat",5,0.072,0.0229975844142138,10,3079,3631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.072,,1,
"G-PPP-1-10","pnml","chain","sat",5,0.164,0.0432563418600222,10,3079,3631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164,,1,
"G-PPP-1-100","pnml","chain","sat",5,1.618,0.0985224170768595,10,3079,3631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.618,,1,
"G-PPP-10-10","pnml","chain","sat",5,4.78,0.213489526154746,10,3079,3631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78,,1,
"G-PPP-10-100","pnml","chain","sat",5,9.091,0.85561478871433,10,3079,3631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.091,,1,
