Unnamed: 0,Unnamed: 0.1,type,status,status-spec,order,saturation,sat-granularity,filename,filetype,regroup-strategy,regroup-time,bandwidth,profile,span,average-wavefront,RMS-wavefront,state-vector-length,groups,group-checks,next-state-calls,reachability-time,statespace-states,statespace-nodes,group-next,group-explored-nodes,group-explored-vectors,time,memory,peak-nodes,LDDop-union,LDDop-minus,LDDop-relProd,LDDop-satCount,LDDop-satCountL,LDDop-zip,LDDop-relProdUnion,LDDop-projectMinus,Unnamed: 36
21,22,performance,done,,bfs,sat-fix,5,AirplaneLD-pt-0100,pnml,"tg,bs,hf",1.41,4165.0,3061025.0,3183488.0,46.574149,70.626644,719.0,808.0,5656.0,7.0,3.07,34877423.0,4190.0,6156.0,6853.0,3729.0,4.9,2898796.0,,,,,,,,,,
23,24,performance,done,,bfs,sat-fix,5,AirplaneLD-pt-0050,pnml,"tg,bs,hf",0.32,2030.0,875026.0,907075.0,22.83819,26.226059999999997,369.0,408.0,2856.0,7.0,1.17,4471223.0,2056.0,3106.0,3474.0,1879.0,1.66,2619044.0,,,,,,,,,,
36,39,performance,done,,bfs,sat-fix,5,dnawalk-06,pnml,"tg,bs,hf",0.05,507.0,120374.0,128204.0,25.4974,26.7977,34.0,250.0,1500.0,6.0,1.54,435340831.0,5758.0,1205.0,1880.0,1806.0,1.6,2447864.0,,,,,,,,,,
41,44,performance,done,,bfs,sat-fix,5,peterson_4_3,pnml,"tg,bs,hf",0.0,7.0,124.0,168.0,4.29,4.44,5.0,4.0,8.0,2.0,0.0,3.0,11.0,28.0,26.0,12.0,0.0,76.0,,,,,,,,,,
42,45,performance,done,,bfs,sat-fix,5,desel_esparza_9_4,pnml,"tg,bs,hf",0.0,12.0,150.0,181.0,5.0,5.24,3.0,5.0,10.0,2.0,0.0,3.0,7.0,25.0,25.0,15.0,0.0,72.0,,,,,,,,,,
49,52,performance,done,,bfs,sat-fix,5,AirplaneLD-pt-0200,pnml,"tg,bs,hf",5.58,8315.0,12199887.0,12621738.0,78.79391700000002,134.80908,1419.0,1608.0,11256.0,7.0,10.89,275494823.0,8240.0,12256.0,13653.0,7429.0,17.68,2944672.0,,,,,,,,,,
52,55,performance,done,,bfs,sat-fix,5,G-PPP-10-100,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,1826.0,83.0,23.09,176894515156.0,128866.0,11653.0,11487.0,486397.0,23.14,2978268.0,,,,,,,,,,
56,59,performance,done,,bfs,sat-fix,5,IOTP_c1m1p1d1,pnml,"tg,bs,hf",0.01,173.0,10421.0,11521.0,11.934000000000001,12.6417,111.0,45.0,1890.0,42.0,0.2,204.0,612.0,491.0,569.0,177.0,0.23,823500.0,,,,,,,,,,
59,62,performance,done,,bfs,sat-fix,5,2D8_gradient_10x10_10,pnml,"tg,bs,hf",0.34,500.0,382122.0,400254.0,34.7421,35.59990999999999,100.0,684.0,10260.0,15.0,3.97,42634215112710.0,6490.0,58824.0,52668.0,45144.0,4.38,2844444.0,,,,,,,,,,
60,63,performance,done,,bfs,sat-fix,5,gen_sound_is_dec_no-bwf,pnml,"tg,bs,hf",0.0,5.0,48.0,62.0,3.6,3.8,3.0,2.0,12.0,6.0,0.0,6.0,13.0,21.0,25.0,12.0,0.0,72.0,,,,,,,,,,
75,81,performance,done,,bfs,sat-fix,5,SmallOperatingSystem-MT0064DC0016,pnml,"tg,bs,hf",0.0,17.0,432.0,590.0,6.727,7.023,9.0,8.0,544.0,68.0,9.54,4077909.0,50233.0,10776.0,9187.0,40248.0,9.56,2884012.0,,,,,,,,,,
88,96,performance,done,,bfs,sat-fix,5,desel_esparza_9_5,pnml,"tg,bs,hf",0.0,13.0,539.0,708.0,5.215,5.3420000000000005,16.0,9.0,63.0,7.0,0.02,256.0,32.0,89.0,80.0,46.0,0.02,76.0,,,,,,,,,,
128,139,performance,done,,bfs,sat-fix,5,peterson_3_13,pnml,"tg,bs,hf",0.0,40.0,894.0,1083.0,9.415,9.857999999999999,9.0,12.0,60.0,5.0,0.0,12.0,31.0,76.0,83.0,50.0,0.01,76.0,,,,,,,,,,
