Unnamed: 0,Unnamed: 0.1,type,status,status-spec,order,saturation,sat-granularity,filename,filetype,regroup-strategy,regroup-time,bandwidth,profile,span,average-wavefront,RMS-wavefront,state-vector-length,groups,group-checks,next-state-calls,reachability-time,statespace-states,statespace-nodes,group-next,group-explored-nodes,group-explored-vectors,time,memory,peak-nodes,LDDop-union,LDDop-minus,LDDop-relProd,LDDop-satCount,LDDop-satCountL,LDDop-zip,LDDop-relProdUnion,LDDop-projectMinus,Unnamed: 36
2,2,performance,done,,bfs,sat-like,5,HouseConstruction-010,pnml,"tg,bs,hf",0.0,32.0,1034.0,1247.0,6.516,6.836,26.0,18.0,732.0,732.0,2.69,1663565805.0,30151.0,3258.0,2596.0,10208.0,2.7,2882228.0,,,,,,,,,,
5,5,performance,done,,bfs,sat-like,5,Philosophers-20,pnml,"tg,bs,hf",0.04,43.0,10394.0,14142.0,12.5596,12.76,100.0,100.0,477.0,477.0,0.18,3486784401.0,615.0,740.0,882.0,560.0,0.24,456728.0,,,,,,,,,,
54,56,performance,done,,bfs,sat-like,5,fourdiningphilosophers-boxed,pnml,"tg,bs,hf",0.0,24.0,530.0,713.0,6.269,6.46,12.0,8.0,26.0,26.0,0.01,7.0,38.0,72.0,76.0,40.0,0.01,76.0,,,,,,,,,,
99,105,performance,done,,bfs,sat-like,5,SmallOperatingSystem-MT0128DC0032,pnml,"tg,bs,hf",0.0,17.0,432.0,590.0,6.727,7.023,9.0,8.0,2776.0,2776.0,294.36,113321065.0,355177.0,39976.0,34475.0,268904.0,294.48,3554056.0,,,,,,,,,,
119,125,performance,done,,bfs,sat-like,5,angiogenesis-10,pnml,"tg,bs,hf",0.01,242.0,13805.0,15443.0,16.868,17.667,39.0,64.0,4548.0,4548.0,123.68,822645885495.0,114444.0,9586.0,8137.0,21446.0,123.73,3109364.0,,,,,,,,,,
128,134,performance,done,,bfs,sat-like,5,dnawalk-07,pnml,"tg,bs,hf",0.05,569.0,127513.0,135138.0,28.6163,30.4998,34.0,250.0,10953.0,10953.0,8.85,432884827.0,6520.0,1205.0,1879.0,1806.0,8.91,2938860.0,,,,,,,,,,
129,135,performance,done,,bfs,sat-like,5,Kanban-5,pnml,"tg,bs,hf",0.0,34.0,746.0,941.0,5.653,5.9079999999999995,16.0,16.0,434.0,434.0,0.25,2546432.0,266.0,636.0,540.0,4116.0,0.26,647036.0,,,,,,,,,,
151,161,performance,done,,bfs,sat-like,5,CircularTrain-012,pnml,"tg,bs,hf",0.0,50.0,1562.0,1752.0,8.988,9.258,24.0,12.0,132.0,132.0,0.04,195.0,249.0,124.0,150.0,116.0,0.04,61740.0,,,,,,,,,,
199,210,performance,done,,bfs,sat-like,5,dnawalk-05,pnml,"tg,bs,hf",0.07,450.0,129945.0,138027.0,30.2313,31.7096,34.0,250.0,10743.0,10743.0,10.2,435340831.0,5654.0,1205.0,1879.0,1806.0,10.28,2945136.0,,,,,,,,,,
216,227,performance,done,,bfs,sat-like,5,Kanban-10,pnml,"tg,bs,hf",0.0,34.0,746.0,941.0,5.653,5.9079999999999995,16.0,16.0,814.0,814.0,1.26,1005927208.0,891.0,1806.0,1540.0,67716.0,1.26,2450404.0,,,,,,,,,,
238,250,performance,done,,bfs,sat-like,5,IBM5964,pnml,"tg,bs,hf",0.06,265.0,21268.0,24006.0,11.3213,11.9417,263.0,139.0,664.0,664.0,0.43,15546.0,1024.0,503.0,935.0,441.0,0.54,1354160.0,,,,,,,,,,
274,287,performance,done,,bfs,sat-like,5,simple_lbs-2,pnml,"tg,bs,hf",0.01,241.0,25440.0,29093.0,30.559,32.979,32.0,45.0,1161.0,1161.0,0.24,832.0,1010.0,480.0,923.0,766.0,0.25,770876.0,,,,,,,,,,
306,320,performance,done,,bfs,sat-like,5,QCertifProtocol_02-unfold,pnml,"tg,bs,hf",0.02,185.0,16924.0,19511.0,18.211,19.129,86.0,56.0,670.0,670.0,0.34,1029.0,2546.0,502.0,614.0,549.0,0.38,955568.0,,,,,,,,,,
330,346,performance,done,,bfs,sat-like,5,SmallOperatingSystem-MT0032DC0016,pnml,"tg,bs,hf",0.0,17.0,432.0,590.0,6.727,7.023,9.0,8.0,754.0,754.0,3.54,354501.0,14601.0,5256.0,4275.0,15912.0,3.56,2878484.0,,,,,,,,,,
348,366,performance,done,,bfs,sat-like,5,SmallOperatingSystem-MT0032DC0008,pnml,"tg,bs,hf",0.0,17.0,432.0,590.0,6.727,7.023,9.0,8.0,712.0,712.0,1.92,166515.0,7873.0,3088.0,2591.0,6816.0,1.94,2689688.0,,,,,,,,,,
351,370,performance,done,,bfs,sat-like,5,RAS-C-3,pnml,"tg,bs,hf",0.0,35.0,1373.0,1592.0,8.333,8.719,18.0,12.0,102.0,102.0,0.01,92.0,55.0,108.0,132.0,98.0,0.02,76.0,,,,,,,,,,
357,377,performance,done,,bfs,sat-like,5,IBM5964,pnml,"tg,bs,hf",0.05,265.0,21268.0,24006.0,11.3213,11.9417,263.0,139.0,664.0,664.0,0.38,15546.0,1024.0,503.0,935.0,441.0,0.47,1328812.0,,,,,,,,,,
362,382,performance,done,,bfs,sat-like,5,closed_system4,pnml,"tg,bs,hf",0.09,755.0,73916.0,81489.0,25.323529999999998,27.19165,231.0,202.0,15873.0,15873.0,7.76,2409739.0,21109.0,1648.0,1950.0,1053.0,7.93,2852472.0,,,,,,,,,,
373,393,performance,done,,bfs,sat-like,5,FMS-20,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,1314.0,1314.0,1.37,6029168852784.0,5747.0,4575.0,4245.0,9983.0,1.38,2528644.0,,,,,,,,,,
388,410,performance,done,,bfs,sat-like,5,Philosophers-10,pnml,"tg,bs,hf",0.01,43.0,5119.0,6902.0,12.280999999999999,12.545,50.0,50.0,227.0,227.0,0.07,59049.0,295.0,370.0,441.0,280.0,0.09,129784.0,,,,,,,,,,
389,411,performance,done,,bfs,sat-like,5,desel_esparza_8_1,pnml,"tg,bs,hf",0.0,23.0,428.0,525.0,6.5710000000000015,6.841,8.0,7.0,40.0,40.0,0.0,9.0,26.0,47.0,50.0,27.0,0.01,76.0,,,,,,,,,,
399,421,performance,done,,bfs,sat-like,5,G-PPP-1-100,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,18414.0,18414.0,7.56,145476966.0,3398.0,3717.0,2597.0,26836.0,7.58,2923840.0,,,,,,,,,,
401,423,performance,done,,bfs,sat-like,5,MAPK-20,pnml,"tg,bs,hf",0.0,35.0,1928.0,2576.0,8.3873,8.6753,22.0,30.0,2092.0,2092.0,2.83,88125763956.0,4507.0,7285.0,5980.0,19605.0,2.84,2898472.0,,,,,,,,,,
416,438,performance,done,,bfs,sat-like,5,SmallOperatingSystem-MT0064DC0032,pnml,"tg,bs,hf",0.0,17.0,432.0,590.0,6.727,7.023,9.0,8.0,1490.0,1490.0,39.45,9133641.0,98569.0,18696.0,15435.0,106568.0,39.49,2972912.0,,,,,,,,,,
436,460,performance,done,,bfs,sat-like,5,dnawalk-09,pnml,"tg,bs,hf",0.07,744.0,195145.0,208669.0,37.4456,39.4546,27.0,260.0,15077.0,15077.0,4.52,28209796.0,5542.0,1194.0,1917.0,1800.0,4.62,2894724.0,,,,,,,,,,
437,461,performance,done,,bfs,sat-like,5,closed_system4,pnml,"tg,bs,hf",0.09,755.0,73916.0,81489.0,25.323529999999998,27.19165,231.0,202.0,15873.0,15873.0,7.29,2409739.0,21109.0,1648.0,1950.0,1053.0,7.44,2852320.0,,,,,,,,,,
442,466,performance,done,,bfs,sat-like,5,BridgeAndVehicles-V10-P10-N10-unfolded,pnml,"tg,bs,hf",0.58,1882.0,1351610.0,1392323.0,55.16548,56.845969999999994,48.0,288.0,43225.0,43225.0,26.41,259556.0,88205.0,4364.0,9624.0,13294.0,27.06,2902700.0,,,,,,,,,,
456,483,performance,done,,bfs,sat-like,5,FMS-10,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,694.0,694.0,0.44,2501413200.0,1437.0,1525.0,1365.0,2048.0,0.44,970040.0,,,,,,,,,,
484,513,performance,done,,bfs,sat-like,5,closed_system3,pnml,"tg,bs,hf",0.1,755.0,73916.0,81489.0,25.323529999999998,27.19165,231.0,202.0,16336.0,16336.0,7.23,1465206.0,17804.0,1648.0,1950.0,1053.0,7.39,2837172.0,,,,,,,,,,
516,546,performance,done,,bfs,sat-like,5,unf-8x8-4stageSEN-01,pnml,"tg,bs,hf",1.97,3155.0,3421979.0,3601116.0,93.030835,98.17774,168.0,592.0,162498.0,162498.0,82.57,52537.0,70847.0,6752.0,13475.0,9596.0,84.71,2956136.0,,,,,,,,,,
523,553,performance,done,,bfs,sat-like,5,angiogenesis-05,pnml,"tg,bs,hf",0.0,242.0,13805.0,15443.0,16.868,17.667,39.0,64.0,2801.0,2801.0,4.53,42734935.0,10509.0,3087.0,2747.0,4011.0,4.55,2880508.0,,,,,,,,,,
525,555,performance,done,,bfs,sat-like,5,SmallOperatingSystem-MT0064DC0032,pnml,"tg,bs,hf",0.0,17.0,432.0,590.0,6.727,7.023,9.0,8.0,1490.0,1490.0,38.22,9133641.0,98569.0,18696.0,15435.0,106568.0,38.26,2972992.0,,,,,,,,,,
553,584,performance,done,,bfs,sat-like,5,IOTP_c3m3p3d3,pnml,"tg,bs,hf",0.02,173.0,10421.0,11521.0,11.934000000000001,12.6417,111.0,45.0,2152.0,2152.0,1.95,354176.0,5828.0,1549.0,1416.0,754.0,1.99,2657432.0,,,,,,,,,,
575,607,performance,done,,bfs,sat-like,5,desel_esparza_6_1,pnml,"tg,bs,hf",0.0,23.0,428.0,525.0,6.5710000000000015,6.841,8.0,7.0,7.0,7.0,0.0,1.0,8.0,0.0,20.0,7.0,0.0,4500.0,,,,,,,,,,
580,612,performance,done,,bfs,sat-like,5,Kanban-5,pnml,"tg,bs,hf",0.0,34.0,746.0,941.0,5.653,5.9079999999999995,16.0,16.0,434.0,434.0,0.2,2546432.0,266.0,636.0,540.0,4116.0,0.2,649796.0,,,,,,,,,,
588,620,performance,done,,bfs,sat-like,5,HouseConstruction-020,pnml,"tg,bs,hf",0.0,32.0,1034.0,1247.0,6.516,6.836,26.0,18.0,1392.0,1392.0,53.22,13665907559010.0,428701.0,12698.0,10241.0,98098.0,53.37,3063744.0,,,,,,,,,,
599,633,performance,done,,bfs,sat-like,5,IOTP_c5m4p3d2,pnml,"tg,bs,hf",0.02,173.0,10421.0,11521.0,11.934000000000001,12.6417,111.0,45.0,2548.0,2548.0,3.68,17406024.0,13457.0,2040.0,1805.0,1180.0,3.71,2800912.0,,,,,,,,,,
620,655,performance,done,,bfs,sat-like,5,fourdiningphilosophers-boxed-alt,pnml,"tg,bs,hf",0.0,24.0,530.0,713.0,6.269,6.46,12.0,8.0,26.0,26.0,0.0,7.0,38.0,72.0,76.0,40.0,0.0,76.0,,,,,,,,,,
661,697,performance,done,,bfs,sat-like,5,SwimmingPool-1,pnml,"tg,bs,hf",0.0,17.0,351.0,477.0,6.6670000000000025,7.016,9.0,7.0,460.0,460.0,0.82,89621.0,6729.0,1712.0,1365.0,5327.0,0.84,1862816.0,,,,,,,,,,
663,700,performance,done,,bfs,sat-like,5,rwmutex-r10w20,pnml,"tg,bs,hf",0.07,635.0,190086.0,209131.0,67.4746,73.9121,70.0,60.0,292.0,292.0,0.2,1044.0,983.0,1140.0,1486.0,41060.0,0.29,369312.0,,,,,,,,,,
672,709,performance,done,,bfs,sat-like,5,Kanban-10,pnml,"tg,bs,hf",0.0,34.0,746.0,941.0,5.653,5.9079999999999995,16.0,16.0,814.0,814.0,1.27,1005927208.0,891.0,1806.0,1540.0,67716.0,1.27,2443580.0,,,,,,,,,,
673,710,performance,done,,bfs,sat-like,5,CircularTrain-024,pnml,"tg,bs,hf",0.0,145.0,3308.0,3685.0,9.4821,9.6359,48.0,24.0,558.0,558.0,0.24,86515.0,1003.0,248.0,285.0,232.0,0.25,582460.0,,,,,,,,,,
682,719,performance,done,,bfs,sat-like,5,SmallOperatingSystem-MT0016DC0008,pnml,"tg,bs,hf",0.0,17.0,432.0,590.0,6.727,7.023,9.0,8.0,386.0,386.0,0.39,16587.0,2473.0,1608.0,1287.0,2712.0,0.4,1353668.0,,,,,,,,,,
704,741,performance,done,,bfs,sat-like,5,IBM703,pnml,"tg,bs,hf",0.11,288.0,19691.0,22410.0,9.722719,10.40822,262.0,284.0,3551.0,3551.0,0.83,8370.0,1172.0,1428.0,1432.0,860.0,0.98,2090656.0,,,,,,,,,,
