Unnamed: 0,Unnamed: 0.1,type,status,status-spec,order,saturation,sat-granularity,filename,filetype,regroup-strategy,regroup-time,bandwidth,profile,span,average-wavefront,RMS-wavefront,state-vector-length,groups,group-checks,next-state-calls,reachability-time,statespace-states,statespace-nodes,group-next,group-explored-nodes,group-explored-vectors,time,memory,peak-nodes,LDDop-union,LDDop-minus,LDDop-relProd,LDDop-satCount,LDDop-satCountL,LDDop-zip,LDDop-relProdUnion,LDDop-projectMinus,Unnamed: 36
16,16,performance,done,,bfs,sat-loop,5,diningphilosopher,pnml,"tg,bs,hf",0.0,10.0,170.0,227.0,5.57,5.84,5.0,4.0,4.0,4.0,0.0,1.0,5.0,0.0,12.0,4.0,0.01,76.0,,,,,,,,,,
47,49,performance,done,,bfs,sat-loop,5,AirplaneLD-pt-0050,pnml,"tg,bs,hf",0.46,2030.0,875026.0,907075.0,22.83819,26.226059999999997,369.0,408.0,1859.0,1859.0,1.01,4471223.0,2056.0,3106.0,3474.0,1879.0,1.7,2624144.0,,,,,,,,,,
63,65,performance,done,,bfs,sat-loop,5,desel_esparza_8_2,pnml,"tg,bs,hf",0.0,22.0,559.0,733.0,7.881,8.19,10.0,6.0,30.0,30.0,0.0,7.0,32.0,58.0,84.0,38.0,0.01,76.0,,,,,,,,,,
71,74,performance,done,,bfs,sat-loop,5,desel_esparza_8_2,pnml,"tg,bs,hf",0.0,22.0,559.0,733.0,7.881,8.19,10.0,6.0,30.0,30.0,0.0,7.0,32.0,58.0,84.0,38.0,0.01,76.0,,,,,,,,,,
75,78,performance,done,,bfs,sat-loop,5,HouseConstruction-010,pnml,"tg,bs,hf",0.0,32.0,1034.0,1247.0,6.516,6.836,26.0,18.0,768.0,768.0,4.95,1663565805.0,30151.0,3258.0,2596.0,10208.0,4.96,2913120.0,,,,,,,,,,
85,88,performance,done,,bfs,sat-loop,5,angiogenesis-10,pnml,"tg,bs,hf",0.0,242.0,13805.0,15443.0,16.868,17.667,39.0,64.0,4054.0,4054.0,156.01,822645885495.0,114444.0,9586.0,8137.0,21446.0,156.06,3206684.0,,,,,,,,,,
93,96,performance,done,,bfs,sat-loop,5,closed_system2,pnml,"tg,bs,hf",0.14,755.0,73916.0,81489.0,25.323529999999998,27.19165,231.0,202.0,15231.0,15231.0,8.93,349874.0,10107.0,1648.0,1950.0,1053.0,9.16,2868932.0,,,,,,,,,,
96,102,performance,done,,bfs,sat-loop,5,FMS-50,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,3185.0,3185.0,26.96,4.24025581818266e+17,46077.0,23325.0,22485.0,109188.0,26.98,3040356.0,,,,,,,,,,
100,106,performance,done,,bfs,sat-loop,5,HouseConstruction-005,pnml,"tg,bs,hf",0.0,32.0,1034.0,1247.0,6.516,6.836,26.0,18.0,438.0,438.0,0.64,1187984.0,3176.0,988.0,811.0,1463.0,0.65,1893676.0,,,,,,,,,,
110,116,performance,done,,bfs,sat-loop,5,dnawalk-01,pnml,"tg,bs,hf",0.01,225.0,21419.0,23336.0,17.871,18.95,13.0,82.0,1004.0,1004.0,0.21,3795.0,265.0,379.0,608.0,578.0,0.22,527624.0,,,,,,,,,,
130,136,performance,done,,bfs,sat-loop,5,dnawalk-09,pnml,"tg,bs,hf",0.05,744.0,195145.0,208669.0,37.4456,39.4546,27.0,260.0,6877.0,6877.0,6.74,28209796.0,5542.0,1194.0,1917.0,1800.0,6.81,2910868.0,,,,,,,,,,
145,153,performance,done,,bfs,sat-loop,5,peterson_3_13,pnml,"tg,bs,hf",0.0,40.0,894.0,1083.0,9.415,9.857999999999999,9.0,12.0,72.0,72.0,0.0,12.0,31.0,76.0,83.0,50.0,0.01,76.0,,,,,,,,,,
154,164,performance,done,,bfs,sat-loop,5,desel_esparza_7_3,pnml,"tg,bs,hf",0.0,25.0,477.0,583.0,7.053999999999999,7.343,9.0,6.0,36.0,36.0,0.0,6.0,32.0,50.0,62.0,30.0,0.01,76.0,,,,,,,,,,
157,167,performance,done,,bfs,sat-loop,5,IOTP_c3m3p3d3,pnml,"tg,bs,hf",0.02,173.0,10421.0,11521.0,11.934000000000001,12.6417,111.0,45.0,2201.0,2201.0,3.14,354176.0,5828.0,1549.0,1416.0,754.0,3.19,2805924.0,,,,,,,,,,
175,186,performance,done,,bfs,sat-loop,5,RAS-C-20,pnml,"tg,bs,hf",0.03,34.0,9045.0,12447.0,9.07762,9.17883,120.0,80.0,698.0,698.0,0.49,406454747136.0,1049.0,788.0,1226.0,1016.0,0.55,1333560.0,,,,,,,,,,
180,191,performance,done,,bfs,sat-loop,5,G-PPP-1-100,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,17824.0,17824.0,8.24,145476966.0,3398.0,3717.0,2597.0,26836.0,8.25,2927484.0,,,,,,,,,,
195,206,performance,done,,bfs,sat-loop,5,AirplaneLD-pt-0100,pnml,"tg,bs,hf",1.38,4165.0,3061025.0,3183488.0,46.574149,70.626644,719.0,808.0,4472.0,4472.0,3.42,34877423.0,4190.0,6156.0,6853.0,3729.0,5.24,2911604.0,,,,,,,,,,
197,208,performance,done,,bfs,sat-loop,5,AirplaneLD-pt-0050,pnml,"tg,bs,hf",0.47,2030.0,875026.0,907075.0,22.83819,26.226059999999997,369.0,408.0,1859.0,1859.0,1.11,4471223.0,2056.0,3106.0,3474.0,1879.0,1.81,2609896.0,,,,,,,,,,
211,222,performance,done,,bfs,sat-loop,5,Philosophers-20,pnml,"tg,bs,hf",0.02,43.0,10394.0,14142.0,12.5596,12.76,100.0,100.0,398.0,398.0,0.15,3486784401.0,615.0,740.0,882.0,560.0,0.18,523556.0,,,,,,,,,,
226,237,performance,done,,bfs,sat-loop,5,dnawalk-06,pnml,"tg,bs,hf",0.07,507.0,120374.0,128204.0,25.4974,26.7977,34.0,250.0,7919.0,7919.0,13.35,435340831.0,5758.0,1205.0,1880.0,1806.0,13.44,2969224.0,,,,,,,,,,
230,242,performance,done,,bfs,sat-loop,5,gen_sound_is_dec_no-bwf,pnml,"tg,bs,hf",0.0,5.0,48.0,62.0,3.6,3.8,3.0,2.0,14.0,14.0,0.0,6.0,13.0,21.0,25.0,12.0,0.0,76.0,,,,,,,,,,
243,255,performance,done,,bfs,sat-loop,5,cs_repetitions-3-unfolded,pnml,"tg,bs,hf",0.02,365.0,36009.0,41484.0,27.1296,28.8285,58.0,81.0,2059.0,2059.0,7.43,134074721.0,7134.0,1173.0,1411.0,1206.0,7.46,2903232.0,,,,,,,,,,
249,262,performance,done,,bfs,sat-loop,5,G-PPP-1-10,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,2074.0,2074.0,0.88,1655346.0,2858.0,1557.0,1517.0,2356.0,0.9,2164412.0,,,,,,,,,,
251,264,performance,done,,bfs,sat-loop,5,trg_1-50-0,pnml,"tg,bs,hf",0.0,41.0,1223.0,1581.0,9.461,9.994,16.0,12.0,2184.0,2184.0,32.67,705712.0,36713.0,3015.0,2124.0,15996.0,32.68,2942748.0,,,,,,,,,,
263,276,performance,done,,bfs,sat-loop,5,philo_dyn-3-unfolded,pnml,"tg,bs,hf",0.04,535.0,136974.0,153600.0,64.6528,70.7235,30.0,84.0,620.0,620.0,0.19,325.0,641.0,561.0,1695.0,1743.0,0.24,716208.0,,,,,,,,,,
268,281,performance,done,,bfs,sat-loop,5,FMS-2,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,209.0,209.0,0.03,3444.0,123.0,225.0,203.0,140.0,0.04,87860.0,,,,,,,,,,
