Unnamed: 0,Unnamed: 0.1,type,status,status-spec,order,saturation,sat-granularity,filename,filetype,regroup-strategy,regroup-time,bandwidth,profile,span,average-wavefront,RMS-wavefront,state-vector-length,groups,group-checks,next-state-calls,reachability-time,statespace-states,statespace-nodes,group-next,group-explored-nodes,group-explored-vectors,time,memory,peak-nodes,LDDop-union,LDDop-minus,LDDop-relProd,LDDop-satCount,LDDop-satCountL,LDDop-zip,LDDop-relProdUnion,LDDop-projectMinus,Unnamed: 36
6,6,performance,done,,bfs,none,5,QCertifProtocol_02-unfold,pnml,"tg,bs,hf",0.02,185.0,16924.0,19511.0,18.211,19.129,86.0,56.0,1736.0,1736.0,0.64,1029.0,2546.0,502.0,614.0,549.0,0.67,1850996.0,,,,,,,,,,
7,7,performance,done,,bfs,none,5,dnawalk-03,pnml,"tg,bs,hf",0.01,231.0,20846.0,22802.0,17.546,18.576,14.0,84.0,924.0,924.0,0.26,5248.0,433.0,387.0,618.0,586.0,0.28,817716.0,,,,,,,,,,
23,23,performance,done,,bfs,none,5,MAPK-40,pnml,"tg,bs,hf",0.0,35.0,1928.0,2576.0,8.3873,8.6753,22.0,30.0,10830.0,10830.0,1298.47,478293389221095.0,24492.0,25465.0,20770.0,128280.0,1298.51,3920748.0,,,,,,,,,,
24,24,performance,done,,bfs,none,5,SmallOperatingSystem-MT0064DC0032,pnml,"tg,bs,hf",0.0,17.0,432.0,590.0,6.727,7.023,9.0,8.0,2312.0,2312.0,260.37,9133641.0,98569.0,18696.0,15435.0,106568.0,260.42,3832868.0,,,,,,,,,,
25,25,performance,done,,bfs,none,5,fivediningphilosophers-3_32,pnml,"tg,bs,hf",0.0,30.0,760.0,992.0,7.615,7.939,15.0,10.0,40.0,40.0,0.02,11.0,50.0,90.0,100.0,50.0,0.02,76.0,,,,,,,,,,
29,29,performance,done,,bfs,none,5,MAPK-40,pnml,"tg,bs,hf",0.0,35.0,1928.0,2576.0,8.3873,8.6753,22.0,30.0,10830.0,10830.0,1200.37,478293389221095.0,24492.0,25465.0,20770.0,128280.0,1200.39,3925220.0,,,,,,,,,,
37,37,performance,done,,bfs,none,5,2-10_phaseVariation,pnml,"tg,bs,hf",0.02,382.0,71936.0,76887.0,25.9313,26.8135,14.0,65.0,845.0,845.0,1.79,7716.0,3731.0,4423.0,4646.0,17471.0,1.83,2716016.0,,,,,,,,,,
70,73,performance,done,,bfs,none,5,SwimmingPool-1,pnml,"tg,bs,hf",0.0,17.0,351.0,477.0,6.6670000000000025,7.016,9.0,7.0,707.0,707.0,3.46,89621.0,6729.0,1712.0,1365.0,5327.0,3.47,2811648.0,,,,,,,,,,
88,91,performance,done,,bfs,none,5,Kanban-10,pnml,"tg,bs,hf",0.0,34.0,746.0,941.0,5.653,5.9079999999999995,16.0,16.0,2256.0,2256.0,5.93,1005927208.0,891.0,1806.0,1540.0,67716.0,5.94,2911780.0,,,,,,,,,,
97,103,performance,done,,bfs,none,5,MAPK-8,pnml,"tg,bs,hf",0.0,35.0,1928.0,2576.0,8.3873,8.6753,22.0,30.0,2190.0,2190.0,1.55,6110643.0,668.0,1621.0,1378.0,2112.0,1.56,2674484.0,,,,,,,,,,
108,114,performance,done,,bfs,none,5,FMS-10,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,2820.0,2820.0,4.68,2501413200.0,1437.0,1525.0,1365.0,2048.0,4.68,2903056.0,,,,,,,,,,
124,130,performance,done,,bfs,none,5,IBM703,pnml,"tg,bs,hf",0.08,288.0,19691.0,22410.0,9.722719,10.40822,262.0,284.0,28400.0,28400.0,7.12,8370.0,1172.0,1428.0,1432.0,860.0,7.22,2905456.0,,,,,,,,,,
131,138,performance,done,,bfs,none,5,peterson_4_2b,pnml,"tg,bs,hf",0.0,7.0,98.0,132.0,4.18,4.33,5.0,3.0,12.0,12.0,0.0,4.0,9.0,21.0,17.0,8.0,0.01,80.0,,,,,,,,,,
134,141,performance,done,,bfs,none,5,FMS-20,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,5620.0,5620.0,63.71,6029168852784.0,5747.0,4575.0,4245.0,9983.0,63.72,3014760.0,,,,,,,,,,
