Unnamed: 0,Unnamed: 0.1,type,status,status-spec,order,saturation,sat-granularity,filename,filetype,regroup-strategy,regroup-time,bandwidth,profile,span,average-wavefront,RMS-wavefront,state-vector-length,groups,group-checks,next-state-calls,reachability-time,statespace-states,statespace-nodes,group-next,group-explored-nodes,group-explored-vectors,time,memory,peak-nodes,LDDop-union,LDDop-minus,LDDop-relProd,LDDop-satCount,LDDop-satCountL,LDDop-zip,LDDop-relProdUnion,LDDop-projectMinus,Unnamed: 36
8,8,performance,done,,bfs-prev,sat-like,5,G-PPP-10-10,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,1596.0,1596.0,13.72,23537012497.0,120247.0,10051.0,10306.0,254376.0,13.75,3054476.0,,,,,,,,,,
41,41,performance,done,,bfs-prev,sat-like,5,peterson_3_17,pnml,"tg,bs,hf",0.0,37.0,1851.0,2418.0,10.702,11.048,18.0,21.0,286.0,286.0,0.02,64.0,144.0,146.0,153.0,112.0,0.02,72.0,,,,,,,,,,
46,48,performance,done,,bfs-prev,sat-like,5,closed_system5,pnml,"tg,bs,hf",0.15,755.0,73916.0,81489.0,25.323529999999998,27.19165,231.0,202.0,12721.0,12721.0,5.23,1657242.0,17936.0,1648.0,1950.0,1053.0,5.48,2899612.0,,,,,,,,,,
92,95,performance,done,,bfs-prev,sat-like,5,Kanban-20,pnml,"tg,bs,hf",0.0,34.0,746.0,941.0,5.653,5.9079999999999995,16.0,16.0,1574.0,1574.0,11.8,805422366595.0,3766.0,5796.0,5040.0,1532916.0,11.8,3093556.0,,,,,,,,,,
98,104,performance,done,,bfs-prev,sat-like,5,2D8_gradient_10x10_10,pnml,"tg,bs,hf",0.47,500.0,382122.0,400254.0,34.7421,35.59990999999999,100.0,684.0,11498.0,11498.0,6.13,42634215112710.0,6490.0,58824.0,52668.0,45144.0,6.67,2945208.0,,,,,,,,,,
101,107,performance,done,,bfs-prev,sat-like,5,rwmutex-r10w500,pnml,"tg,bs,hf",37.85,12330.0,84696265.0,89983965.0,1076.75875,1219.89872,1030.0,1020.0,58636.0,58636.0,76.89,1524.0,226706.0,25140.0,34068.0,1025060.0,115.5,2929060.0,,,,,,,,,,
112,118,performance,done,,bfs-prev,sat-like,5,trg_1-50-0,pnml,"tg,bs,hf",0.0,41.0,1223.0,1581.0,9.461,9.994,16.0,12.0,2819.0,2819.0,5.38,705712.0,36713.0,3015.0,2124.0,15996.0,5.39,2925340.0,,,,,,,,,,
117,123,performance,done,,bfs-prev,sat-like,5,PaceMaker,pnml,"tg,bs,hf",0.05,340.0,52985.0,58991.0,21.081,22.549,70.0,164.0,12481.0,12481.0,2.51,3.68026085700403e+17,1175.0,1202.0,3130.0,3117.0,2.59,2894508.0,,,,,,,,,,
139,147,performance,done,,bfs-prev,sat-like,5,peterson_3_16,pnml,"tg,bs,hf",0.0,44.0,1781.0,2180.0,10.73,11.3,14.0,18.0,182.0,182.0,0.02,25.0,60.0,119.0,146.0,85.0,0.03,76.0,,,,,,,,,,
146,154,performance,done,,bfs-prev,sat-like,5,IBM703,pnml,"tg,bs,hf",0.11,288.0,19691.0,22410.0,9.722719,10.40822,262.0,284.0,3551.0,3551.0,1.02,8370.0,1172.0,1428.0,1432.0,860.0,1.19,2293884.0,,,,,,,,,,
160,170,performance,done,,bfs-prev,sat-like,5,QCertifProtocol_06-unfold,pnml,"tg,bs,hf",0.12,624.0,151011.0,168691.0,40.200959999999995,42.76029000000001,270.0,116.0,2631.0,2631.0,10.43,2271960.0,359274.0,1893.0,2349.0,11511.0,10.75,2901640.0,,,,,,,,,,
164,174,performance,done,,bfs-prev,sat-like,5,peterson_3_16,pnml,"tg,bs,hf",0.0,44.0,1781.0,2180.0,10.73,11.3,14.0,18.0,182.0,182.0,0.02,25.0,60.0,119.0,146.0,85.0,0.02,76.0,,,,,,,,,,
168,178,performance,done,,bfs-prev,sat-like,5,Philosophers-200,pnml,"tg,bs,hf",2.02,43.0,107162.0,145703.0,12.968653999999999,13.108870999999999,1000.0,1000.0,4977.0,4977.0,3.86,2.6561398887587525e+95,6375.0,7400.0,8802.0,5600.0,6.12,2926152.0,,,,,,,,,,
