Unnamed: 0,Unnamed: 0.1,type,status,status-spec,order,saturation,sat-granularity,filename,filetype,regroup-strategy,regroup-time,bandwidth,profile,span,average-wavefront,RMS-wavefront,state-vector-length,groups,group-checks,next-state-calls,reachability-time,statespace-states,statespace-nodes,group-next,group-explored-nodes,group-explored-vectors,time,memory,peak-nodes,LDDop-union,LDDop-minus,LDDop-relProd,LDDop-satCount,LDDop-satCountL,LDDop-zip,LDDop-relProdUnion,LDDop-projectMinus,Unnamed: 36
19,19,performance,done,,bfs-prev,sat-loop,5,FMS-50,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,3172.0,3172.0,14.82,4.24025581818266e+17,46077.0,23325.0,22485.0,109188.0,14.86,3095912.0,,,,,,,,,,
31,31,performance,done,,bfs-prev,sat-loop,5,Philosophers-10,pnml,"tg,bs,hf",0.01,43.0,5119.0,6902.0,12.280999999999999,12.545,50.0,50.0,190.0,190.0,0.04,59049.0,295.0,370.0,441.0,280.0,0.06,209320.0,,,,,,,,,,
35,35,performance,done,,bfs-prev,sat-loop,5,2D8_gradient_20x20_10,pnml,"tg,bs,hf",6.56,1828.0,3628591.0,3813154.0,77.494404,80.18825799999998,400.0,2964.0,69606.0,69606.0,264.07,3.23081977575776e+19,26290.0,254904.0,228228.0,195624.0,271.0,3937812.0,,,,,,,,,,
42,44,performance,done,,bfs-prev,sat-loop,5,rwmutex-r10w500,pnml,"tg,bs,hf",40.63,12330.0,84696265.0,89983965.0,1076.75875,1219.89872,1030.0,1020.0,3058.0,3058.0,95.72,1524.0,226706.0,25140.0,34068.0,1025060.0,137.18,2929584.0,,,,,,,,,,
44,46,performance,done,,bfs-prev,sat-loop,5,RAS-C-3,pnml,"tg,bs,hf",0.0,35.0,1373.0,1592.0,8.333,8.719,18.0,12.0,88.0,88.0,0.02,92.0,55.0,108.0,132.0,98.0,0.03,72.0,,,,,,,,,,
57,59,performance,done,,bfs-prev,sat-loop,5,dnawalk-09,pnml,"tg,bs,hf",0.07,744.0,195145.0,208669.0,37.4456,39.4546,27.0,260.0,6689.0,6689.0,7.91,28209796.0,5542.0,1194.0,1917.0,1800.0,8.01,2941972.0,,,,,,,,,,
65,68,performance,done,,bfs-prev,sat-loop,5,fivediningphilosophers-lr-boxed,pnml,"tg,bs,hf",0.0,36.0,1014.0,1320.0,7.165,7.354,20.0,15.0,66.0,66.0,0.01,82.0,87.0,115.0,133.0,80.0,0.02,4648.0,,,,,,,,,,
69,72,performance,done,,bfs-prev,sat-loop,5,IBM5964,pnml,"tg,bs,hf",0.06,265.0,21268.0,24006.0,11.3213,11.9417,263.0,139.0,1329.0,1329.0,0.62,15546.0,1024.0,503.0,935.0,441.0,0.74,1851352.0,,,,,,,,,,
76,79,performance,done,,bfs-prev,sat-loop,5,circadian_clock-000100,pnml,"tg,bs,hf",0.0,32.0,1009.0,1382.0,8.267999999999999,8.642000000000001,14.0,16.0,4378.0,4378.0,25.04,42040402004.0,1018.0,8040.0,4064.0,1062924.0,25.05,3209300.0,,,,,,,,,,
102,108,performance,done,,bfs-prev,sat-loop,5,AirplaneLD-pt-0010,pnml,"tg,bs,hf",0.03,370.0,36808.0,40022.0,14.6459,15.2036,89.0,88.0,393.0,393.0,0.16,43463.0,485.0,666.0,737.0,399.0,0.2,453880.0,,,,,,,,,,
103,109,performance,done,,bfs-prev,sat-loop,5,dnawalk-13,pnml,"tg,bs,hf",0.11,869.0,264142.0,281046.0,40.3954,42.5457,33.0,312.0,12133.0,12133.0,211.32,1885372776.0,39266.0,1434.0,2313.0,2172.0,211.45,3925060.0,,,,,,,,,,
104,110,performance,done,,bfs-prev,sat-loop,5,Kanban-20,pnml,"tg,bs,hf",0.0,34.0,746.0,941.0,5.653,5.9079999999999995,16.0,16.0,1579.0,1579.0,19.14,805422366595.0,3766.0,5796.0,5040.0,1532916.0,19.14,3128644.0,,,,,,,,,,
109,115,performance,done,,bfs-prev,sat-loop,5,fivediningphilosophers-3_32,pnml,"tg,bs,hf",0.0,30.0,760.0,992.0,7.615,7.939,15.0,10.0,32.0,32.0,0.01,11.0,50.0,90.0,100.0,50.0,0.01,72.0,,,,,,,,,,
118,124,performance,done,,bfs-prev,sat-loop,5,open_system_0,pnml,"tg,bs,hf",0.07,697.0,63913.0,70376.0,23.0581,24.7888,198.0,176.0,24969.0,24969.0,10.16,2776936.0,4455.0,1426.0,1687.0,911.0,10.28,2913216.0,,,,,,,,,,
136,144,performance,done,,bfs-prev,sat-loop,5,RAS-R-100,pnml,"tg,bs,hf",0.18,22.0,22602.0,28171.0,7.401998,7.443084,400.0,202.0,45248.0,45248.0,48.73,6.46501806116397e+31,1391.0,2202.0,2598.0,1596.0,48.96,3321364.0,,,,,,,,,,
149,159,performance,done,,bfs-prev,sat-loop,5,angiogenesis-15,pnml,"tg,bs,hf",0.01,242.0,13805.0,15443.0,16.868,17.667,39.0,64.0,5745.0,5745.0,1499.62,1115538966669110.0,554628.0,19497.0,16332.0,62421.0,1499.85,3926088.0,,,,,,,,,,
167,177,performance,done,,bfs-prev,sat-loop,5,G-PPP-1-10,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,2052.0,2052.0,0.71,1655346.0,2858.0,1557.0,1517.0,2356.0,0.73,2066808.0,,,,,,,,,,
202,213,performance,done,,bfs-prev,sat-loop,5,diningphilosopher,pnml,"tg,bs,hf",0.0,10.0,170.0,227.0,5.57,5.84,5.0,4.0,4.0,4.0,0.0,1.0,5.0,0.0,12.0,4.0,0.01,76.0,,,,,,,,,,
205,216,performance,done,,bfs-prev,sat-loop,5,fivediningphilosophers-lr-boxed,pnml,"tg,bs,hf",0.0,36.0,1014.0,1320.0,7.165,7.354,20.0,15.0,66.0,66.0,0.0,82.0,87.0,115.0,133.0,80.0,0.01,4800.0,,,,,,,,,,
207,218,performance,done,,bfs-prev,sat-loop,5,angiogenesis-01,pnml,"tg,bs,hf",0.0,242.0,13805.0,15443.0,16.868,17.667,39.0,64.0,804.0,804.0,0.1,110.0,270.0,338.0,463.0,254.0,0.11,315004.0,,,,,,,,,,
253,266,performance,done,,bfs-prev,sat-loop,5,closed_system2,pnml,"tg,bs,hf",0.15,755.0,73916.0,81489.0,25.323529999999998,27.19165,231.0,202.0,15188.0,15188.0,9.54,349874.0,10107.0,1648.0,1950.0,1053.0,9.77,2909356.0,,,,,,,,,,
260,273,performance,done,,bfs-prev,sat-loop,5,AirplaneLD-pt-0050,pnml,"tg,bs,hf",0.46,2030.0,875026.0,907075.0,22.83819,26.226059999999997,369.0,408.0,1659.0,1659.0,1.13,4471223.0,2056.0,3106.0,3474.0,1879.0,1.82,2700912.0,,,,,,,,,,
261,274,performance,done,,bfs-prev,sat-loop,5,Kanban-10,pnml,"tg,bs,hf",0.0,34.0,746.0,941.0,5.653,5.9079999999999995,16.0,16.0,819.0,819.0,1.42,1005927208.0,891.0,1806.0,1540.0,67716.0,1.42,2669104.0,,,,,,,,,,
288,302,performance,done,,bfs-prev,sat-loop,5,G-PPP-1-100,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,17802.0,17802.0,7.35,145476966.0,3398.0,3717.0,2597.0,26836.0,7.35,2977368.0,,,,,,,,,,
296,310,performance,done,,bfs-prev,sat-loop,5,SmallOperatingSystem-MT0064DC0016,pnml,"tg,bs,hf",0.0,17.0,432.0,590.0,6.727,7.023,9.0,8.0,1400.0,1400.0,9.26,4077909.0,50233.0,10776.0,9187.0,40248.0,9.28,3068620.0,,,,,,,,,,
314,329,performance,done,,bfs-prev,sat-loop,5,dnawalk-11,pnml,"tg,bs,hf",0.05,772.0,204980.0,222289.0,40.9387,42.5305,27.0,260.0,6097.0,6097.0,7.62,28209796.0,4788.0,1194.0,1916.0,1800.0,7.68,2937100.0,,,,,,,,,,
321,336,performance,done,,bfs-prev,sat-loop,5,closed_system3,pnml,"tg,bs,hf",0.15,755.0,73916.0,81489.0,25.323529999999998,27.19165,231.0,202.0,14267.0,14267.0,12.91,1465206.0,17804.0,1648.0,1950.0,1053.0,13.12,2920196.0,,,,,,,,,,
325,340,performance,done,,bfs-prev,sat-loop,5,dnawalk-08,pnml,"tg,bs,hf",0.08,758.0,205704.0,220717.0,39.204,41.7305,27.0,260.0,6299.0,6299.0,7.71,27950678.0,7650.0,1194.0,1916.0,1800.0,7.8,2939824.0,,,,,,,,,,
326,342,performance,done,,bfs-prev,sat-loop,5,AirplaneLD-pt-0200,pnml,"tg,bs,hf",5.42,8315.0,12199887.0,12621738.0,78.79391700000002,134.80908,1419.0,1608.0,8072.0,8072.0,13.12,275494823.0,8240.0,12256.0,13653.0,7429.0,19.71,2969340.0,,,,,,,,,,
342,359,performance,done,,bfs-prev,sat-loop,5,RAS-C-5,pnml,"tg,bs,hf",0.0,34.0,2025.0,2682.0,8.2015,8.3955,30.0,20.0,167.0,167.0,0.03,1200.0,228.0,188.0,278.0,206.0,0.04,142336.0,,,,,,,,,,
346,364,performance,done,,bfs-prev,sat-loop,5,RAS-R-3,pnml,"tg,bs,hf",0.0,22.0,583.0,720.0,6.3,6.525,12.0,8.0,54.0,54.0,0.0,20.0,33.0,68.0,76.0,44.0,0.01,76.0,,,,,,,,,,
347,365,performance,done,,bfs-prev,sat-loop,5,philo_dyn-3-unfolded,pnml,"tg,bs,hf",0.06,535.0,136974.0,153600.0,64.6528,70.7235,30.0,84.0,544.0,544.0,0.22,325.0,641.0,561.0,1695.0,1743.0,0.28,658488.0,,,,,,,,,,
369,389,performance,done,,bfs-prev,sat-loop,5,HouseConstruction-002,pnml,"tg,bs,hf",0.0,32.0,1034.0,1247.0,6.516,6.836,26.0,18.0,230.0,230.0,0.08,1501.0,349.0,266.0,248.0,208.0,0.09,232080.0,,,,,,,,,,
379,399,performance,done,,bfs-prev,sat-loop,5,2D8_gradient_10x10_10,pnml,"tg,bs,hf",0.47,500.0,382122.0,400254.0,34.7421,35.59990999999999,100.0,684.0,13266.0,13266.0,13.83,42634215112710.0,6490.0,58824.0,52668.0,45144.0,14.36,2996344.0,,,,,,,,,,
380,400,performance,done,,bfs-prev,sat-loop,5,QCertifProtocol_02-unfold,pnml,"tg,bs,hf",0.01,185.0,16924.0,19511.0,18.211,19.129,86.0,56.0,539.0,539.0,0.28,1029.0,2546.0,502.0,614.0,549.0,0.31,1184372.0,,,,,,,,,,
387,409,performance,done,,bfs-prev,sat-loop,5,Kanban-5,pnml,"tg,bs,hf",0.0,34.0,746.0,941.0,5.653,5.9079999999999995,16.0,16.0,439.0,439.0,0.39,2546432.0,266.0,636.0,540.0,4116.0,0.4,871564.0,,,,,,,,,,
391,413,performance,done,,bfs-prev,sat-loop,5,peterson_3_14,pnml,"tg,bs,hf",0.0,42.0,994.0,1186.0,9.315,10.03,9.0,12.0,72.0,72.0,0.01,12.0,28.0,73.0,81.0,53.0,0.02,72.0,,,,,,,,,,
396,418,performance,done,,bfs-prev,sat-loop,5,RAS-C-20,pnml,"tg,bs,hf",0.04,34.0,9045.0,12447.0,9.07762,9.17883,120.0,80.0,684.0,684.0,0.72,406454747136.0,1049.0,788.0,1226.0,1016.0,0.78,1741584.0,,,,,,,,,,
403,425,performance,done,,bfs-prev,sat-loop,5,rwmutex-r10w20,pnml,"tg,bs,hf",0.05,635.0,190086.0,209131.0,67.4746,73.9121,70.0,60.0,180.0,180.0,0.11,1044.0,983.0,1140.0,1486.0,41060.0,0.17,365668.0,,,,,,,,,,
415,437,performance,done,,bfs-prev,sat-loop,5,angiogenesis-10,pnml,"tg,bs,hf",0.0,242.0,13805.0,15443.0,16.868,17.667,39.0,64.0,3994.0,3994.0,106.05,822645885495.0,114444.0,9586.0,8137.0,21446.0,106.09,3555720.0,,,,,,,,,,
423,445,performance,done,,bfs-prev,sat-loop,5,dnawalk-13,pnml,"tg,bs,hf",0.11,869.0,264142.0,281046.0,40.3954,42.5457,33.0,312.0,12133.0,12133.0,218.31,1885372776.0,39266.0,1434.0,2313.0,2172.0,218.46,3925296.0,,,,,,,,,,
424,446,performance,done,,bfs-prev,sat-loop,5,SmallOperatingSystem-MT0016DC0008,pnml,"tg,bs,hf",0.0,17.0,432.0,590.0,6.727,7.023,9.0,8.0,386.0,386.0,0.41,16587.0,2473.0,1608.0,1287.0,2712.0,0.42,1293136.0,,,,,,,,,,
433,457,performance,done,,bfs-prev,sat-loop,5,RAS-C-5,pnml,"tg,bs,hf",0.0,34.0,2025.0,2682.0,8.2015,8.3955,30.0,20.0,167.0,167.0,0.06,1200.0,228.0,188.0,278.0,206.0,0.08,133440.0,,,,,,,,,,
444,468,performance,done,,bfs-prev,sat-loop,5,IBM319,pnml,"tg,bs,hf",0.06,497.0,19502.0,21949.0,11.3532,12.3105,253.0,178.0,4557.0,4557.0,1.14,2482.0,1117.0,1178.0,1221.0,547.0,1.22,2429220.0,,,,,,,,,,
