Unnamed: 0,Unnamed: 0.1,type,status,status-spec,order,saturation,sat-granularity,filename,filetype,regroup-strategy,regroup-time,bandwidth,profile,span,average-wavefront,RMS-wavefront,state-vector-length,groups,group-checks,next-state-calls,reachability-time,statespace-states,statespace-nodes,group-next,group-explored-nodes,group-explored-vectors,time,memory,peak-nodes,LDDop-union,LDDop-minus,LDDop-relProd,LDDop-satCount,LDDop-satCountL,LDDop-zip,LDDop-relProdUnion,LDDop-projectMinus,Unnamed: 36
20,20,performance,done,,bfs-prev,none,5,dnawalk-03,pnml,"tg,bs,hf",0.01,231.0,20846.0,22802.0,17.546,18.576,14.0,84.0,924.0,924.0,0.34,5248.0,433.0,387.0,618.0,586.0,0.35,730672.0,,,,,,,,,,
22,22,performance,done,,bfs-prev,none,5,2D8_gradient_5x5_50,pnml,"tg,bs,hf",0.03,207.0,36326.0,39098.0,17.0547,17.7079,25.0,144.0,14544.0,14544.0,753.17,1.75295157137163e+19,30600.0,205344.0,198288.0,190944.0,753.3,3918096.0,,,,,,,,,,
28,28,performance,done,,bfs-prev,none,5,peterson_3_16,pnml,"tg,bs,hf",0.0,44.0,1781.0,2180.0,10.73,11.3,14.0,18.0,216.0,216.0,0.01,25.0,60.0,119.0,146.0,85.0,0.02,76.0,,,,,,,,,,
43,45,performance,done,,bfs-prev,none,5,rwmutex-r10w500,pnml,"tg,bs,hf",42.48,12330.0,84696265.0,89983965.0,1076.75875,1219.89872,1030.0,1020.0,11220.0,11220.0,110.62,1524.0,226706.0,25140.0,34068.0,1025060.0,153.93,2939452.0,,,,,,,,,,
60,62,performance,done,,bfs-prev,none,5,angiogenesis-01,pnml,"tg,bs,hf",0.01,242.0,13805.0,15443.0,16.868,17.667,39.0,64.0,1280.0,1280.0,0.12,110.0,270.0,338.0,463.0,254.0,0.14,409304.0,,,,,,,,,,
66,69,performance,done,,bfs-prev,none,5,desel_esparza_7_3,pnml,"tg,bs,hf",0.0,25.0,477.0,583.0,7.053999999999999,7.343,9.0,6.0,36.0,36.0,0.0,6.0,32.0,50.0,62.0,30.0,0.0,4604.0,,,,,,,,,,
67,70,performance,done,,bfs-prev,none,5,RAS-R-20,pnml,"tg,bs,hf",0.01,22.0,4442.0,5531.0,7.26087,7.33197,80.0,42.0,8862.0,8862.0,1.93,11534336.0,271.0,442.0,518.0,316.0,1.94,2870976.0,,,,,,,,,,
78,81,performance,done,,bfs-prev,none,5,2-10_phaseVariation,pnml,"tg,bs,hf",0.02,382.0,71936.0,76887.0,25.9313,26.8135,14.0,65.0,845.0,845.0,1.39,7716.0,3731.0,4423.0,4646.0,17471.0,1.42,2633052.0,,,,,,,,,,
80,83,performance,done,,bfs-prev,none,5,G-PPP-1-10,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,8756.0,8756.0,2.63,1655346.0,2858.0,1557.0,1517.0,2356.0,2.64,2893724.0,,,,,,,,,,
116,122,performance,done,,bfs-prev,none,5,diningphilosopher,pnml,"tg,bs,hf",0.0,10.0,170.0,227.0,5.57,5.84,5.0,4.0,4.0,4.0,0.0,1.0,5.0,0.0,12.0,4.0,0.0,72.0,,,,,,,,,,
148,158,performance,done,,bfs-prev,none,5,BridgeAndVehicles-V04-P05-N02-unfolded,pnml,"tg,bs,hf",0.01,307.0,35432.0,39034.0,31.1897,33.5222,28.0,52.0,2392.0,2392.0,0.87,2874.0,2966.0,560.0,1189.0,1110.0,0.89,2238804.0,,,,,,,,,,
