Unnamed: 0,Unnamed: 0.1,type,status,status-spec,order,saturation,sat-granularity,filename,filetype,regroup-strategy,regroup-time,bandwidth,profile,span,average-wavefront,RMS-wavefront,state-vector-length,groups,group-checks,next-state-calls,reachability-time,statespace-states,statespace-nodes,group-next,group-explored-nodes,group-explored-vectors,time,memory,peak-nodes,LDDop-union,LDDop-minus,LDDop-relProd,LDDop-satCount,LDDop-satCountL,LDDop-zip,LDDop-relProdUnion,LDDop-projectMinus,Unnamed: 36
6,6,performance,done,,bfs-prev,sat,5,dnawalk-11,pnml,"tg,bs,hf",0.06,772.0,204980.0,222289.0,40.9387,42.5305,27.0,260.0,312071.0,0.0,1.88,28209796.0,4788.0,1194.0,1916.0,1800.0,1.95,2412272.0,,,,,,,,,,
19,20,performance,done,,bfs-prev,sat,5,open_system_0,pnml,"tg,bs,hf",0.08,697.0,63913.0,70376.0,23.0581,24.7888,198.0,176.0,25325.0,0.0,0.47,2776936.0,4455.0,1426.0,1687.0,911.0,0.6,1466536.0,,,,,,,,,,
31,33,performance,done,,bfs-prev,sat,5,TokenRing-5-unfolded,pnml,"tg,bs,hf",0.05,508.0,97868.0,112214.0,49.9045,52.0558,36.0,156.0,4720.0,0.0,0.04,166.0,456.0,490.0,1202.0,833.0,0.1,160800.0,,,,,,,,,,
33,36,performance,done,,bfs-prev,sat,5,Philosophers-50,pnml,"tg,bs,hf",0.13,41.0,26516.0,35059.0,12.252310000000001,12.394730000000001,250.0,250.0,1581.0,0.0,0.03,7.17897987691853e+23,1575.0,1850.0,2202.0,1400.0,0.2,161368.0,,,,,,,,,,
34,37,performance,done,,bfs-prev,sat,5,fivediningphilosophers-2at1ce-boxed,pnml,"tg,bs,hf",0.0,24.0,737.0,969.0,7.015,7.309,15.0,10.0,46.0,0.0,0.0,11.0,52.0,90.0,94.0,50.0,0.01,72.0,,,,,,,,,,
35,38,performance,done,,bfs-prev,sat,5,erk-000100,pnml,"tg,bs,hf",0.0,17.0,526.0,725.0,6.6960000000000015,6.919,11.0,11.0,3604.0,0.0,83.39,15914114086.0,26361.0,61261.0,58984.0,14522386.0,83.43,3797120.0,,,,,,,,,,
44,47,performance,done,,bfs-prev,sat,5,fourdiningphilosophers-boxed-alt,pnml,"tg,bs,hf",0.0,24.0,530.0,713.0,6.269,6.46,12.0,8.0,34.0,0.0,0.0,7.0,38.0,72.0,76.0,40.0,0.0,76.0,,,,,,,,,,
45,48,performance,done,,bfs-prev,sat,5,Philosophers-200,pnml,"tg,bs,hf",2.03,43.0,107162.0,145703.0,12.968653999999999,13.108870999999999,1000.0,1000.0,6388.0,0.0,0.18,2.6561398887587525e+95,6375.0,7400.0,8802.0,5600.0,2.46,639784.0,,,,,,,,,,
57,60,performance,done,,bfs-prev,sat,5,IOTP_c3m3p3d3,pnml,"tg,bs,hf",0.0,173.0,10421.0,11521.0,11.934000000000001,12.6417,111.0,45.0,14585.0,0.0,0.53,354176.0,5828.0,1549.0,1416.0,754.0,0.54,1478072.0,,,,,,,,,,
62,66,performance,done,,bfs-prev,sat,5,Philosophers-200,pnml,"tg,bs,hf",2.1,43.0,107162.0,145703.0,12.968653999999999,13.108870999999999,1000.0,1000.0,6388.0,0.0,0.2,2.6561398887587525e+95,6375.0,7400.0,8802.0,5600.0,2.6,673880.0,,,,,,,,,,
66,70,performance,done,,bfs-prev,sat,5,SwimmingPool-4,pnml,"tg,bs,hf",0.0,17.0,351.0,477.0,6.6670000000000025,7.016,9.0,7.0,171242.0,0.0,14.9,164385221.0,718489.0,22577.0,17550.0,254887.0,15.12,2964688.0,,,,,,,,,,
91,99,performance,done,,bfs-prev,sat,5,G-PPP-1000-10,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,63948.0,0.0,5.79,14184612091.0,114221.0,11548.0,12088.0,480654.0,5.85,2950924.0,,,,,,,,,,
104,112,performance,done,,bfs-prev,sat,5,closed_system1,pnml,"tg,bs,hf",0.11,755.0,73916.0,81489.0,25.323529999999998,27.19165,231.0,202.0,9219.0,0.0,0.18,25632.0,3614.0,1320.0,1827.0,955.0,0.3,762852.0,,,,,,,,,,
105,113,performance,done,,bfs-prev,sat,5,desel_esparza_10_3b,pnml,"tg,bs,hf",0.0,22.0,592.0,785.0,7.275,7.6610000000000005,11.0,9.0,76.0,0.0,0.0,10.0,40.0,57.0,79.0,43.0,0.01,3116.0,,,,,,,,,,
117,127,performance,done,,bfs-prev,sat,5,angiogenesis-10,pnml,"tg,bs,hf",0.0,242.0,13805.0,15443.0,16.868,17.667,39.0,64.0,798191.0,0.0,31.38,822645885495.0,114444.0,9586.0,8137.0,21446.0,31.44,2915048.0,,,,,,,,,,
126,137,performance,done,,bfs-prev,sat,5,rwmutex-r10w500,pnml,"tg,bs,hf",38.2,12330.0,84696265.0,89983965.0,1076.75875,1219.89872,1030.0,1020.0,241298.0,0.0,43.91,1524.0,226706.0,25140.0,34068.0,1025060.0,82.88,2923688.0,,,,,,,,,,
127,138,performance,done,,bfs-prev,sat,5,circadian_clock-000001,pnml,"tg,bs,hf",0.0,32.0,1009.0,1382.0,8.267999999999999,8.642000000000001,14.0,16.0,101.0,0.0,0.0,128.0,28.0,120.0,104.0,60.0,0.0,76.0,,,,,,,,,,
130,141,performance,done,,bfs-prev,sat,5,philo_dyn-3-unfolded,pnml,"tg,bs,hf",0.04,535.0,136974.0,153600.0,64.6528,70.7235,30.0,84.0,2671.0,0.0,0.09,325.0,641.0,561.0,1695.0,1743.0,0.14,275028.0,,,,,,,,,,
141,152,performance,done,,bfs-prev,sat,5,dnawalk-02,pnml,"tg,bs,hf",0.01,231.0,26809.0,28367.0,20.385,22.081999999999997,14.0,84.0,5012.0,0.0,0.05,5459.0,380.0,387.0,619.0,584.0,0.07,96856.0,,,,,,,,,,
149,162,performance,done,,bfs-prev,sat,5,dnawalk-02,pnml,"tg,bs,hf",0.01,231.0,26809.0,28367.0,20.385,22.081999999999997,14.0,84.0,5012.0,0.0,0.07,5459.0,380.0,387.0,619.0,584.0,0.09,96652.0,,,,,,,,,,
162,176,performance,done,,bfs-prev,sat,5,2D8_gradient_20x20_10,pnml,"tg,bs,hf",7.49,1828.0,3628591.0,3813154.0,77.494404,80.18825799999998,400.0,2964.0,118824.0,0.0,8.06,3.23081977575776e+19,26290.0,254904.0,228228.0,195624.0,15.97,2924700.0,,,,,,,,,,
175,190,performance,done,,bfs-prev,sat,5,philo_dyn-3-unfolded,pnml,"tg,bs,hf",0.05,535.0,136974.0,153600.0,64.6528,70.7235,30.0,84.0,2671.0,0.0,0.09,325.0,641.0,561.0,1695.0,1743.0,0.14,268512.0,,,,,,,,,,
192,208,performance,done,,bfs-prev,sat,5,circadian_clock-000001,pnml,"tg,bs,hf",0.0,32.0,1009.0,1382.0,8.267999999999999,8.642000000000001,14.0,16.0,101.0,0.0,0.0,128.0,28.0,120.0,104.0,60.0,0.01,4576.0,,,,,,,,,,
203,221,performance,done,,bfs-prev,sat,5,RAS-R-3,pnml,"tg,bs,hf",0.0,22.0,583.0,720.0,6.3,6.525,12.0,8.0,57.0,0.0,0.0,20.0,33.0,68.0,76.0,44.0,0.0,76.0,,,,,,,,,,
204,222,performance,done,,bfs-prev,sat,5,closed_system3,pnml,"tg,bs,hf",0.1,755.0,73916.0,81489.0,25.323529999999998,27.19165,231.0,202.0,54919.0,0.0,0.72,1465206.0,17804.0,1648.0,1950.0,1053.0,0.86,2038472.0,,,,,,,,,,
215,233,performance,done,,bfs-prev,sat,5,peterson_3_13,pnml,"tg,bs,hf",0.0,40.0,894.0,1083.0,9.415,9.857999999999999,9.0,12.0,70.0,0.0,0.0,12.0,31.0,76.0,83.0,50.0,0.01,72.0,,,,,,,,,,
