Unnamed: 0,Unnamed: 0.1,type,status,status-spec,order,saturation,sat-granularity,filename,filetype,regroup-strategy,regroup-time,bandwidth,profile,span,average-wavefront,RMS-wavefront,state-vector-length,groups,group-checks,next-state-calls,reachability-time,statespace-states,statespace-nodes,group-next,group-explored-nodes,group-explored-vectors,time,memory,peak-nodes,LDDop-union,LDDop-minus,LDDop-relProd,LDDop-satCount,LDDop-satCountL,LDDop-zip,LDDop-relProdUnion,LDDop-projectMinus,Unnamed: 36
0,0,performance,done,,bfs,sat,5,dnawalk-12,pnml,"tg,bs,hf",0.1,926.0,234744.0,252018.0,37.9303,39.7088,33.0,312.0,1955895.0,0.0,10.4,1885372776.0,17473.0,1434.0,2305.0,2172.0,10.53,2893596.0,,,,,,,,,,
2,2,performance,done,,bfs,sat,5,dnawalk-09,pnml,"tg,bs,hf",0.07,744.0,195145.0,208669.0,37.4456,39.4546,27.0,260.0,360185.0,0.0,1.88,28209796.0,5542.0,1194.0,1917.0,1800.0,1.98,2445160.0,,,,,,,,,,
8,8,performance,done,,bfs,sat,5,AirplaneLD-pt-0020,pnml,"tg,bs,hf",0.06,785.0,142832.0,151347.0,17.5891,18.6967,159.0,168.0,1342.0,0.0,0.05,308303.0,871.0,1276.0,1419.0,769.0,0.15,325960.0,,,,,,,,,,
15,16,performance,done,,bfs,sat,5,shared_memory-pt-10,pnml,"tg,bs,hf",0.13,1099.0,428678.0,480723.0,100.7056,108.3668,131.0,210.0,47300.0,0.0,2.25,1830519.0,28359.0,1790.0,2185.0,1380.0,2.46,2582816.0,,,,,,,,,,
30,32,performance,done,,bfs,sat,5,Philosophers-200,pnml,"tg,bs,hf",2.02,43.0,107162.0,145703.0,12.968653999999999,13.108870999999999,1000.0,1000.0,6388.0,0.0,0.18,2.6561398887587525e+95,6375.0,7400.0,8802.0,5600.0,2.48,667152.0,,,,,,,,,,
47,50,performance,done,,bfs,sat,5,dnawalk-08,pnml,"tg,bs,hf",0.05,758.0,205704.0,220717.0,39.204,41.7305,27.0,260.0,386563.0,0.0,2.09,27950678.0,7650.0,1194.0,1916.0,1800.0,2.15,2536156.0,,,,,,,,,,
48,51,performance,done,,bfs,sat,5,G-PPP-1-10,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,2073.0,0.0,0.12,1655346.0,2858.0,1557.0,1517.0,2356.0,0.13,556056.0,,,,,,,,,,
50,53,performance,done,,bfs,sat,5,desel_esparza_10_3a,pnml,"tg,bs,hf",0.0,22.0,558.0,716.0,7.532999999999999,7.996,9.0,9.0,72.0,0.0,0.0,14.0,26.0,63.0,69.0,41.0,0.0,76.0,,,,,,,,,,
67,71,performance,done,,bfs,sat,5,peterson_3_36,pnml,"tg,bs,hf",0.0,31.0,1046.0,1241.0,6.474,6.782,26.0,18.0,136.0,0.0,0.01,66.0,117.0,120.0,134.0,77.0,0.02,76.0,,,,,,,,,,
69,73,performance,done,,bfs,sat,5,Philosophers-100,pnml,"tg,bs,hf",0.5,43.0,53296.0,72531.0,12.91462,13.06066,500.0,500.0,3194.0,0.0,0.08,5.15377520732011e+47,3178.0,3700.0,4402.0,2800.0,0.7,344348.0,,,,,,,,,,
71,76,performance,done,,bfs,sat,5,G-PPP-1-1,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,1260.0,0.0,0.06,10380.0,1209.0,733.0,870.0,844.0,0.07,219256.0,,,,,,,,,,
73,79,performance,done,,bfs,sat,5,TokenRing-5-unfolded,pnml,"tg,bs,hf",0.05,508.0,97868.0,112214.0,49.9045,52.0558,36.0,156.0,4720.0,0.0,0.03,166.0,456.0,490.0,1202.0,833.0,0.1,154656.0,,,,,,,,,,
79,86,performance,done,,bfs,sat,5,G-PPP-1-1,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,1260.0,0.0,0.07,10380.0,1209.0,733.0,870.0,844.0,0.08,215912.0,,,,,,,,,,
81,88,performance,done,,bfs,sat,5,desel_esparza_9_4,pnml,"tg,bs,hf",0.0,12.0,150.0,181.0,5.0,5.24,3.0,5.0,14.0,0.0,0.0,3.0,7.0,25.0,25.0,15.0,0.0,72.0,,,,,,,,,,
93,101,performance,done,,bfs,sat,5,fourdiningphilosophers-boxed-alt,pnml,"tg,bs,hf",0.0,24.0,530.0,713.0,6.269,6.46,12.0,8.0,34.0,0.0,0.0,7.0,38.0,72.0,76.0,40.0,0.01,76.0,,,,,,,,,,
96,104,performance,done,,bfs,sat,5,rwmutex-r10w20,pnml,"tg,bs,hf",0.04,635.0,190086.0,209131.0,67.4746,73.9121,70.0,60.0,880.0,0.0,0.08,1044.0,983.0,1140.0,1486.0,41060.0,0.14,143208.0,,,,,,,,,,
114,124,performance,done,,bfs,sat,5,IOTP_c5m4p3d2,pnml,"tg,bs,hf",0.02,173.0,10421.0,11521.0,11.934000000000001,12.6417,111.0,45.0,33058.0,0.0,0.91,17406024.0,13457.0,2040.0,1805.0,1180.0,0.95,2268436.0,,,,,,,,,,
134,145,performance,done,,bfs,sat,5,RAS-C-10,pnml,"tg,bs,hf",0.0,34.0,4365.0,5937.0,8.792,8.931000000000003,60.0,40.0,467.0,0.0,0.0,823552.0,509.0,388.0,596.0,476.0,0.02,76.0,,,,,,,,,,
140,151,performance,done,,bfs,sat,5,tcp10,pnml,"tg,bs,hf",0.0,141.0,5922.0,7145.0,15.753,16.623,30.0,32.0,1102068.0,0.0,37.49,13761971603.0,363004.0,12902.0,11198.0,99572.0,37.63,2946700.0,,,,,,,,,,
161,175,performance,done,,bfs,sat,5,G-PPP-1000-10,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,63944.0,0.0,5.92,14184612091.0,114221.0,11548.0,12088.0,480654.0,5.98,2951096.0,,,,,,,,,,
169,184,performance,done,,bfs,sat,5,peterson_4_2b,pnml,"tg,bs,hf",0.0,7.0,98.0,132.0,4.18,4.33,5.0,3.0,8.0,0.0,0.0,4.0,9.0,21.0,17.0,8.0,0.0,4476.0,,,,,,,,,,
176,191,performance,done,,bfs,sat,5,MAPK-8,pnml,"tg,bs,hf",0.0,35.0,1928.0,2576.0,8.3873,8.6753,22.0,30.0,1152.0,0.0,0.08,6110643.0,668.0,1621.0,1378.0,2112.0,0.1,151000.0,,,,,,,,,,
178,193,performance,done,,bfs,sat,5,G-PPP-10-100,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,92201.0,0.0,9.33,176894515156.0,128866.0,11653.0,11487.0,486397.0,9.38,2998856.0,,,,,,,,,,
180,195,performance,done,,bfs,sat,5,Kanban-5,pnml,"tg,bs,hf",0.0,34.0,746.0,941.0,5.653,5.9079999999999995,16.0,16.0,1335.0,0.0,0.08,2546432.0,266.0,636.0,540.0,4116.0,0.08,245580.0,,,,,,,,,,
