Unnamed: 0,Unnamed: 0.1,type,status,status-spec,order,saturation,sat-granularity,filename,filetype,regroup-strategy,regroup-time,bandwidth,profile,span,average-wavefront,RMS-wavefront,state-vector-length,groups,group-checks,next-state-calls,reachability-time,statespace-states,statespace-nodes,group-next,group-explored-nodes,group-explored-vectors,time,memory,peak-nodes,LDDop-union,LDDop-minus,LDDop-relProd,LDDop-satCount,LDDop-satCountL,LDDop-zip,LDDop-relProdUnion,LDDop-projectMinus,Unnamed: 36
4,4,performance,done,,chain,sat-fix,5,RAS-C-5,pnml,"tg,bs,hf",0.0,34.0,2025.0,2682.0,8.2015,8.3955,30.0,20.0,80.0,4.0,0.01,1200.0,228.0,188.0,278.0,206.0,0.02,72.0,,,,,,,,,,
7,7,performance,done,,chain,sat-fix,5,FMS-5,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,260.0,13.0,0.07,2895018.0,432.0,600.0,525.0,543.0,0.08,199948.0,,,,,,,,,,
13,13,performance,done,,chain,sat-fix,5,fivediningphilosophers-3_32,pnml,"tg,bs,hf",0.0,30.0,760.0,992.0,7.615,7.939,15.0,10.0,30.0,3.0,0.0,11.0,50.0,90.0,100.0,50.0,0.0,76.0,,,,,,,,,,
14,14,performance,done,,chain,sat-fix,5,trg_1-20-0,pnml,"tg,bs,hf",0.0,41.0,1223.0,1581.0,9.461,9.994,16.0,12.0,516.0,43.0,3.16,109552.0,6608.0,1395.0,1044.0,6276.0,3.17,2797284.0,,,,,,,,,,
17,18,performance,done,,chain,sat-fix,5,closed_system5,pnml,"tg,bs,hf",0.11,755.0,73916.0,81489.0,25.323529999999998,27.19165,231.0,202.0,12928.0,64.0,8.72,1657242.0,17936.0,1648.0,1950.0,1053.0,8.88,2798684.0,,,,,,,,,,
29,31,performance,done,,chain,sat-fix,5,dnawalk-02,pnml,"tg,bs,hf",0.01,231.0,26809.0,28367.0,20.385,22.081999999999997,14.0,84.0,336.0,4.0,0.05,5459.0,380.0,387.0,619.0,584.0,0.07,98496.0,,,,,,,,,,
68,72,performance,done,,chain,sat-fix,5,FMS-10,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,420.0,21.0,0.3,2501413200.0,1437.0,1525.0,1365.0,2048.0,0.31,796644.0,,,,,,,,,,
72,78,performance,done,,chain,sat-fix,5,TokenRing-10-unfolded,pnml,"tg,bs,hf",2.52,2881.0,3183795.0,3613035.0,181.58445,190.87272,121.0,1111.0,144430.0,130.0,4.54,58905.0,3153.0,2380.0,8679.0,5838.0,7.22,2594900.0,,,,,,,,,,
78,85,performance,done,,chain,sat-fix,5,RAS-R-3,pnml,"tg,bs,hf",0.0,22.0,583.0,720.0,6.3,6.525,12.0,8.0,32.0,4.0,0.01,20.0,33.0,68.0,76.0,44.0,0.01,76.0,,,,,,,,,,
86,94,performance,done,,chain,sat-fix,5,HouseConstruction-020,pnml,"tg,bs,hf",0.0,32.0,1034.0,1247.0,6.516,6.836,26.0,18.0,900.0,50.0,107.04,13665907559010.0,428701.0,12698.0,10241.0,98098.0,107.17,3105632.0,,,,,,,,,,
87,95,performance,done,,chain,sat-fix,5,CircularTrain-024,pnml,"tg,bs,hf",0.0,145.0,3308.0,3685.0,9.4821,9.6359,48.0,24.0,96.0,4.0,0.07,86515.0,1003.0,248.0,285.0,232.0,0.09,169996.0,,,,,,,,,,
92,100,performance,done,,chain,sat-fix,5,desel_esparza_10_3a,pnml,"tg,bs,hf",0.0,22.0,558.0,716.0,7.532999999999999,7.996,9.0,9.0,54.0,6.0,0.0,14.0,26.0,63.0,69.0,41.0,0.0,76.0,,,,,,,,,,
95,103,performance,done,,chain,sat-fix,5,TokenRing-5-unfolded,pnml,"tg,bs,hf",0.05,508.0,97868.0,112214.0,49.9045,52.0558,36.0,156.0,6240.0,40.0,0.2,166.0,456.0,490.0,1202.0,833.0,0.26,853292.0,,,,,,,,,,
99,107,performance,done,,chain,sat-fix,5,AirplaneLD-pt-0010,pnml,"tg,bs,hf",0.02,370.0,36808.0,40022.0,14.6459,15.2036,89.0,88.0,616.0,7.0,0.09,43463.0,485.0,666.0,737.0,399.0,0.13,529364.0,,,,,,,,,,
107,116,performance,done,,chain,sat-fix,5,shared_memory-pt-10,pnml,"tg,bs,hf",0.13,1099.0,428678.0,480723.0,100.7056,108.3668,131.0,210.0,630.0,3.0,2.9,1830519.0,28359.0,1790.0,2185.0,1380.0,3.09,2591132.0,,,,,,,,,,
111,120,performance,done,,chain,sat-fix,5,RAS-R-10,pnml,"tg,bs,hf",0.0,22.0,2172.0,2701.0,7.0864,7.1922,40.0,22.0,242.0,11.0,0.01,6144.0,131.0,222.0,258.0,156.0,0.03,69468.0,,,,,,,,,,
112,122,performance,done,,chain,sat-fix,5,FMS-2,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,200.0,10.0,0.02,3444.0,123.0,225.0,203.0,140.0,0.03,4560.0,,,,,,,,,,
122,133,performance,done,,chain,sat-fix,5,simple_lbs-5,pnml,"tg,bs,hf",0.18,1220.0,567999.0,614512.0,80.70936999999998,84.9976,59.0,180.0,1980.0,11.0,2.9,116176.0,6617.0,1556.0,3859.0,4437.0,3.11,2693160.0,,,,,,,,,,
125,136,performance,done,,chain,sat-fix,5,IBM319,pnml,"tg,bs,hf",0.06,497.0,19502.0,21949.0,11.3532,12.3105,253.0,178.0,15308.0,86.0,1.23,2482.0,1117.0,1178.0,1221.0,547.0,1.31,2371428.0,,,,,,,,,,
136,147,performance,done,,chain,sat-fix,5,FMS-10,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,420.0,21.0,0.24,2501413200.0,1437.0,1525.0,1365.0,2048.0,0.24,890692.0,,,,,,,,,,
158,171,performance,done,,chain,sat-fix,5,rwmutex-r10w20,pnml,"tg,bs,hf",0.04,635.0,190086.0,209131.0,67.4746,73.9121,70.0,60.0,120.0,2.0,0.08,1044.0,983.0,1140.0,1486.0,41060.0,0.16,233952.0,,,,,,,,,,
160,173,performance,done,,chain,sat-fix,5,philo_dyn-3-unfolded,pnml,"tg,bs,hf",0.05,535.0,136974.0,153600.0,64.6528,70.7235,30.0,84.0,336.0,4.0,0.11,325.0,641.0,561.0,1695.0,1743.0,0.17,399840.0,,,,,,,,,,
170,185,performance,done,,chain,sat-fix,5,Kanban-10,pnml,"tg,bs,hf",0.0,34.0,746.0,941.0,5.653,5.9079999999999995,16.0,16.0,272.0,17.0,0.71,1005927208.0,891.0,1806.0,1540.0,67716.0,0.72,1691440.0,,,,,,,,,,
177,192,performance,done,,chain,sat-fix,5,G-PPP-1000-10,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,2310.0,105.0,24.44,14184612091.0,114221.0,11548.0,12088.0,480654.0,24.48,2953584.0,,,,,,,,,,
199,217,performance,done,,chain,sat-fix,5,SmallOperatingSystem-MT0128DC0032,pnml,"tg,bs,hf",0.0,17.0,432.0,590.0,6.727,7.023,9.0,8.0,1056.0,132.0,143.5,113321065.0,355177.0,39976.0,34475.0,268904.0,143.62,2941688.0,,,,,,,,,,
200,218,performance,done,,chain,sat-fix,5,dnawalk-09,pnml,"tg,bs,hf",0.05,744.0,195145.0,208669.0,37.4456,39.4546,27.0,260.0,1040.0,4.0,1.81,28209796.0,5542.0,1194.0,1917.0,1800.0,1.88,2514708.0,,,,,,,,,,
202,220,performance,done,,chain,sat-fix,5,2D8_gradient_5x5_50,pnml,"tg,bs,hf",0.02,207.0,36326.0,39098.0,17.0547,17.7079,25.0,144.0,7488.0,52.0,69.5,1.75295157137163e+19,30600.0,205344.0,198288.0,190944.0,69.61,2923572.0,,,,,,,,,,
209,227,performance,done,,chain,sat-fix,5,IOTP_c1m1p1d1,pnml,"tg,bs,hf",0.01,173.0,10421.0,11521.0,11.934000000000001,12.6417,111.0,45.0,1890.0,42.0,0.2,204.0,612.0,491.0,569.0,177.0,0.22,871592.0,,,,,,,,,,
