Unnamed: 0,Unnamed: 0.1,type,status,status-spec,order,saturation,sat-granularity,filename,filetype,regroup-strategy,regroup-time,bandwidth,profile,span,average-wavefront,RMS-wavefront,state-vector-length,groups,group-checks,next-state-calls,reachability-time,statespace-states,statespace-nodes,group-next,group-explored-nodes,group-explored-vectors,time,memory,peak-nodes,LDDop-union,LDDop-minus,LDDop-relProd,LDDop-satCount,LDDop-satCountL,LDDop-zip,LDDop-relProdUnion,LDDop-projectMinus,Unnamed: 36
10,10,performance,done,,chain,sat-like,5,open_system_0,pnml,"tg,bs,hf",0.11,697.0,63913.0,70376.0,23.0581,24.7888,198.0,176.0,20927.0,20927.0,3.93,2776936.0,4455.0,1426.0,1687.0,911.0,4.1,2765236.0,,,,,,,,,,
33,33,performance,done,,chain,sat-like,5,AirplaneLD-pt-0200,pnml,"tg,bs,hf",5.37,8315.0,12199887.0,12621738.0,78.79391700000002,134.80908,1419.0,1608.0,213327.0,213327.0,65.2,275494823.0,8240.0,12256.0,13653.0,7429.0,71.8,2952612.0,,,,,,,,,,
40,40,performance,done,,chain,sat-like,5,desel_esparza_6_1,pnml,"tg,bs,hf",0.0,23.0,428.0,525.0,6.5710000000000015,6.841,8.0,7.0,7.0,7.0,0.0,1.0,8.0,0.0,20.0,7.0,0.0,72.0,,,,,,,,,,
49,51,performance,done,,chain,sat-like,5,rwmutex-r10w100,pnml,"tg,bs,hf",1.1,2883.0,3690088.0,3807303.0,121.8471,134.1411,230.0,220.0,5118.0,5118.0,1.01,1124.0,883.0,5140.0,6922.0,205060.0,2.15,1997228.0,,,,,,,,,,
58,60,performance,done,,chain,sat-like,5,shared_memory-pt-10,pnml,"tg,bs,hf",0.19,1099.0,428678.0,480723.0,100.7056,108.3668,131.0,210.0,2691.0,2691.0,3.83,1830519.0,28359.0,1790.0,2185.0,1380.0,4.08,2598156.0,,,,,,,,,,
74,77,performance,done,,chain,sat-like,5,angiogenesis-10,pnml,"tg,bs,hf",0.01,242.0,13805.0,15443.0,16.868,17.667,39.0,64.0,3437.0,3437.0,63.79,822645885495.0,114444.0,9586.0,8137.0,21446.0,63.86,2996472.0,,,,,,,,,,
81,84,performance,done,,chain,sat-like,5,RAS-R-3,pnml,"tg,bs,hf",0.0,22.0,583.0,720.0,6.3,6.525,12.0,8.0,46.0,46.0,0.0,20.0,33.0,68.0,76.0,44.0,0.01,76.0,,,,,,,,,,
84,87,performance,done,,chain,sat-like,5,FMS-2,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,153.0,153.0,0.02,3444.0,123.0,225.0,203.0,140.0,0.02,43204.0,,,,,,,,,,
95,99,performance,done,,chain,sat-like,5,closed_system5,pnml,"tg,bs,hf",0.15,755.0,73916.0,81489.0,25.323529999999998,27.19165,231.0,202.0,12006.0,12006.0,4.63,1657242.0,17936.0,1648.0,1950.0,1053.0,4.86,2822972.0,,,,,,,,,,
159,169,performance,done,,chain,sat-like,5,HouseConstruction-005,pnml,"tg,bs,hf",0.0,32.0,1034.0,1247.0,6.516,6.836,26.0,18.0,247.0,247.0,0.44,1187984.0,3176.0,988.0,811.0,1463.0,0.45,1052912.0,,,,,,,,,,
173,184,performance,done,,chain,sat-like,5,MAPK-8,pnml,"tg,bs,hf",0.0,35.0,1928.0,2576.0,8.3873,8.6753,22.0,30.0,646.0,646.0,0.32,6110643.0,668.0,1621.0,1378.0,2112.0,0.33,723588.0,,,,,,,,,,
174,185,performance,done,,chain,sat-like,5,simple_lbs-5,pnml,"tg,bs,hf",0.19,1220.0,567999.0,614512.0,80.70936999999998,84.9976,59.0,180.0,16233.0,16233.0,3.42,116176.0,6617.0,1556.0,3859.0,4437.0,3.63,2666744.0,,,,,,,,,,
187,198,performance,done,,chain,sat-like,5,SafeBus-03-unfolded,pnml,"tg,bs,hf",0.06,498.0,82222.0,95173.0,41.0609,42.8797,57.0,91.0,3659.0,3659.0,1.37,4650.0,5421.0,894.0,1707.0,1592.0,1.46,2450620.0,,,,,,,,,,
221,232,performance,done,,chain,sat-like,5,HouseConstruction-020,pnml,"tg,bs,hf",0.0,32.0,1034.0,1247.0,6.516,6.836,26.0,18.0,712.0,712.0,29.64,13665907559010.0,428701.0,12698.0,10241.0,98098.0,29.74,2985340.0,,,,,,,,,,
246,258,performance,done,,chain,sat-like,5,G-PPP-10-100,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,819.0,819.0,17.31,176894515156.0,128866.0,11653.0,11487.0,486397.0,17.38,3013184.0,,,,,,,,,,
252,265,performance,done,,chain,sat-like,5,fourdiningphilosophers,pnml,"tg,bs,hf",0.0,20.0,540.0,711.0,6.269,6.528,12.0,8.0,22.0,22.0,0.0,7.0,38.0,72.0,74.0,40.0,0.01,72.0,,,,,,,,,,
254,267,performance,done,,chain,sat-like,5,AirplaneLD-pt-0200,pnml,"tg,bs,hf",5.4,8315.0,12199887.0,12621738.0,78.79391700000002,134.80908,1419.0,1608.0,213327.0,213327.0,59.18,275494823.0,8240.0,12256.0,13653.0,7429.0,65.81,2952756.0,,,,,,,,,,
