Unnamed: 0,Unnamed: 0.1,type,status,status-spec,order,saturation,sat-granularity,filename,filetype,regroup-strategy,regroup-time,bandwidth,profile,span,average-wavefront,RMS-wavefront,state-vector-length,groups,group-checks,next-state-calls,reachability-time,statespace-states,statespace-nodes,group-next,group-explored-nodes,group-explored-vectors,time,memory,peak-nodes,LDDop-union,LDDop-minus,LDDop-relProd,LDDop-satCount,LDDop-satCountL,LDDop-zip,LDDop-relProdUnion,LDDop-projectMinus,Unnamed: 36
0,0,performance,done,,chain,sat-loop,5,peterson_3_13,pnml,"tg,bs,hf",0.0,40.0,894.0,1083.0,9.415,9.857999999999999,9.0,12.0,52.0,52.0,0.01,12.0,31.0,76.0,83.0,50.0,0.02,3184.0,,,,,,,,,,
15,15,performance,done,,chain,sat-loop,5,dnawalk-12,pnml,"tg,bs,hf",0.07,926.0,234744.0,252018.0,37.9303,39.7088,33.0,312.0,9781.0,9781.0,50.6,1885372776.0,17473.0,1434.0,2305.0,2172.0,50.69,3025384.0,,,,,,,,,,
38,38,performance,done,,chain,sat-loop,5,dnawalk-11,pnml,"tg,bs,hf",0.08,772.0,204980.0,222289.0,40.9387,42.5305,27.0,260.0,4942.0,4942.0,4.24,28209796.0,4788.0,1194.0,1916.0,1800.0,4.35,2884884.0,,,,,,,,,,
48,50,performance,done,,chain,sat-loop,5,fourdiningphilosophers-boxed,pnml,"tg,bs,hf",0.0,24.0,530.0,713.0,6.269,6.46,12.0,8.0,24.0,24.0,0.0,7.0,38.0,72.0,76.0,40.0,0.0,76.0,,,,,,,,,,
56,58,performance,done,,chain,sat-loop,5,AirplaneLD-pt-0020,pnml,"tg,bs,hf",0.08,785.0,142832.0,151347.0,17.5891,18.6967,159.0,168.0,677.0,677.0,0.34,308303.0,871.0,1276.0,1419.0,769.0,0.49,1085700.0,,,,,,,,,,
59,61,performance,done,,chain,sat-loop,5,open_system_0,pnml,"tg,bs,hf",0.11,697.0,63913.0,70376.0,23.0581,24.7888,198.0,176.0,22918.0,22918.0,8.18,2776936.0,4455.0,1426.0,1687.0,911.0,8.39,2874364.0,,,,,,,,,,
68,71,performance,done,,chain,sat-loop,5,Philosophers-5,pnml,"tg,bs,hf",0.0,45.0,2397.0,3207.0,11.523,11.907,25.0,25.0,75.0,75.0,0.03,243.0,135.0,185.0,222.0,140.0,0.03,4420.0,,,,,,,,,,
82,85,performance,done,,chain,sat-loop,5,IOTP_c5m4p3d2,pnml,"tg,bs,hf",0.01,173.0,10421.0,11521.0,11.934000000000001,12.6417,111.0,45.0,2026.0,2026.0,6.9,17406024.0,13457.0,2040.0,1805.0,1180.0,6.92,2902844.0,,,,,,,,,,
86,89,performance,done,,chain,sat-loop,5,closed_system5,pnml,"tg,bs,hf",0.1,755.0,73916.0,81489.0,25.323529999999998,27.19165,231.0,202.0,9782.0,9782.0,10.3,1657242.0,17936.0,1648.0,1950.0,1053.0,10.47,2880168.0,,,,,,,,,,
91,94,performance,done,,chain,sat-loop,5,2D8_gradient_5x5_10,pnml,"tg,bs,hf",0.02,207.0,36326.0,39098.0,17.0547,17.7079,25.0,144.0,1108.0,1108.0,0.91,131128140.0,1540.0,12384.0,11088.0,9504.0,0.95,2140352.0,,,,,,,,,,
107,113,performance,done,,chain,sat-loop,5,G-PPP-10-100,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,796.0,796.0,18.9,176894515156.0,128866.0,11653.0,11487.0,486397.0,18.94,3029900.0,,,,,,,,,,
125,131,performance,done,,chain,sat-loop,5,HouseConstruction-005,pnml,"tg,bs,hf",0.0,32.0,1034.0,1247.0,6.516,6.836,26.0,18.0,299.0,299.0,0.5,1187984.0,3176.0,988.0,811.0,1463.0,0.52,1544908.0,,,,,,,,,,
140,148,performance,done,,chain,sat-loop,5,Philosophers-20,pnml,"tg,bs,hf",0.03,43.0,10394.0,14142.0,12.5596,12.76,100.0,100.0,300.0,300.0,0.18,3486784401.0,615.0,740.0,882.0,560.0,0.23,474792.0,,,,,,,,,,
