Unnamed: 0,Unnamed: 0.1,type,status,status-spec,order,saturation,sat-granularity,filename,filetype,regroup-strategy,regroup-time,bandwidth,profile,span,average-wavefront,RMS-wavefront,state-vector-length,groups,group-checks,next-state-calls,reachability-time,statespace-states,statespace-nodes,group-next,group-explored-nodes,group-explored-vectors,time,memory,peak-nodes,LDDop-union,LDDop-minus,LDDop-relProd,LDDop-satCount,LDDop-satCountL,LDDop-zip,LDDop-relProdUnion,LDDop-projectMinus,Unnamed: 36
14,14,performance,done,,chain,none,5,dnawalk-12,pnml,"tg,bs,hf",0.07,926.0,234744.0,252018.0,37.9303,39.7088,33.0,312.0,3744.0,3744.0,80.27,1885372776.0,17473.0,1434.0,2305.0,2172.0,80.37,3121968.0,,,,,,,,,,
21,21,performance,done,,chain,none,5,dnawalk-05,pnml,"tg,bs,hf",0.05,450.0,129945.0,138027.0,30.2313,31.7096,34.0,250.0,3000.0,3000.0,24.26,435340831.0,5654.0,1205.0,1879.0,1806.0,24.33,2987452.0,,,,,,,,,,
30,30,performance,done,,chain,none,5,TokenRing-5-unfolded,pnml,"tg,bs,hf",0.05,508.0,97868.0,112214.0,49.9045,52.0558,36.0,156.0,4056.0,4056.0,0.16,166.0,456.0,490.0,1202.0,833.0,0.22,741640.0,,,,,,,,,,
32,32,performance,done,,chain,none,5,FMS-20,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,820.0,820.0,2.08,6029168852784.0,5747.0,4575.0,4245.0,9983.0,2.1,2850168.0,,,,,,,,,,
34,34,performance,done,,chain,none,5,Kanban-10,pnml,"tg,bs,hf",0.0,34.0,746.0,941.0,5.653,5.9079999999999995,16.0,16.0,512.0,512.0,1.16,1005927208.0,891.0,1806.0,1540.0,67716.0,1.16,2264884.0,,,,,,,,,,
39,39,performance,done,,chain,none,5,dnawalk-01,pnml,"tg,bs,hf",0.01,225.0,21419.0,23336.0,17.871,18.95,13.0,82.0,656.0,656.0,0.15,3795.0,265.0,379.0,608.0,578.0,0.17,405000.0,,,,,,,,,,
45,47,performance,done,,chain,none,5,2D8_gradient_20x20_10,pnml,"tg,bs,hf",7.17,1828.0,3628591.0,3813154.0,77.494404,80.18825799999998,400.0,2964.0,41496.0,41496.0,467.14,3.23081977575776e+19,26290.0,254904.0,228228.0,195624.0,474.76,3872884.0,,,,,,,,,,
50,52,performance,done,,chain,none,5,fivediningphilosophers-boxed,pnml,"tg,bs,hf",0.0,70.0,2399.0,3075.0,11.1,11.463,25.0,25.0,75.0,75.0,0.01,243.0,135.0,176.0,221.0,140.0,0.02,76.0,,,,,,,,,,
62,64,performance,done,,chain,none,5,angiogenesis-05,pnml,"tg,bs,hf",0.01,242.0,13805.0,15443.0,16.868,17.667,39.0,64.0,960.0,960.0,8.49,42734935.0,10509.0,3087.0,2747.0,4011.0,8.51,2902996.0,,,,,,,,,,
72,75,performance,done,,chain,none,5,FMS-100,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,4020.0,4020.0,1072.22,2.70305727248432e+21,264627.0,86575.0,84885.0,765863.0,1072.31,3921692.0,,,,,,,,,,
