Unnamed: 0,Unnamed: 0.1,type,status,status-spec,order,saturation,sat-granularity,filename,filetype,regroup-strategy,regroup-time,bandwidth,profile,span,average-wavefront,RMS-wavefront,state-vector-length,groups,group-checks,next-state-calls,reachability-time,statespace-states,statespace-nodes,group-next,group-explored-nodes,group-explored-vectors,time,memory,peak-nodes,LDDop-union,LDDop-minus,LDDop-relProd,LDDop-satCount,LDDop-satCountL,LDDop-zip,LDDop-relProdUnion,LDDop-projectMinus,Unnamed: 36
1,1,performance,done,,chain-prev,sat-fix,5,IOTP_c3m3p3d3,pnml,"tg,bs,hf",0.02,173.0,10421.0,11521.0,11.934000000000001,12.6417,111.0,45.0,1935.0,43.0,2.04,354176.0,5828.0,1549.0,1416.0,754.0,2.07,2658988.0,,,,,,,,,,
3,3,performance,done,,chain-prev,sat-fix,5,2D8_gradient_5x5_10,pnml,"tg,bs,hf",0.03,207.0,36326.0,39098.0,17.0547,17.7079,25.0,144.0,1728.0,12.0,0.83,131128140.0,1540.0,12384.0,11088.0,9504.0,0.88,1875504.0,,,,,,,,,,
24,25,performance,done,,chain-prev,sat-fix,5,dnawalk-12,pnml,"tg,bs,hf",0.08,926.0,234744.0,252018.0,37.9303,39.7088,33.0,312.0,1248.0,4.0,15.9,1885372776.0,17473.0,1434.0,2305.0,2172.0,15.98,2907528.0,,,,,,,,,,
26,27,performance,done,,chain-prev,sat-fix,5,angiogenesis-15,pnml,"tg,bs,hf",0.01,242.0,13805.0,15443.0,16.868,17.667,39.0,64.0,2368.0,37.0,1048.32,1115538966669110.0,554628.0,19497.0,16332.0,62421.0,1048.56,3129868.0,,,,,,,,,,
38,41,performance,done,,chain-prev,sat-fix,5,circadian_clock-000010,pnml,"tg,bs,hf",0.0,32.0,1009.0,1382.0,8.267999999999999,8.642000000000001,14.0,16.0,208.0,13.0,0.09,644204.0,118.0,840.0,464.0,1914.0,0.09,212288.0,,,,,,,,,,
51,54,performance,done,,chain-prev,sat-fix,5,dekker-15,pnml,"tg,bs,hf",0.33,1682.0,858894.0,918960.0,58.32816,60.35399,75.0,255.0,765.0,3.0,24.65,278528.0,152516.0,3075.0,3227.0,738630.0,25.08,2826944.0,,,,,,,,,,
54,57,performance,done,,chain-prev,sat-fix,5,RAS-R-15,pnml,"tg,bs,hf",0.0,22.0,3307.0,4116.0,7.2025,7.2855,60.0,32.0,512.0,16.0,0.07,278528.0,201.0,332.0,388.0,236.0,0.1,213524.0,,,,,,,,,,
64,68,performance,done,,chain-prev,sat-fix,5,Philosophers-50,pnml,"tg,bs,hf",0.13,41.0,26516.0,35059.0,12.252310000000001,12.394730000000001,250.0,250.0,750.0,3.0,0.35,7.17897987691853e+23,1575.0,1850.0,2202.0,1400.0,0.51,1394260.0,,,,,,,,,,
76,82,performance,done,,chain-prev,sat-fix,5,SafeBus-03-unfolded,pnml,"tg,bs,hf",0.04,498.0,82222.0,95173.0,41.0609,42.8797,57.0,91.0,728.0,8.0,0.87,4650.0,5421.0,894.0,1707.0,1592.0,0.92,2154192.0,,,,,,,,,,
97,105,performance,done,,chain-prev,sat-fix,5,TokenRing-10-unfolded,pnml,"tg,bs,hf",2.55,2881.0,3183795.0,3613035.0,181.58445,190.87272,121.0,1111.0,144430.0,130.0,4.54,58905.0,3153.0,2380.0,8679.0,5838.0,7.23,2595040.0,,,,,,,,,,
100,108,performance,done,,chain-prev,sat-fix,5,Kanban-10,pnml,"tg,bs,hf",0.0,34.0,746.0,941.0,5.653,5.9079999999999995,16.0,16.0,272.0,17.0,0.71,1005927208.0,891.0,1806.0,1540.0,67716.0,0.72,1746316.0,,,,,,,,,,
