Unnamed: 0,Unnamed: 0.1,type,status,status-spec,order,saturation,sat-granularity,filename,filetype,regroup-strategy,regroup-time,bandwidth,profile,span,average-wavefront,RMS-wavefront,state-vector-length,groups,group-checks,next-state-calls,reachability-time,statespace-states,statespace-nodes,group-next,group-explored-nodes,group-explored-vectors,time,memory,peak-nodes,LDDop-union,LDDop-minus,LDDop-relProd,LDDop-satCount,LDDop-satCountL,LDDop-zip,LDDop-relProdUnion,LDDop-projectMinus,Unnamed: 36
9,9,performance,done,,chain-prev,sat-like,5,circadian_clock-000010,pnml,"tg,bs,hf",0.0,32.0,1009.0,1382.0,8.267999999999999,8.642000000000001,14.0,16.0,362.0,362.0,0.15,644204.0,118.0,840.0,464.0,1914.0,0.15,454020.0,,,,,,,,,,
11,11,performance,done,,chain-prev,sat-like,5,closed_system2,pnml,"tg,bs,hf",0.14,755.0,73916.0,81489.0,25.323529999999998,27.19165,231.0,202.0,13321.0,13321.0,3.45,349874.0,10107.0,1648.0,1950.0,1053.0,3.7,2878780.0,,,,,,,,,,
13,13,performance,done,,chain-prev,sat-like,5,closed_system4,pnml,"tg,bs,hf",0.15,755.0,73916.0,81489.0,25.323529999999998,27.19165,231.0,202.0,14989.0,14989.0,5.99,2409739.0,21109.0,1648.0,1950.0,1053.0,6.25,2902020.0,,,,,,,,,,
18,18,performance,done,,chain-prev,sat-like,5,desel_esparza_8_2,pnml,"tg,bs,hf",0.0,22.0,559.0,733.0,7.881,8.19,10.0,6.0,24.0,24.0,0.01,7.0,32.0,58.0,84.0,38.0,0.01,76.0,,,,,,,,,,
36,36,performance,done,,chain-prev,sat-like,5,G-PPP-1-100,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,12892.0,12892.0,4.83,145476966.0,3398.0,3717.0,2597.0,26836.0,4.85,2941100.0,,,,,,,,,,
51,53,performance,done,,chain-prev,sat-like,5,IBM5964,pnml,"tg,bs,hf",0.07,265.0,21268.0,24006.0,11.3213,11.9417,263.0,139.0,608.0,608.0,0.46,15546.0,1024.0,503.0,935.0,441.0,0.56,1610160.0,,,,,,,,,,
52,54,performance,done,,chain-prev,sat-like,5,SmallOperatingSystem-MT0064DC0032,pnml,"tg,bs,hf",0.0,17.0,432.0,590.0,6.727,7.023,9.0,8.0,734.0,734.0,22.8,9133641.0,98569.0,18696.0,15435.0,106568.0,22.84,3324396.0,,,,,,,,,,
53,55,performance,done,,chain-prev,sat-like,5,RAS-C-10,pnml,"tg,bs,hf",0.01,34.0,4365.0,5937.0,8.792,8.931000000000003,60.0,40.0,319.0,319.0,0.05,823552.0,509.0,388.0,596.0,476.0,0.06,206808.0,,,,,,,,,,
55,57,performance,done,,chain-prev,sat-like,5,fivediningphilosophers-3_32,pnml,"tg,bs,hf",0.0,30.0,760.0,992.0,7.615,7.939,15.0,10.0,32.0,32.0,0.01,11.0,50.0,90.0,100.0,50.0,0.02,76.0,,,,,,,,,,
87,90,performance,done,,chain-prev,sat-like,5,diningphilosopher,pnml,"tg,bs,hf",0.0,10.0,170.0,227.0,5.57,5.84,5.0,4.0,4.0,4.0,0.0,1.0,5.0,0.0,12.0,4.0,0.0,72.0,,,,,,,,,,
