Unnamed: 0,Unnamed: 0.1,type,status,status-spec,order,saturation,sat-granularity,filename,filetype,regroup-strategy,regroup-time,bandwidth,profile,span,average-wavefront,RMS-wavefront,state-vector-length,groups,group-checks,next-state-calls,reachability-time,statespace-states,statespace-nodes,group-next,group-explored-nodes,group-explored-vectors,time,memory,peak-nodes,LDDop-union,LDDop-minus,LDDop-relProd,LDDop-satCount,LDDop-satCountL,LDDop-zip,LDDop-relProdUnion,LDDop-projectMinus,Unnamed: 36
17,17,performance,done,,chain-prev,none,5,G-PPP-10-100,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,1716.0,1716.0,14.37,176894515156.0,128866.0,11653.0,11487.0,486397.0,14.41,2981188.0,,,,,,,,,,
26,26,performance,done,,chain-prev,none,5,angiogenesis-05,pnml,"tg,bs,hf",0.02,242.0,13805.0,15443.0,16.868,17.667,39.0,64.0,960.0,960.0,14.22,42734935.0,10509.0,3087.0,2747.0,4011.0,14.25,2944604.0,,,,,,,,,,
64,67,performance,done,,chain-prev,none,5,dnawalk-09,pnml,"tg,bs,hf",0.07,744.0,195145.0,208669.0,37.4456,39.4546,27.0,260.0,2080.0,2080.0,15.51,28209796.0,5542.0,1194.0,1917.0,1800.0,15.59,2950608.0,,,,,,,,,,
83,86,performance,done,,chain-prev,none,5,RAS-R-5,pnml,"tg,bs,hf",0.0,22.0,1037.0,1286.0,6.744,6.91,20.0,12.0,72.0,72.0,0.02,112.0,61.0,112.0,128.0,76.0,0.03,27040.0,,,,,,,,,,
113,119,performance,done,,chain-prev,none,5,2-10_phaseVariation,pnml,"tg,bs,hf",0.02,382.0,71936.0,76887.0,25.9313,26.8135,14.0,65.0,260.0,260.0,1.02,7716.0,3731.0,4423.0,4646.0,17471.0,1.06,2196336.0,,,,,,,,,,
127,133,performance,done,,chain-prev,none,5,dekker-15,pnml,"tg,bs,hf",0.33,1682.0,858894.0,918960.0,58.32816,60.35399,75.0,255.0,1020.0,1020.0,47.74,278528.0,152516.0,3075.0,3227.0,738630.0,48.15,2928296.0,,,,,,,,,,
137,145,performance,done,,chain-prev,none,5,dnawalk-05,pnml,"tg,bs,hf",0.06,450.0,129945.0,138027.0,30.2313,31.7096,34.0,250.0,3000.0,3000.0,36.16,435340831.0,5654.0,1205.0,1879.0,1806.0,36.25,3155908.0,,,,,,,,,,
152,162,performance,done,,chain-prev,none,5,FMS-5,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,220.0,220.0,0.1,2895018.0,432.0,600.0,525.0,543.0,0.11,538616.0,,,,,,,,,,
172,183,performance,done,,chain-prev,none,5,closed_system4,pnml,"tg,bs,hf",0.1,755.0,73916.0,81489.0,25.323529999999998,27.19165,231.0,202.0,17372.0,17372.0,19.9,2409739.0,21109.0,1648.0,1950.0,1053.0,20.06,2912072.0,,,,,,,,,,
186,197,performance,done,,chain-prev,none,5,rwmutex-r10w20,pnml,"tg,bs,hf",0.05,635.0,190086.0,209131.0,67.4746,73.9121,70.0,60.0,120.0,120.0,0.14,1044.0,983.0,1140.0,1486.0,41060.0,0.21,449840.0,,,,,,,,,,
191,202,performance,done,,chain-prev,none,5,shared_memory-pt-5,pnml,"tg,bs,hf",0.01,256.0,23912.0,27500.0,29.381,31.432,41.0,55.0,165.0,165.0,0.19,1863.0,780.0,445.0,558.0,340.0,0.23,480140.0,,,,,,,,,,
193,204,performance,done,,chain-prev,none,5,MAPK-40,pnml,"tg,bs,hf",0.0,35.0,1928.0,2576.0,8.3873,8.6753,22.0,30.0,1230.0,1230.0,23.44,478293389221095.0,24492.0,25465.0,20770.0,128280.0,23.47,3064812.0,,,,,,,,,,
198,209,performance,done,,chain-prev,none,5,SwimmingPool-3,pnml,"tg,bs,hf",0.0,17.0,351.0,477.0,6.6670000000000025,7.016,9.0,7.0,448.0,448.0,30.21,32209356.0,254594.0,12997.0,10130.0,111267.0,30.28,2919772.0,,,,,,,,,,
212,223,performance,done,,chain-prev,none,5,desel_esparza_8_2,pnml,"tg,bs,hf",0.0,22.0,559.0,733.0,7.881,8.19,10.0,6.0,24.0,24.0,0.01,7.0,32.0,58.0,84.0,38.0,0.01,76.0,,,,,,,,,,
214,225,performance,done,,chain-prev,none,5,2-10_phaseVariation,pnml,"tg,bs,hf",0.02,382.0,71936.0,76887.0,25.9313,26.8135,14.0,65.0,260.0,260.0,1.04,7716.0,3731.0,4423.0,4646.0,17471.0,1.08,2215464.0,,,,,,,,,,
220,231,performance,done,,chain-prev,none,5,gen_sound_is_dec_no-bwf,pnml,"tg,bs,hf",0.0,5.0,48.0,62.0,3.6,3.8,3.0,2.0,12.0,12.0,0.0,6.0,13.0,21.0,25.0,12.0,0.0,76.0,,,,,,,,,,
223,234,performance,done,,chain-prev,none,5,rwmutex-r10w50,pnml,"tg,bs,hf",0.26,1291.0,981596.0,1076681.0,136.5099,150.8793,130.0,120.0,240.0,240.0,0.44,1074.0,2520.0,2640.0,3472.0,102560.0,0.74,1294148.0,,,,,,,,,,
224,235,performance,done,,chain-prev,none,5,HouseConstruction-002,pnml,"tg,bs,hf",0.0,32.0,1034.0,1247.0,6.516,6.836,26.0,18.0,198.0,198.0,0.08,1501.0,349.0,266.0,248.0,208.0,0.1,185228.0,,,,,,,,,,
232,244,performance,done,,chain-prev,none,5,circadian_clock-000001,pnml,"tg,bs,hf",0.0,32.0,1009.0,1382.0,8.267999999999999,8.642000000000001,14.0,16.0,96.0,96.0,0.01,128.0,28.0,120.0,104.0,60.0,0.02,76.0,,,,,,,,,,
239,251,performance,done,,chain-prev,none,5,closed_system5,pnml,"tg,bs,hf",0.1,755.0,73916.0,81489.0,25.323529999999998,27.19165,231.0,202.0,14140.0,14140.0,16.08,1657242.0,17936.0,1648.0,1950.0,1053.0,16.25,2906508.0,,,,,,,,,,
266,279,performance,done,,chain-prev,none,5,desel_esparza_9_5,pnml,"tg,bs,hf",0.0,13.0,539.0,708.0,5.215,5.3420000000000005,16.0,9.0,162.0,162.0,0.02,256.0,32.0,89.0,80.0,46.0,0.02,76.0,,,,,,,,,,
281,295,performance,done,,chain-prev,none,5,FMS-10,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,420.0,420.0,0.71,2501413200.0,1437.0,1525.0,1365.0,2048.0,0.72,1969196.0,,,,,,,,,,
