Unnamed: 0,Unnamed: 0.1,type,status,status-spec,order,saturation,sat-granularity,filename,filetype,regroup-strategy,regroup-time,bandwidth,profile,span,average-wavefront,RMS-wavefront,state-vector-length,groups,group-checks,next-state-calls,reachability-time,statespace-states,statespace-nodes,group-next,group-explored-nodes,group-explored-vectors,time,memory,peak-nodes,LDDop-union,LDDop-minus,LDDop-relProd,LDDop-satCount,LDDop-satCountL,LDDop-zip,LDDop-relProdUnion,LDDop-projectMinus,Unnamed: 36
5,5,performance,done,,chain-prev,sat,5,circadian_clock-000100,pnml,"tg,bs,hf",0.0,32.0,1009.0,1382.0,8.267999999999999,8.642000000000001,14.0,16.0,2474.0,0.0,9.3,42040402004.0,1018.0,8040.0,4064.0,1062924.0,9.31,3032896.0,,,,,,,,,,
10,10,performance,done,,chain-prev,sat,5,RAS-C-5,pnml,"tg,bs,hf",0.0,34.0,2025.0,2682.0,8.2015,8.3955,30.0,20.0,218.0,0.0,0.01,1200.0,228.0,188.0,278.0,206.0,0.02,72.0,,,,,,,,,,
28,30,performance,done,,chain-prev,sat,5,IBM5964,pnml,"tg,bs,hf",0.07,265.0,21268.0,24006.0,11.3213,11.9417,263.0,139.0,1649.0,0.0,0.05,15546.0,1024.0,503.0,935.0,441.0,0.15,230872.0,,,,,,,,,,
39,42,performance,done,,chain-prev,sat,5,desel_esparza_6_1,pnml,"tg,bs,hf",0.0,23.0,428.0,525.0,6.5710000000000015,6.841,8.0,7.0,7.0,0.0,0.0,1.0,8.0,0.0,20.0,7.0,0.0,76.0,,,,,,,,,,
43,46,performance,done,,chain-prev,sat,5,dnawalk-11,pnml,"tg,bs,hf",0.05,772.0,204980.0,222289.0,40.9387,42.5305,27.0,260.0,312569.0,0.0,1.8,28209796.0,4788.0,1194.0,1916.0,1800.0,1.86,2416360.0,,,,,,,,,,
63,67,performance,done,,chain-prev,sat,5,desel_esparza_6_1,pnml,"tg,bs,hf",0.0,23.0,428.0,525.0,6.5710000000000015,6.841,8.0,7.0,7.0,0.0,0.0,1.0,8.0,0.0,20.0,7.0,0.0,76.0,,,,,,,,,,
74,80,performance,done,,chain-prev,sat,5,erk-000010,pnml,"tg,bs,hf",0.0,17.0,526.0,725.0,6.6960000000000015,6.919,11.0,11.0,374.0,0.0,0.05,47047.0,396.0,1186.0,979.0,4411.0,0.06,197160.0,,,,,,,,,,
98,106,performance,done,,chain-prev,sat,5,RAS-R-100,pnml,"tg,bs,hf",0.18,22.0,22602.0,28171.0,7.401998,7.443084,400.0,202.0,40894.0,0.0,0.61,6.46501806116397e+31,1391.0,2202.0,2598.0,1596.0,0.84,1651904.0,,,,,,,,,,
102,110,performance,done,,chain-prev,sat,5,Philosophers-10,pnml,"tg,bs,hf",0.01,43.0,5119.0,6902.0,12.280999999999999,12.545,50.0,50.0,308.0,0.0,0.01,59049.0,295.0,370.0,441.0,280.0,0.02,46368.0,,,,,,,,,,
103,111,performance,done,,chain-prev,sat,5,QCertifProtocol_06-unfold,pnml,"tg,bs,hf",0.08,624.0,151011.0,168691.0,40.200959999999995,42.76029000000001,270.0,116.0,201582.0,0.0,6.06,2271960.0,359274.0,1893.0,2349.0,11511.0,6.29,2886572.0,,,,,,,,,,
119,129,performance,done,,chain-prev,sat,5,G-PPP-1000-10,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,63929.0,0.0,5.69,14184612091.0,114221.0,11548.0,12088.0,480654.0,5.73,2950960.0,,,,,,,,,,
121,132,performance,done,,chain-prev,sat,5,circadian_clock-000001,pnml,"tg,bs,hf",0.0,32.0,1009.0,1382.0,8.267999999999999,8.642000000000001,14.0,16.0,101.0,0.0,0.0,128.0,28.0,120.0,104.0,60.0,0.01,3020.0,,,,,,,,,,
