Unnamed: 0,Unnamed: 0.1,type,status,status-spec,order,saturation,sat-granularity,filename,filetype,regroup-strategy,regroup-time,bandwidth,profile,span,average-wavefront,RMS-wavefront,state-vector-length,groups,group-checks,next-state-calls,reachability-time,statespace-states,statespace-nodes,group-next,group-explored-nodes,group-explored-vectors,time,memory,peak-nodes,LDDop-union,LDDop-minus,LDDop-relProd,LDDop-satCount,LDDop-satCountL,LDDop-zip,LDDop-relProdUnion,LDDop-projectMinus,Unnamed: 36
12,12,performance,done,,chain,sat,5,desel_esparza_8_3,pnml,"tg,bs,hf",0.0,34.0,989.0,1281.0,9.75,10.48,14.0,8.0,102.0,0.0,0.0,21.0,60.0,84.0,125.0,64.0,0.0,72.0,,,,,,,,,,
18,19,performance,done,,chain,sat,5,dnawalk-02,pnml,"tg,bs,hf",0.0,231.0,26809.0,28367.0,20.385,22.081999999999997,14.0,84.0,5012.0,0.0,0.06,5459.0,380.0,387.0,619.0,584.0,0.07,81396.0,,,,,,,,,,
22,23,performance,done,,chain,sat,5,G-PPP-1-100,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,2343.0,0.0,1.78,145476966.0,3398.0,3717.0,2597.0,26836.0,1.79,2517188.0,,,,,,,,,,
27,28,performance,done,,chain,sat,5,shared_memory-pt-10,pnml,"tg,bs,hf",0.13,1099.0,428678.0,480723.0,100.7056,108.3668,131.0,210.0,47307.0,0.0,2.21,1830519.0,28359.0,1790.0,2185.0,1380.0,2.4,2582388.0,,,,,,,,,,
32,35,performance,done,,chain,sat,5,philo_dyn-3-unfolded,pnml,"tg,bs,hf",0.04,535.0,136974.0,153600.0,64.6528,70.7235,30.0,84.0,2671.0,0.0,0.09,325.0,641.0,561.0,1695.0,1743.0,0.15,265836.0,,,,,,,,,,
40,43,performance,done,,chain,sat,5,peterson_3_14,pnml,"tg,bs,hf",0.0,42.0,994.0,1186.0,9.315,10.03,9.0,12.0,71.0,0.0,0.0,12.0,28.0,73.0,81.0,53.0,0.0,72.0,,,,,,,,,,
46,49,performance,done,,chain,sat,5,fourdiningphilosophers-boxed,pnml,"tg,bs,hf",0.0,24.0,530.0,713.0,6.269,6.46,12.0,8.0,34.0,0.0,0.0,7.0,38.0,72.0,76.0,40.0,0.0,76.0,,,,,,,,,,
58,61,performance,done,,chain,sat,5,trg_1-50-0,pnml,"tg,bs,hf",0.0,41.0,1223.0,1581.0,9.461,9.994,16.0,12.0,43351.0,0.0,17.17,705712.0,36713.0,3015.0,2124.0,15996.0,17.19,2944756.0,,,,,,,,,,
61,64,performance,done,,chain,sat,5,rwmutex-r10w10,pnml,"tg,bs,hf",0.01,334.0,57960.0,65149.0,41.3718,45.5157,50.0,40.0,370.0,0.0,0.02,1034.0,425.0,640.0,804.0,20560.0,0.05,67604.0,,,,,,,,,,
65,69,performance,done,,chain,sat,5,desel_esparza_8_2,pnml,"tg,bs,hf",0.0,22.0,559.0,733.0,7.881,8.19,10.0,6.0,33.0,0.0,0.0,7.0,32.0,58.0,84.0,38.0,0.0,76.0,,,,,,,,,,
70,74,performance,done,,chain,sat,5,rwmutex-r20w10,pnml,"tg,bs,hf",0.06,616.0,164290.0,181634.0,52.3029,56.2039,80.0,60.0,518.0,0.0,23.26,1048586.0,644.0,1180.0,1546.0,20971660.0,23.32,107588.0,,,,,,,,,,
77,84,performance,done,,chain,sat,5,RAS-C-20,pnml,"tg,bs,hf",0.02,34.0,9045.0,12447.0,9.07762,9.17883,120.0,80.0,962.0,0.0,0.04,406454747136.0,1049.0,788.0,1226.0,1016.0,0.08,68880.0,,,,,,,,,,
80,87,performance,done,,chain,sat,5,dnawalk-04,pnml,"tg,bs,hf",0.05,494.0,110419.0,119561.0,26.7674,28.00800000000001,34.0,250.0,96210.0,0.0,0.76,432884827.0,4856.0,1205.0,1878.0,1806.0,0.82,1461032.0,,,,,,,,,,
89,97,performance,done,,chain,sat,5,angiogenesis-15,pnml,"tg,bs,hf",0.0,242.0,13805.0,15443.0,16.868,17.667,39.0,64.0,6025808.0,0.0,534.13,1115538966669110.0,554628.0,19497.0,16332.0,62421.0,534.35,3058376.0,,,,,,,,,,
110,119,performance,done,,chain,sat,5,peterson_3_14,pnml,"tg,bs,hf",0.0,42.0,994.0,1186.0,9.315,10.03,9.0,12.0,71.0,0.0,0.01,12.0,28.0,73.0,81.0,53.0,0.01,3028.0,,,,,,,,,,
118,128,performance,done,,chain,sat,5,peterson_3_36,pnml,"tg,bs,hf",0.0,31.0,1046.0,1241.0,6.474,6.782,26.0,18.0,136.0,0.0,0.0,66.0,117.0,120.0,134.0,77.0,0.01,3152.0,,,,,,,,,,
131,142,performance,done,,chain,sat,5,Philosophers-50,pnml,"tg,bs,hf",0.13,41.0,26516.0,35059.0,12.252310000000001,12.394730000000001,250.0,250.0,1581.0,0.0,0.05,7.17897987691853e+23,1575.0,1850.0,2202.0,1400.0,0.22,127808.0,,,,,,,,,,
138,149,performance,done,,chain,sat,5,desel_esparza_8_2,pnml,"tg,bs,hf",0.0,22.0,559.0,733.0,7.881,8.19,10.0,6.0,33.0,0.0,0.0,7.0,32.0,58.0,84.0,38.0,0.0,76.0,,,,,,,,,,
145,157,performance,done,,chain,sat,5,Philosophers-200,pnml,"tg,bs,hf",2.16,43.0,107162.0,145703.0,12.968653999999999,13.108870999999999,1000.0,1000.0,6388.0,0.0,0.19,2.6561398887587525e+95,6375.0,7400.0,8802.0,5600.0,2.61,646148.0,,,,,,,,,,
