,Unnamed: 0,type,status,status-spec,order,saturation,sat-granularity,filename,filetype,regroup-strategy,regroup-time,bandwidth,profile,span,average-wavefront,RMS-wavefront,state-vector-length,groups,group-checks,next-state-calls,reachability-time,statespace-states,statespace-nodes,group-next,group-explored-nodes,group-explored-vectors,time,memory,peak-nodes,LDDop-union,LDDop-minus,LDDop-relProd,LDDop-satCount,LDDop-satCountL,LDDop-zip,LDDop-relProdUnion,LDDop-projectMinus,Unnamed: 36
0,0,performance,done,,chain,sat-loop,5,peterson_3_13,pnml,"tg,bs,hf",0.0,40.0,894.0,1083.0,9.415,9.858,9.0,12.0,52.0,52.0,0.01,12.0,31.0,76.0,83.0,50.0,0.02,3184.0,,,,,,,,,,
1,1,performance,done,,chain-prev,sat-loop,5,HouseConstruction-010,pnml,"tg,bs,hf",0.0,32.0,1034.0,1247.0,6.516,6.836,26.0,18.0,464.0,464.0,4.6,1663565805.0,30151.0,3258.0,2596.0,10208.0,4.61,2922932.0,,,,,,,,,,
2,2,performance,done,,bfs,sat-like,5,HouseConstruction-010,pnml,"tg,bs,hf",0.0,32.0,1034.0,1247.0,6.516,6.836,26.0,18.0,732.0,732.0,2.69,1663565805.0,30151.0,3258.0,2596.0,10208.0,2.7,2882228.0,,,,,,,,,,
3,3,performance,done,,chain-prev,sat-loop,5,unf-8x8-4stageSEN-01,pnml,"tg,bs,hf",2.09,3155.0,3421979.0,3601116.0,93.030835,98.17774,168.0,592.0,8907.0,8907.0,18.25,52537.0,70847.0,6752.0,13475.0,9596.0,20.47,2927352.0,,,,,,,,,,
4,4,performance,done,,chain-prev,sat-loop,5,dnawalk-11,pnml,"tg,bs,hf",0.08,772.0,204980.0,222289.0,40.9387,42.5305,27.0,260.0,4682.0,4682.0,7.14,28209796.0,4788.0,1194.0,1916.0,1800.0,7.23,2924476.0,,,,,,,,,,
5,5,performance,done,,bfs,sat-like,5,Philosophers-20,pnml,"tg,bs,hf",0.04,43.0,10394.0,14142.0,12.5596,12.76,100.0,100.0,477.0,477.0,0.18,3486784401.0,615.0,740.0,882.0,560.0,0.24,456728.0,,,,,,,,,,
6,6,performance,done,,bfs,none,5,QCertifProtocol_02-unfold,pnml,"tg,bs,hf",0.02,185.0,16924.0,19511.0,18.211,19.129,86.0,56.0,1736.0,1736.0,0.64,1029.0,2546.0,502.0,614.0,549.0,0.67,1850996.0,,,,,,,,,,
7,7,performance,done,,bfs,none,5,dnawalk-03,pnml,"tg,bs,hf",0.01,231.0,20846.0,22802.0,17.546,18.576,14.0,84.0,924.0,924.0,0.26,5248.0,433.0,387.0,618.0,586.0,0.28,817716.0,,,,,,,,,,
8,8,performance,done,,bfs-prev,sat-like,5,G-PPP-10-10,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,1596.0,1596.0,13.72,23537012497.0,120247.0,10051.0,10306.0,254376.0,13.75,3054476.0,,,,,,,,,,
9,9,performance,done,,chain-prev,sat-like,5,circadian_clock-000010,pnml,"tg,bs,hf",0.0,32.0,1009.0,1382.0,8.267999999999999,8.642000000000001,14.0,16.0,362.0,362.0,0.15,644204.0,118.0,840.0,464.0,1914.0,0.15,454020.0,,,,,,,,,,
10,10,performance,done,,chain,sat-like,5,open_system_0,pnml,"tg,bs,hf",0.11,697.0,63913.0,70376.0,23.0581,24.7888,198.0,176.0,20927.0,20927.0,3.93,2776936.0,4455.0,1426.0,1687.0,911.0,4.1,2765236.0,,,,,,,,,,
11,11,performance,done,,chain-prev,sat-like,5,closed_system2,pnml,"tg,bs,hf",0.14,755.0,73916.0,81489.0,25.32353,27.19165,231.0,202.0,13321.0,13321.0,3.45,349874.0,10107.0,1648.0,1950.0,1053.0,3.7,2878780.0,,,,,,,,,,
12,12,performance,done,,chain-prev,sat-loop,5,G-PPP-1000-10,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,1034.0,1034.0,14.43,14184612091.0,114221.0,11548.0,12088.0,480654.0,14.47,3032716.0,,,,,,,,,,
13,13,performance,done,,chain-prev,sat-like,5,closed_system4,pnml,"tg,bs,hf",0.15,755.0,73916.0,81489.0,25.32353,27.19165,231.0,202.0,14989.0,14989.0,5.99,2409739.0,21109.0,1648.0,1950.0,1053.0,6.25,2902020.0,,,,,,,,,,
14,14,performance,done,,chain,none,5,dnawalk-12,pnml,"tg,bs,hf",0.07,926.0,234744.0,252018.0,37.9303,39.7088,33.0,312.0,3744.0,3744.0,80.27,1885372776.0,17473.0,1434.0,2305.0,2172.0,80.37,3121968.0,,,,,,,,,,
15,15,performance,done,,chain,sat-loop,5,dnawalk-12,pnml,"tg,bs,hf",0.07,926.0,234744.0,252018.0,37.9303,39.7088,33.0,312.0,9781.0,9781.0,50.6,1885372776.0,17473.0,1434.0,2305.0,2172.0,50.69,3025384.0,,,,,,,,,,
16,16,performance,done,,bfs,sat-loop,5,diningphilosopher,pnml,"tg,bs,hf",0.0,10.0,170.0,227.0,5.57,5.84,5.0,4.0,4.0,4.0,0.0,1.0,5.0,0.0,12.0,4.0,0.01,76.0,,,,,,,,,,
17,17,performance,done,,chain-prev,none,5,G-PPP-10-100,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,1716.0,1716.0,14.37,176894515156.0,128866.0,11653.0,11487.0,486397.0,14.41,2981188.0,,,,,,,,,,
18,18,performance,done,,chain-prev,sat-like,5,desel_esparza_8_2,pnml,"tg,bs,hf",0.0,22.0,559.0,733.0,7.881,8.19,10.0,6.0,24.0,24.0,0.01,7.0,32.0,58.0,84.0,38.0,0.01,76.0,,,,,,,,,,
19,19,performance,done,,bfs-prev,sat-loop,5,FMS-50,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,3172.0,3172.0,14.82,4.24025581818266e+17,46077.0,23325.0,22485.0,109188.0,14.86,3095912.0,,,,,,,,,,
20,20,performance,done,,bfs-prev,none,5,dnawalk-03,pnml,"tg,bs,hf",0.01,231.0,20846.0,22802.0,17.546,18.576,14.0,84.0,924.0,924.0,0.34,5248.0,433.0,387.0,618.0,586.0,0.35,730672.0,,,,,,,,,,
21,21,performance,done,,chain,none,5,dnawalk-05,pnml,"tg,bs,hf",0.05,450.0,129945.0,138027.0,30.2313,31.7096,34.0,250.0,3000.0,3000.0,24.26,435340831.0,5654.0,1205.0,1879.0,1806.0,24.33,2987452.0,,,,,,,,,,
22,22,performance,done,,bfs-prev,none,5,2D8_gradient_5x5_50,pnml,"tg,bs,hf",0.03,207.0,36326.0,39098.0,17.0547,17.7079,25.0,144.0,14544.0,14544.0,753.17,1.75295157137163e+19,30600.0,205344.0,198288.0,190944.0,753.3,3918096.0,,,,,,,,,,
23,23,performance,done,,bfs,none,5,MAPK-40,pnml,"tg,bs,hf",0.0,35.0,1928.0,2576.0,8.3873,8.6753,22.0,30.0,10830.0,10830.0,1298.47,478293389221095.0,24492.0,25465.0,20770.0,128280.0,1298.51,3920748.0,,,,,,,,,,
24,24,performance,done,,bfs,none,5,SmallOperatingSystem-MT0064DC0032,pnml,"tg,bs,hf",0.0,17.0,432.0,590.0,6.727,7.023,9.0,8.0,2312.0,2312.0,260.37,9133641.0,98569.0,18696.0,15435.0,106568.0,260.42,3832868.0,,,,,,,,,,
25,25,performance,done,,bfs,none,5,fivediningphilosophers-3_32,pnml,"tg,bs,hf",0.0,30.0,760.0,992.0,7.615,7.939,15.0,10.0,40.0,40.0,0.02,11.0,50.0,90.0,100.0,50.0,0.02,76.0,,,,,,,,,,
26,26,performance,done,,chain-prev,none,5,angiogenesis-05,pnml,"tg,bs,hf",0.02,242.0,13805.0,15443.0,16.868,17.667,39.0,64.0,960.0,960.0,14.22,42734935.0,10509.0,3087.0,2747.0,4011.0,14.25,2944604.0,,,,,,,,,,
27,27,performance,done,,chain-prev,sat-loop,5,2-10_phaseVariation,pnml,"tg,bs,hf",0.02,382.0,71936.0,76887.0,25.9313,26.8135,14.0,65.0,271.0,271.0,1.07,7716.0,3731.0,4423.0,4646.0,17471.0,1.11,2245768.0,,,,,,,,,,
28,28,performance,done,,bfs-prev,none,5,peterson_3_16,pnml,"tg,bs,hf",0.0,44.0,1781.0,2180.0,10.73,11.3,14.0,18.0,216.0,216.0,0.01,25.0,60.0,119.0,146.0,85.0,0.02,76.0,,,,,,,,,,
29,29,performance,done,,bfs,none,5,MAPK-40,pnml,"tg,bs,hf",0.0,35.0,1928.0,2576.0,8.3873,8.6753,22.0,30.0,10830.0,10830.0,1200.37,478293389221095.0,24492.0,25465.0,20770.0,128280.0,1200.39,3925220.0,,,,,,,,,,
30,30,performance,done,,chain,none,5,TokenRing-5-unfolded,pnml,"tg,bs,hf",0.05,508.0,97868.0,112214.0,49.9045,52.0558,36.0,156.0,4056.0,4056.0,0.16,166.0,456.0,490.0,1202.0,833.0,0.22,741640.0,,,,,,,,,,
31,31,performance,done,,bfs-prev,sat-loop,5,Philosophers-10,pnml,"tg,bs,hf",0.01,43.0,5119.0,6902.0,12.281,12.545,50.0,50.0,190.0,190.0,0.04,59049.0,295.0,370.0,441.0,280.0,0.06,209320.0,,,,,,,,,,
32,32,performance,done,,chain,none,5,FMS-20,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,820.0,820.0,2.08,6029168852784.0,5747.0,4575.0,4245.0,9983.0,2.1,2850168.0,,,,,,,,,,
33,33,performance,done,,chain,sat-like,5,AirplaneLD-pt-0200,pnml,"tg,bs,hf",5.37,8315.0,12199887.0,12621738.0,78.79391700000002,134.80908,1419.0,1608.0,213327.0,213327.0,65.2,275494823.0,8240.0,12256.0,13653.0,7429.0,71.8,2952612.0,,,,,,,,,,
34,34,performance,done,,chain,none,5,Kanban-10,pnml,"tg,bs,hf",0.0,34.0,746.0,941.0,5.653,5.908,16.0,16.0,512.0,512.0,1.16,1005927208.0,891.0,1806.0,1540.0,67716.0,1.16,2264884.0,,,,,,,,,,
35,35,performance,done,,bfs-prev,sat-loop,5,2D8_gradient_20x20_10,pnml,"tg,bs,hf",6.56,1828.0,3628591.0,3813154.0,77.494404,80.18825799999998,400.0,2964.0,69606.0,69606.0,264.07,3.23081977575776e+19,26290.0,254904.0,228228.0,195624.0,271.0,3937812.0,,,,,,,,,,
36,36,performance,done,,chain-prev,sat-like,5,G-PPP-1-100,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,12892.0,12892.0,4.83,145476966.0,3398.0,3717.0,2597.0,26836.0,4.85,2941100.0,,,,,,,,,,
37,37,performance,done,,bfs,none,5,2-10_phaseVariation,pnml,"tg,bs,hf",0.02,382.0,71936.0,76887.0,25.9313,26.8135,14.0,65.0,845.0,845.0,1.79,7716.0,3731.0,4423.0,4646.0,17471.0,1.83,2716016.0,,,,,,,,,,
38,38,performance,done,,chain,sat-loop,5,dnawalk-11,pnml,"tg,bs,hf",0.08,772.0,204980.0,222289.0,40.9387,42.5305,27.0,260.0,4942.0,4942.0,4.24,28209796.0,4788.0,1194.0,1916.0,1800.0,4.35,2884884.0,,,,,,,,,,
