filename,filetype,order,saturation,sat.granularity,timeAvg,timeSd,solvedCount,profile.x,span.x,statespace.states,Unnamed..0,Unnamed..0.1,type,status,status.spec,regroup.strategy,regroup.time,bandwidth,profile.y,span.y,average.wavefront,RMS.wavefront,state.vector.length,groups,group.checks,next.state.calls,reachability.time,statespace.nodes,group.next,group.explored.nodes,group.explored.vectors,time,memory,peak.nodes,LDDop.union,LDDop.minus,LDDop.relProd,LDDop.satCount,LDDop.satCountL,LDDop.zip,LDDop.relProdUnion,LDDop.projectMinus,Unnamed..36,timeBest,memBest,timeMark,memMark,Places,Transitions,Arcs,Ordinary,Simple_free_choice,Extended_free_choice,State_machine,Marked_graph,Connected,Strongly_connected,Source_place,Sink_place,Source_transitions,Sink_transitions,Loop_free,Conservative,Subconservative,Nested_units,Safe,Deadlock,Quasi_live,Live,MarkingGraphFixedSize,Markings,Firings,Max_tokens_place,Min_tokens_marking,Max_tokens_marking,Dead_transitions,Concurrent_Units,Exclusives
2-10_phaseVariation,pnml,bfs,sat-fix,5,1.71666666666667,0.13332291625973403,9,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71666666666667,,1,,14,65,443,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,-1,14,2147483647.0,0.10769000000000001,0.3375,0.20168
2D8_gradient_10x10_10,pnml,bfs,sat-fix,5,4.27666666666667,0.10404326023342401,9,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27666666666667,,1,,100,684,1368,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,1,-1,-1.0,-1.0,-1,10,10.0,0.0,0.0,0.9805799999999999
2D8_gradient_20x20_10,pnml,bfs,sat-fix,5,56.301,2.84802251083488,10,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.301,,1,,400,2964,5928,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,1,-1,-1.0,-1.0,-1,10,10.0,0.0,0.0,0.99503
2D8_gradient_5x5_10,pnml,bfs,sat-fix,5,0.762,0.0726941843921812,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.762,,1,,25,144,288,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,1,-1,-1.0,-1.0,-1,10,10.0,0.0,0.0,0.9285700000000001
2D8_gradient_5x5_50,pnml,bfs,sat-fix,5,64.025,3.72164614115851,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.025,,1,,25,144,288,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,1,-1,-1.0,-1.0,-1,50,50.0,0.0,0.0,0.9285700000000001
5-10_phaseVariation,pnml,bfs,sat-fix,5,109.439,7.010996838301001,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.439,,1,,77,677,4685,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1.0,-1.0,-1,27,2147483647.0,0.1093,0.43865,0.0974
AirplaneLD-pt-0010,pnml,bfs,sat-fix,5,0.168,0.0358391468152416,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168,,1,,89,88,333,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,43463.0,-1.0,1,38,38.0,0.0,0.41941000000000006,0.13922
AirplaneLD-pt-0020,pnml,bfs,sat-fix,5,0.442,0.0702060459568041,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.442,,1,,159,168,638,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,308303.0,-1.0,1,68,68.0,0.0,0.42973,0.12811
AirplaneLD-pt-0050,pnml,bfs,sat-fix,5,1.636,0.0481202198203162,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.636,,1,,369,408,1553,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,4471220.0,-1.0,1,158,158.0,0.0,0.43545,0.12369000000000001
AirplaneLD-pt-0100,pnml,bfs,sat-fix,5,4.614,0.19288453656124,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.614,,1,,719,808,3078,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,34877400.0,-1.0,1,308,308.0,0.0,0.43718,0.12286
AirplaneLD-pt-0200,pnml,bfs,sat-fix,5,16.241,0.8135990003271469,10,12199887,12621738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.241,,1,,1419,1608,6128,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,275495000.0,-1.0,1,608,608.0,0.0,0.43799,0.12259
angiogenesis-01,pnml,bfs,sat-fix,5,0.065,0.0212132034355964,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,,1,,39,64,185,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,110.0,-1.0,1,8,39.0,0.10937000000000001,0.13719,0.67765
angiogenesis-05,pnml,bfs,sat-fix,5,2.185,0.12782366325876,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.185,,1,,39,64,185,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,-1,40,2147483647.0,0.10937000000000001,0.13719,0.67765
angiogenesis-10,pnml,bfs,sat-fix,5,61.599,4.61733316488593,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.599,,1,,39,64,185,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,-1,80,2147483647.0,0.10937000000000001,0.13719,0.67765
angiogenesis-15,pnml,bfs,sat-fix,5,931.303,77.19577176820559,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931.303,,1,,39,64,185,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,-1,120,2147483647.0,0.10937000000000001,0.13719,0.67765
BridgeAndVehicles-V04-P05-N02-unfolded,pnml,bfs,sat-fix,5,0.345,0.03749073959734,10,35432,39034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,,1,,28,52,326,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,-1,-1,-1,-1,-1.0,-1.0,-1,17,17.0,0.35575999999999997,0.18735,0.5599
