filename,filetype,order,saturation,sat.granularity,timeAvg,timeSd,solvedCount,profile.x,span.x,statespace.states,Unnamed..0,Unnamed..0.1,type,status,status.spec,regroup.strategy,regroup.time,bandwidth,profile.y,span.y,average.wavefront,RMS.wavefront,state.vector.length,groups,group.checks,next.state.calls,reachability.time,statespace.nodes,group.next,group.explored.nodes,group.explored.vectors,time,memory,peak.nodes,LDDop.union,LDDop.minus,LDDop.relProd,LDDop.satCount,LDDop.satCountL,LDDop.zip,LDDop.relProdUnion,LDDop.projectMinus,Unnamed..36,timeBest,memBest,timeMark,memMark,Places,Transitions,Arcs,Ordinary,Simple_free_choice,Extended_free_choice,State_machine,Marked_graph,Connected,Strongly_connected,Source_place,Sink_place,Source_transitions,Sink_transitions,Loop_free,Conservative,Subconservative,Nested_units,Safe,Deadlock,Quasi_live,Live,MarkingGraphFixedSize,Markings,Firings,Max_tokens_place,Min_tokens_marking,Max_tokens_marking,Dead_transitions,Concurrent_Units,Exclusives
2-10_phaseVariation,pnml,bfs-prev,sat-loop,5,1.28,0.0651494009523069,10,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,1,,14,65,443,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,-1,14,2147483647.0,0.10769000000000001,0.3375,0.20168
2D8_gradient_10x10_10,pnml,bfs-prev,sat-loop,5,13.874,1.16699233549801,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.874,,1,,100,684,1368,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,1,-1,-1.0,-1.0,-1,10,10.0,0.0,0.0,0.9805799999999999
2D8_gradient_20x20_10,pnml,bfs-prev,sat-loop,5,259.75,20.329385955639,10,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.75,,1,,400,2964,5928,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,1,-1,-1.0,-1.0,-1,10,10.0,0.0,0.0,0.99503
2D8_gradient_5x5_10,pnml,bfs-prev,sat-loop,5,1.436,0.0697933457509461,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.436,,1,,25,144,288,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,1,-1,-1.0,-1.0,-1,10,10.0,0.0,0.0,0.9285700000000001
2D8_gradient_5x5_50,pnml,bfs-prev,sat-loop,5,141.684,7.0224326269463,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.684,,1,,25,144,288,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,1,-1,-1.0,-1.0,-1,50,50.0,0.0,0.0,0.9285700000000001
5-10_phaseVariation,pnml,bfs-prev,sat-loop,5,128.813,12.324013640946,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.813,,1,,77,677,4685,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1.0,-1.0,-1,27,2147483647.0,0.1093,0.43865,0.0974
AirplaneLD-pt-0010,pnml,bfs-prev,sat-loop,5,0.18100000000000002,0.0299814757623585,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18100000000000002,,1,,89,88,333,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,43463.0,-1.0,1,38,38.0,0.0,0.41941000000000006,0.13922
AirplaneLD-pt-0020,pnml,bfs-prev,sat-loop,5,0.489,0.060635523141692,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.489,,1,,159,168,638,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,308303.0,-1.0,1,68,68.0,0.0,0.42973,0.12811
AirplaneLD-pt-0050,pnml,bfs-prev,sat-loop,5,1.739,0.0474809903481851,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.739,,1,,369,408,1553,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,4471220.0,-1.0,1,158,158.0,0.0,0.43545,0.12369000000000001
AirplaneLD-pt-0100,pnml,bfs-prev,sat-loop,5,5.529,0.278505934506889,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.529,,1,,719,808,3078,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,34877400.0,-1.0,1,308,308.0,0.0,0.43718,0.12286
