filename,filetype,order,saturation,sat.granularity,timeAvg,timeSd,solvedCount,profile.x,span.x,statespace.states,Unnamed..0,Unnamed..0.1,type,status,status.spec,regroup.strategy,regroup.time,bandwidth,profile.y,span.y,average.wavefront,RMS.wavefront,state.vector.length,groups,group.checks,next.state.calls,reachability.time,statespace.nodes,group.next,group.explored.nodes,group.explored.vectors,time,memory,peak.nodes,LDDop.union,LDDop.minus,LDDop.relProd,LDDop.satCount,LDDop.satCountL,LDDop.zip,LDDop.relProdUnion,LDDop.projectMinus,Unnamed..36,timeBest,memBest,timeMark,memMark,Places,Transitions,Arcs,Ordinary,Simple_free_choice,Extended_free_choice,State_machine,Marked_graph,Connected,Strongly_connected,Source_place,Sink_place,Source_transitions,Sink_transitions,Loop_free,Conservative,Subconservative,Nested_units,Safe,Deadlock,Quasi_live,Live,MarkingGraphFixedSize,Markings,Firings,Max_tokens_place,Min_tokens_marking,Max_tokens_marking,Dead_transitions,Concurrent_Units,Exclusives
2-10_phaseVariation,pnml,chain,sat-like,5,1.006,0.101236796121217,10,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.006,,1,,14,65,443,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,-1,14,2147483647.0,0.10769000000000001,0.3375,0.20168
2D8_gradient_10x10_10,pnml,chain,sat-like,5,4.383,0.393814677227754,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.383,,1,,100,684,1368,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,1,-1,-1.0,-1.0,-1,10,10.0,0.0,0.0,0.9805799999999999
2D8_gradient_20x20_10,pnml,chain,sat-like,5,34.492,1.73265243036347,10,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.492,,1,,400,2964,5928,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,1,-1,-1.0,-1.0,-1,10,10.0,0.0,0.0,0.99503
2D8_gradient_5x5_10,pnml,chain,sat-like,5,0.7490000000000001,0.0488648931010575,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7490000000000001,,1,,25,144,288,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,1,-1,-1.0,-1.0,-1,10,10.0,0.0,0.0,0.9285700000000001
2D8_gradient_5x5_50,pnml,chain,sat-like,5,108.175,7.20010532330373,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.175,,1,,25,144,288,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,1,-1,-1.0,-1.0,-1,50,50.0,0.0,0.0,0.9285700000000001
5-10_phaseVariation,pnml,chain,sat-like,5,55.818000000000005,9.49308145733278,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.818000000000005,,1,,77,677,4685,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1.0,-1.0,-1,27,2147483647.0,0.1093,0.43865,0.0974
AirplaneLD-pt-0010,pnml,chain,sat-like,5,0.162,0.0304776785350999,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162,,1,,89,88,333,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,43463.0,-1.0,1,38,38.0,0.0,0.41941000000000006,0.13922
AirplaneLD-pt-0020,pnml,chain,sat-like,5,0.537,0.0651579278028051,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.537,,1,,159,168,638,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,308303.0,-1.0,1,68,68.0,0.0,0.42973,0.12811
AirplaneLD-pt-0050,pnml,chain,sat-like,5,2.476,0.115296718658136,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.476,,1,,369,408,1553,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,4471220.0,-1.0,1,158,158.0,0.0,0.43545,0.12369000000000001
AirplaneLD-pt-0100,pnml,chain,sat-like,5,11.097999999999999,0.6726366032264369,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.097999999999999,,1,,719,808,3078,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,34877400.0,-1.0,1,308,308.0,0.0,0.43718,0.12286
AirplaneLD-pt-0200,pnml,chain,sat-like,5,67.077,3.6316389015307005,10,12199887,12621738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.077,,1,,1419,1608,6128,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,275495000.0,-1.0,1,608,608.0,0.0,0.43799,0.12259
angiogenesis-01,pnml,chain,sat-like,5,0.098,0.035213633723318,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098,,1,,39,64,185,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,110.0,-1.0,1,8,39.0,0.10937000000000001,0.13719,0.67765
angiogenesis-05,pnml,chain,sat-like,5,3.2260000000000004,0.24281680337241898,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2260000000000004,,1,,39,64,185,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,-1,40,2147483647.0,0.10937000000000001,0.13719,0.67765
