filename,filetype,order,saturation,sat.granularity,timeAvg,timeSd,solvedCount,profile.x,span.x,statespace.states,Unnamed..0,Unnamed..0.1,type,status,status.spec,regroup.strategy,regroup.time,bandwidth,profile.y,span.y,average.wavefront,RMS.wavefront,state.vector.length,groups,group.checks,next.state.calls,reachability.time,statespace.nodes,group.next,group.explored.nodes,group.explored.vectors,time,memory,peak.nodes,LDDop.union,LDDop.minus,LDDop.relProd,LDDop.satCount,LDDop.satCountL,LDDop.zip,LDDop.relProdUnion,LDDop.projectMinus,Unnamed..36,timeBest,memBest,timeMark,memMark,Places,Transitions,Arcs,Ordinary,Simple_free_choice,Extended_free_choice,State_machine,Marked_graph,Connected,Strongly_connected,Source_place,Sink_place,Source_transitions,Sink_transitions,Loop_free,Conservative,Subconservative,Nested_units,Safe,Deadlock,Quasi_live,Live,MarkingGraphFixedSize,Markings,Firings,Max_tokens_place,Min_tokens_marking,Max_tokens_marking,Dead_transitions,Concurrent_Units,Exclusives
2-10_phaseVariation,pnml,chain-prev,sat-like,5,0.99,0.0520683311727111,10,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,1,,14,65,443,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,-1,14,2147483647.0,0.10769000000000001,0.3375,0.20168
2D8_gradient_10x10_10,pnml,chain-prev,sat-like,5,4.763999999999999,0.22465776441314303,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.763999999999999,,1,,100,684,1368,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,1,-1,-1.0,-1.0,-1,10,10.0,0.0,0.0,0.9805799999999999
2D8_gradient_20x20_10,pnml,chain-prev,sat-like,5,40.08,1.7311139637688702,10,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.08,,1,,400,2964,5928,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,1,-1,-1.0,-1.0,-1,10,10.0,0.0,0.0,0.99503
2D8_gradient_5x5_10,pnml,chain-prev,sat-like,5,0.9309999999999999,0.09170605214488302,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9309999999999999,,1,,25,144,288,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,1,-1,-1.0,-1.0,-1,10,10.0,0.0,0.0,0.9285700000000001
2D8_gradient_5x5_50,pnml,chain-prev,sat-like,5,209.368,17.4942090736081,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.368,,1,,25,144,288,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,1,-1,-1.0,-1.0,-1,50,50.0,0.0,0.0,0.9285700000000001
5-10_phaseVariation,pnml,chain-prev,sat-like,5,60.613,4.25499458153461,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.613,,1,,77,677,4685,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1.0,-1.0,-1,27,2147483647.0,0.1093,0.43865,0.0974
AirplaneLD-pt-0010,pnml,chain-prev,sat-like,5,0.212,0.0423739962188552,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212,,1,,89,88,333,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,43463.0,-1.0,1,38,38.0,0.0,0.41941000000000006,0.13922
AirplaneLD-pt-0020,pnml,chain-prev,sat-like,5,0.535,0.0464877522699378,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.535,,1,,159,168,638,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,308303.0,-1.0,1,68,68.0,0.0,0.42973,0.12811
AirplaneLD-pt-0050,pnml,chain-prev,sat-like,5,2.6830000000000003,0.274835304217716,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6830000000000003,,1,,369,408,1553,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,4471220.0,-1.0,1,158,158.0,0.0,0.43545,0.12369000000000001
AirplaneLD-pt-0100,pnml,chain-prev,sat-like,5,11.614,1.03187208509582,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.614,,1,,719,808,3078,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,34877400.0,-1.0,1,308,308.0,0.0,0.43718,0.12286
