filename,filetype,order,saturation,sat.granularity,timeAvg,timeSd,solvedCount,profile.x,span.x,statespace.states,Unnamed..0,Unnamed..0.1,type,status,status.spec,regroup.strategy,regroup.time,bandwidth,profile.y,span.y,average.wavefront,RMS.wavefront,state.vector.length,groups,group.checks,next.state.calls,reachability.time,statespace.nodes,group.next,group.explored.nodes,group.explored.vectors,time,memory,peak.nodes,LDDop.union,LDDop.minus,LDDop.relProd,LDDop.satCount,LDDop.satCountL,LDDop.zip,LDDop.relProdUnion,LDDop.projectMinus,Unnamed..36,timeBest,memBest,timeMark,memMark,Places,Transitions,Arcs,Ordinary,Simple_free_choice,Extended_free_choice,State_machine,Marked_graph,Connected,Strongly_connected,Source_place,Sink_place,Source_transitions,Sink_transitions,Loop_free,Conservative,Subconservative,Nested_units,Safe,Deadlock,Quasi_live,Live,MarkingGraphFixedSize,Markings,Firings,Max_tokens_place,Min_tokens_marking,Max_tokens_marking,Dead_transitions,Concurrent_Units,Exclusives
2-10_phaseVariation,pnml,chain-prev,sat-loop,5,0.975,0.0577831194111991,10,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.975,,1,,14,65,443,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,-1,14,2147483647.0,0.10769000000000001,0.3375,0.20168
2D8_gradient_10x10_10,pnml,chain-prev,sat-loop,5,10.044,0.535043092760865,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.044,,1,,100,684,1368,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,1,-1,-1.0,-1.0,-1,10,10.0,0.0,0.0,0.9805799999999999
2D8_gradient_20x20_10,pnml,chain-prev,sat-loop,5,189.47799999999998,12.5565616312747,10,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.47799999999998,,1,,400,2964,5928,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,1,-1,-1.0,-1.0,-1,10,10.0,0.0,0.0,0.99503
2D8_gradient_5x5_10,pnml,chain-prev,sat-loop,5,1.087,0.0466785699104941,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.087,,1,,25,144,288,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,1,-1,-1.0,-1.0,-1,10,10.0,0.0,0.0,0.9285700000000001
2D8_gradient_5x5_50,pnml,chain-prev,sat-loop,5,202.672,16.728693114924802,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.672,,1,,25,144,288,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,1,-1,-1.0,-1.0,-1,50,50.0,0.0,0.0,0.9285700000000001
5-10_phaseVariation,pnml,chain-prev,sat-loop,5,122.37799999999999,11.5781660416876,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.37799999999999,,1,,77,677,4685,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1.0,-1.0,-1,27,2147483647.0,0.1093,0.43865,0.0974
AirplaneLD-pt-0010,pnml,chain-prev,sat-loop,5,0.161,0.03900142447541,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161,,1,,89,88,333,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,43463.0,-1.0,1,38,38.0,0.0,0.41941000000000006,0.13922
AirplaneLD-pt-0020,pnml,chain-prev,sat-loop,5,0.44799999999999995,0.0904064894425911,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44799999999999995,,1,,159,168,638,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,308303.0,-1.0,1,68,68.0,0.0,0.42973,0.12811
AirplaneLD-pt-0050,pnml,chain-prev,sat-loop,5,1.5630000000000002,0.11025727489225699,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5630000000000002,,1,,369,408,1553,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,4471220.0,-1.0,1,158,158.0,0.0,0.43545,0.12369000000000001
AirplaneLD-pt-0100,pnml,chain-prev,sat-loop,5,4.734,0.5653749984646379,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.734,,1,,719,808,3078,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,34877400.0,-1.0,1,308,308.0,0.0,0.43718,0.12286
